,id,date,time,tweet,hashtags,num_words
0,1364596434524270600,2021-02-24,23:21:57,'What the #TraceTogether debacle highlights is that #Singapore’s drive to develop and deploy cutting-edge technology to build a smart city—the #government even launched a dedicated agency called GovTech in 2016—might not be as straightforward as expected.'  https://t.co/UAxrqukoWZ,"['tracetogether', 'singapore', 'government']",33
2,1364470049067569155,2021-02-24,14:59:44,@harishpillay @notessensei @govsingapore Thanks for the offer! We have dropped you a DM to get in touch separately 😊,[],15
3,1364156070000615425,2021-02-23,18:12:06,Guilty of using generic passwords like '123456'? You aren't alone! Weak passwords can pose as a serious threat to individuals and organisations alike. Read on for tips on creating strong passwords that will better protect your data! #TechNews #GovTechSG   https://t.co/E0CdN1ALzI,"['technews', 'govtechsg']",35
4,1364145857340186626,2021-02-23,17:31:31,We love bringing together techies from all walks of life to help them learn and appreciate how tech is used for public good. Take part in our poll to let us know how long you’ve been part of the #tech sector! #GovTechSG,"['tech', 'govtechsg']",41
5,1364117020900397058,2021-02-23,15:36:56,#Singapore: DBS bank Enables #SMEs to Open Accounts Using Facial #Biometrics:  https://t.co/r2ZvSY2aEk  via @fintechSIN #DigitalTransformation   #FinTech #GovTech #WomeninTech #RegTech #Trade  https://t.co/uFCFYXElCa,"['singapore', 'smes', 'biometrics', 'digitaltransformation', 'fintech', 'govtech', 'womenintech', 'regtech', 'trade']",9
6,1364103249456861185,2021-02-23,14:42:13,The Path to Becoming a #DataDriven #PublicSector - OECD Digital Government Studies:  https://t.co/XoLqyCJ3Gb   @OECD @OECDgov #DigitalTransformation   #GovTech #WomeninTech #DigitalGov #Innovation  https://t.co/tmjeAPAVJK,"['datadriven', 'publicsector', 'digitaltransformation', 'govtech', 'womenintech', 'digitalgov', 'innovation']",9
7,1364085841572864001,2021-02-23,13:33:02,On our Editors’ List for #Australia today: 'Pitch Night: #GovTech' by @startupvic | Details-start times:  https://t.co/tvjUjPsPVw  https://t.co/6YBXjKdsh4,"['australia', 'govtech']",10
8,1364002072262230020,2021-02-23,08:00:10,"“When I first started, there were not many women doing what I was doing,” but Christine Ang of IHiS is heartened to see many outstanding women colleagues today. She shares her advice for women in #GovTech:  https://t.co/TnnuF7hgWQ #womeningovtech","['govtech', 'womeningovtech']",35
9,1363760625071968260,2021-02-22,16:00:45,"@mechattax Hi @mechattax, thanks for your interest. We're working to make #ScamShield available to Android users too, stay tuned for updates!",['scamshield'],17
10,1363747459130818561,2021-02-22,15:08:26,"Thanks to digital solutions, we have been able to swiftly respond to #COVID-19 cases and safely resume activities we enjoy!  As Singapore reopens further, here's how your #TraceTogether data is secured!  #TechForPublicGood #GovTechSG  https://t.co/HHLg9aZY7y","['covid', 'tracetogether', 'techforpublicgood', 'govtechsg']",28
12,1362979666248699904,2021-02-20,12:17:30,"While it may seem like cases of #COVID-19 within our community are under control, we cannot let our guard down just yet. Here's how your #TraceTogether data is secured!   #TechForPublicGood #GovTechSG  https://t.co/YSMFmmgnyY","['covid', 'tracetogether', 'techforpublicgood', 'govtechsg']",26
13,1362960163494191105,2021-02-20,11:00:00,"Report of scams has increased over the last year. If you encounter a call or message that could be a scam, help protect yourself and others by reporting it in the #ScamShield app:  https://t.co/B0IsezTibT  #KnowYourTech #TechforPublicGood #GovTechSG  https://t.co/q5sa7UimoJ","['scamshield', 'knowyourtech', 'techforpublicgood', 'govtechsg']",32
14,1362929968045580294,2021-02-20,09:00:01,Struggle to explain your #techjob to relatives during the #CNY2021? Find helpful English and Mandarin explanations to break down the work you do! Like this story? Subscribe to our biweekly #TechNews newsletter for more tech stories:  https://t.co/XDk288djJs  https://t.co/pqzS0PnKVw,"['techjob', 'cny2021', 'technews']",33
15,1362701783617871879,2021-02-19,17:53:17,Block scam calls and filter spam messages to protect yourself with the #ScamShield app! Download and set up  the app in 3 simple steps today:  https://t.co/B0IsezTibT  #KnowYourTech #TechforPublicGood #GovTechSG  https://t.co/DIuLoNoLZV,"['scamshield', 'knowyourtech', 'techforpublicgood', 'govtechsg']",23
16,1362691039727816706,2021-02-19,17:10:36,Have trouble explaining your #techjob to relatives during #CNY2021? Here are some phrases you might have used – vote for your favourite!,"['techjob', 'cny2021']",19
17,1362630155047366658,2021-02-19,13:08:40,This makes so much sense  Fascinating to see how people in government (the govtech movement) and legacy industries (like construction) are beginning to take a startup approach,[],27
18,1362581248237965313,2021-02-19,09:54:19,Beta version of the #OECD Mission-Oriented #Innovation policies online toolkit -  https://t.co/k47oNWwEL3   @OECDinnovation   #Policy #Data #GovTech #Knowledge #WomeninTech #Policymakers #Partnerships #Governance  https://t.co/NY1fvW9c5y,"['oecd', 'innovation', 'policy', 'data', 'govtech', 'knowledge', 'womenintech', 'policymakers', 'partnerships', 'governance']",7
19,1362394119721476101,2021-02-18,21:30:44,"Checking in and out using #SafeEntry wherever we go has already become a common practice for us. SafeEntry data helps to identify #COVID-19 clusters, and helps people recall their activities during contact tracing. Check out how it's keeping our community safe! #GovTechSG  https://t.co/GdsdodYYW5","['safeentry', 'covid', 'govtechsg']",38
21,1362311015057227776,2021-02-18,16:00:31,"“Don’t let any pre-conceived notions of gender stop you. Pursue what you are passionate about, work hard at it and you will have a good chance of success.” Jesise Ho of IHiS shares her advice for Women in #GovTech:  https://t.co/PNPXUrbkwv #womeningovtech","['govtech', 'womeningovtech']",38
23,1353996373310328832,2021-01-26,17:21:06,"1,000 views of my #BL602 I2C Brain Dump ... Why are Intel, Qualcomm, STMicro and GovTech interested in #RISCV? 🤔   https://t.co/EVR2jxbwra  https://t.co/hdCcwWlbU1","['bl602', 'riscv']",14
24,1344640947468914690,2020-12-31,21:45:58,"Grab, GovTech, ByteDance AND Nordic Semi? 🤔 This scares me  https://t.co/u3FcdKinx6",[],9
26,1323959060413120514,2020-11-04,20:03:32,"@Kongduino @TobozoTagada But seriously if anyone is good at cracking gadgets like TraceTogether, please apply to GovTech Singapore as an Ethical Hacker... The security of this gadget really bothers me 🤔",[],28
27,1306486438964330496,2020-09-17,14:53:35,Glad to see smart thermal scanning software developed by @GovTechSG being deployed more widely.   COVID-19: New GovTech software for smart thermal scanner licensed to 4 companies for commercialisation and scaling.   https://t.co/w3y5SGffhG,[],28
