,id,date,time,tweet,hashtags,num_words
0,1364570027903623169,2021-02-24,21:37:01,"The co-chair of Singapore's multi-ministry Covid-19 taskforce, Minister Lawrence Wong, talks about Singapore's response to the Covid-19 pandemic and reflects on its long-term implications for the city-state:  https://t.co/dU4VPzH3u5 Image source: National University Hospital  https://t.co/16x29Lk5PT",[],26
1,1362976053287821313,2021-02-20,12:03:08,Singapore on the lookout for more vaccine options: Lawrence Wong  https://t.co/WqC5piq00J,[],10
2,1362962797894590469,2021-02-20,11:10:28,Tighter COVID-19 measures will remain for a few weeks after Chinese New Year festivities: Lawrence Wong   https://t.co/cstWcKwIC1,[],16
3,1362959787172843524,2021-02-20,10:58:30,Tighter Covid-19 measures will remain for a few weeks after Chinese New Year festivities: Lawrence Wong  https://t.co/oCM8MR14Vp  Download the TODAY app at  https://t.co/pzP2j5QBya,[],21
4,1362877140488704000,2021-02-20,05:30:05,Singapore on the lookout for more vaccine options: Lawrence Wong  https://t.co/uaznzQ1mYO,[],10
5,1362874362320150530,2021-02-20,05:19:03,Singapore on the lookout for more vaccine options: Lawrence Wong  https://t.co/2fIzo5Xo4i,[],10
6,1362763382311411719,2021-02-19,21:58:03,Tighter Covid-19 measures will remain for a few weeks after Chinese New Year festivities: Lawrence Wong  https://t.co/hOQhDQ5Kmo  https://t.co/elEIavCzHO,[],16
7,1362759836748845063,2021-02-19,21:43:58,Tighter COVID-19 measures will remain for a few weeks after Chinese New Year festivities: Lawrence Wong  https://t.co/pBgwYCdeNN,[],16
8,1362759069723893764,2021-02-19,21:40:55,"VIDEO: Another 1 million people in Singapore are expected to receive the first dose of their #COVID19 vaccine by early April, says co-chair of the #COVID19 multi-ministerial task force Lawrence Wong  https://t.co/RkNBDOS7SZ   https://t.co/ZpkB9pK8WW","['covid19', 'covid19']",26
9,1362749268633608193,2021-02-19,21:01:58,Tighter COVID-19 measures will remain for a few weeks after Chinese New Year festivities: Lawrence Wong  https://t.co/sYYsJkDHil,[],16
10,1362746647302660097,2021-02-19,20:51:33,Tighter COVID-19 measures will remain for a few weeks after Chinese New Year festivities: Lawrence Wong  https://t.co/wuJHQ4jeiB  https://t.co/2lpuvVOP1s,[],16
11,1356441272873930754,2021-02-02,11:16:15,"Opposition trying hard to define ""what is import culture wars"" again.  Lawrence wong already said dialogue and feedback is welcome.  But pls do so within law of Singapore.  And people do politicise the issue which create divisiveness not merely among religious and non religious",[],44
12,1354777036745662468,2021-01-28,21:03:10,The Singapore's minister of education says Covid19 could last for 4 - 5 years   #covid19  #lawrencewong #cnanewsasia #singapore @ Singapore  https://t.co/5yrfWz2xiR,"['covid19', 'lawrencewong', 'cnanewsasia', 'singapore']",11
13,1353989486024093697,2021-01-26,16:53:44,COVID-19 pandemic could last 4 to 5 years: Lawrence Wong  https://t.co/ykR8CAscOF,[],8
14,1349278091445555200,2021-01-13,16:52:20,Next in line to get their COVID-19 vaccines - Health Minister Gan Kim Yong and Education Minister Lawrence Wong.  https://t.co/MvX07wkQgU,[],18
15,1336693915928285184,2020-12-09,23:27:18,thank u Lawrence Wong for my Eagles,[],7
16,1329380640630788096,2020-11-19,19:06:58,"Singapore may be in Phase 3 of virus curbs for more than a year, Education Minister Lawrence Wong says  https://t.co/TBRTq26r9J via @business",[],19
17,1325320103060099073,2020-11-08,14:11:50,“Education Minister Lawrence Wong and National Development Minister Desmond Lee have been elected to the People's Action Party's top decision-making body for the first time”  https://t.co/BGXJ5U6iW4,[],22
18,1324172923645485057,2020-11-05,10:13:21,"On a recent campus visit, our NP fam welcomed MOE Minister Mr Lawrence Wong, 2nd Minister Dr Maliki Osman &amp; Minister of State Ms Sun Xueling 🤝  https://t.co/QNOy9ztDT6",[],24
19,1323307161724678144,2020-11-03,00:53:07,2020 feels like a lifetime for Lawrence Wong | Lunch with Sumiko  https://t.co/pEp2XKS2NS via @YouTube           💐🇸🇬True Minister 🇸🇬💐,[],13
22,1291338399861809152,2020-08-06,19:40:41,"COVID-19: Most foreign workers to be able to return to work by end-August, says Lawrence Wong  https://t.co/TIMRHMFUzw safe to return to work or not?",[],22
23,1270571475985068033,2020-06-10,12:20:20,"National Development Minister Lawrence Wong‘s speech highlights that Singapore has to prepare to live with COVID-19 for the long term. A need for the society to be open-minded to finding new ways of living and working, including changes to how companies deliver their products.",[],44
24,1270323197573906432,2020-06-09,19:53:46,I spent an entire day listening about the impact of the covid-induced digital divide on women and children especially the poor; and when I tuned in to Lawrence Wong’s speech right after he was talking about how it’s so easy to keep in contact with relatives and kin digitally. 🤷‍♂️,[],50
25,1261814966035771400,2020-05-17,08:25:05,Lawrence Wong: S'pore in 'good position' now to start preparing to lift some circuit breaker measures  https://t.co/Qq37X6xeWG local cases are small to relax the CB measures otherwise more locals are already suffering n out of jobs. Your packs so not reach everyone,[],40
26,1252533603772203009,2020-04-21,17:44:16,Lawrence Wong Mandarin standard no go. #SGUnited #COVID19,"['sgunited', 'covid19']",6
27,1250696998363119619,2020-04-16,16:06:15,"Lawrence Wong says govt hasn’t changed its strategy or approach despite U-turn on wearing of masks  https://t.co/zvMapLzGL7 70-80% from migrant workers, big over sight by Govt. Another is handling of cash notesvover purchases. S. Korea burnt thousands of won to stop spread.",[],40
28,1250025171907252225,2020-04-14,19:36:39,"Singapore tightens even more --&gt; COVID-19: Compulsory to wear mask when leaving the house, says Lawrence Wong  https://t.co/QLwQaAxN9G",[],16
29,1246166483144593410,2020-04-04,04:03:36,"I think that Minister for National Development Lawrence Wong has been speaking in strong and reassuring tones as Co-Chair of the Covid-19 task force.   He did a great job as Minister for Culture, Community &amp; Youth…  https://t.co/171Un9xgKS",[],34
30,1246076577739231232,2020-04-03,22:06:21,‘Lawrence Wong gave me ASMR’: Singapore’s coronavirus response strikes chord with millennials ahead of election  https://t.co/5fD7aVmQQs via @scmpnews,[],17
31,1246020895463714822,2020-04-03,18:25:06,Did Lawrence wong specifically mentioned that singapore pools will be closed? Hahahha I love it,[],15
32,1246011653323280384,2020-04-03,17:48:22,Mr Lawrence Wong in his most serious voice - “4D outlets will be closed. They are considered NON-ESSENTIAL services.” 😎,[],16
33,1245190304891695104,2020-04-01,11:24:37,@tanjooilong  'No magic solution': Lawrence Wong on why Singapore is not locked down amid COVID-19 outbreak  https://t.co/nsIQ04nukQ,[],15
34,1243767055658053632,2020-03-28,13:09:08,"Netizens touched by Minister Lawrence Wong’s emotional tribute to frontline workers; some call it an act to win votes  https://t.co/2fUIWKIeAv charge full rates on PRs, long term pass holders, visitors for the 14 days quarantine n at private hospitals not public health hospitals",[],42
35,1243766084806668290,2020-03-28,13:05:17,Netizens touched by Minister Lawrence Wong’s emotional tribute to frontline workers; some call it an act to win votes  https://t.co/2fUIWKIeAv similar to pinky who cried during a speech to win votes too,[],32
36,1242749437698396160,2020-03-25,17:45:29,#COVID19: Minister for National Development Lawrence Wong gets emotional thanking unsung heroes providing services during the outbreak    https://t.co/zf6aZvArMA via @YouTube,['covid19'],17
37,1242742577113120771,2020-03-25,17:18:14,A government in touch with its people. COVID-19: Lawrence Wong gets emotional thanking unsung heroes providing ...  https://t.co/lTCABIn6no via @YouTube,[],17
38,1240906358834094080,2020-03-20,15:41:45,Minister Lawrence Wong says GE “very likely” to be held during COVID-19 outbreak  https://t.co/ioshLqJnDp gathering of people so now u want to have GE. Aren't u scare to be voted out,[],29
39,1240186842844024832,2020-03-18,16:02:39,"""The challenge is that the more we do to flatten the infection curve, we are actually also steepening the recession curve because as we do more of these measures, the right measures, to save lives ... ,"" Lawrence Wong, Singapore's minister for national development",[],41
40,1237289319968018432,2020-03-10,16:08:56,"We are very lucky today. Get to see Mr. Lawrence Wong &amp; Japan Ambassdor, Makoto Yamanaka in person @ Garden By The Bay-Flower Dome  https://t.co/xBxl8DMTzS",[],21
41,1227903444700131328,2020-02-13,18:32:49,Too early to tell how COVID-19 situation will unfold in Singapore: Minister Lawrence Wong  https://t.co/bZzR4B8Owg via @connected2india,[],15
42,1214613606597181441,2020-01-08,02:23:44,"He might as well have said ""there are insufficient synergies"" | Cats in flats: HDB pet ownership policies have to 'strike a balance', says Lawrence Wong  https://t.co/6HSaEHOGN9 #meaninglessphrases #saywhatyoumean #politicalsalestalk","['meaninglessphrases', 'saywhatyoumean', 'politicalsalestalk']",25
