,id,date,time,tweet,hashtags,num_words
0,1364577242563571720,2021-02-24,22:05:41,"Singapore received the first batch of Sinovac vaccines on Wed, the Chinese embassy said, adding that it is a ""new highlight"" to bilateral cooperation. Singapore's health ministry stresses that Sinovac has not been granted approval unlike the Pfizer-BioNTech and Moderna vaccines.",[],39
1,1364546821612208134,2021-02-24,20:04:48,"What Joke, India is going through critical phase of covid and in Ahmedabad 99% people not wearing mask while watching match. @BCCI @ICC @PMOIndia @MoHFW_INDIA @WHO",[],20
2,1364545980557709318,2021-02-24,20:01:28,"【MINISTRY OF HEALTH (SINGAORE) 】   【Information about COVID-19 Vaccination】  The COVID-19 vaccine you have received consists of two doses. The second dose must be completed to achieve the best possible protection, and for the protection to be as long-lasting as possible.  https://t.co/ypqaYtr21g",[],39
3,1364508211827597312,2021-02-24,17:31:23,"India -- The Union health ministry wrote to states on Tuesday, asking them to expedite the vaccination drive, and announced it has dispatched teams to states where Covid-19 cases are rising, as alarm grows over what looks like the beginning of India's se   https://t.co/cEDAEvT6i9",[],41
4,1364209208267206660,2021-02-23,21:43:15,"Under new pre-travel guidelines effective Feb 23, all air passengers have to undergo PCR test for entry into India. Request to kindly exempt small children from having to undergo this test and provide clarification ASAP @IndiainSingapor @MEAIndia @MoHFW_INDIA",[],33
7,1364086594064408581,2021-02-23,13:36:02,"T2 expands into Saudi Arabia, South Africa,Israel and Egypt; GCC and Africa:the fastest-growing and the most dynamic teleradiology markets  https://t.co/1R6zNiR2pj @TeleradTech @WHO @MoHFW_INDIA @healthsaudiexpo @SaudiMOH @mHealthIsrael @Amref_Worldwide @Health2_0Egypt @shop_egypt",[],19
8,1363799892150214666,2021-02-22,18:36:47,@drharshvardhan @PMOIndia @narendramodi @BJP4India @JPNadda @AmitShah @MoHFW_INDIA @AyushmanNHA Pls consider working with the Pvt sector to accelerate deployment by 10x - a data led approach.,[],15
9,1363728512188751879,2021-02-22,13:53:08,"@flyingchappal3 @Ach_Balkrishna @MoHFW_INDIA @ani_digital @yogrishiramdev @moayush @drharshvardhan @vaidyakotecha You would know what it means if you did a simple google search. But no, lazy no good people like you want a handout everywhere. So here is what it means.  https://t.co/PCLmEVnnCO",[],31
10,1363728170625556482,2021-02-22,13:51:47,@BJP4Riches @Ach_Balkrishna @PypAyurved @MoHFW_INDIA @ani_digital @yogrishiramdev @moayush @drharshvardhan @vaidyakotecha Why do you assume he is 'Farzi Baba' in your question?,[],11
11,1363727988718637056,2021-02-22,13:51:04,@Enraged_Indian @Ach_Balkrishna @MoHFW_INDIA @ani_digital @yogrishiramdev @moayush @drharshvardhan @vaidyakotecha If there is nothing called WHO GMP then what is this? You don't even bother to do a simple google search before running your mouth.   https://t.co/PCLmEVnnCO,[],24
12,1363647230951923714,2021-02-22,08:30:09,"Vaccine prevents 98.9% of COVID deaths, Israel's Health Ministry data shows | The Times of Israel ⁦@narendramodi⁩ ⁦@drharshvardhan⁩ hope the pace of vaccinations pick up.   https://t.co/8AwdAFBKJE",[],20
