,id,date,time,tweet,hashtags,num_words
0,1364424836999766022,2021-02-24,12:00:05,OTH is acutely aware of scammers using phony accounts by copying our contest ads to trick our followers into disclosing personal details including NRIC and credit card number. Please report to us if you receive any suspicious message or activity.  https://t.co/saDCzH8u1Z,[],40
1,1363787356248150016,2021-02-22,17:46:58,@FlopPotatoe (3/3) 4. Subscriber's billing address: 5. Subscriber's hub id:  6. Are you the account holder? Yes/No  If you are not the account holder: 7. Your relationship to the account holder:  7a. Your full name: 7b. Last four alphanumeric of your NRIC/FIN:  Thank you. - Ben,[],37
2,1363787145559896064,2021-02-22,17:46:08,"@FlopPotatoe (2/3) To check your account further, please provide us with the following information for verification purposes:  1. Subscriber's registered name (in full): 2. Last four alphanumeric of subscriber's NRIC/FIN: 3. Subscriber's registered mobile number:",[],28
3,1363710671020556289,2021-02-22,12:42:15,"@Hellopanda1222 Hi Cookie! We can check that for you! Please send us a DM at  https://t.co/7P9YCSzuSq with your registered subscriber's name, last 4 characters of your NRIC/FIN, and Hub iD/email address. Thanks! - Janice",[],31
4,1362648414270279681,2021-02-19,14:21:13,"Compensation please! ....Nearly 130,000 #Singtel customers' personal information, including NRIC details, stolen in #databreach  https://t.co/wkx46rnST6","['singtel', 'databreach']",11
5,1362643100099895302,2021-02-19,14:00:06,"From now till 31 Mar 2021, simply flash your OTH PAssion card or NRIC (Tampines residents) to our friendly staff at the Customer Service Centre to redeem a free gift with min spend of $20 in a single receipt! Limited to 1 redemption per person/month. Terms &amp; Conditions apply.  https://t.co/DvHleIhJQc",[],45
6,1362285295740272640,2021-02-18,14:18:19,"@knightsjoker Hi knightsj! We do not have reported outage or scheduled maintenance for our broadband service. Please send us a DM at  https://t.co/7P9YCSzuSq with your registered subscriber's name, last 4 characters of your NRIC/FIN, and Hub iD/email address. Thanks! - Janice",[],38
7,1362278240966959104,2021-02-18,13:50:17,"Nearly 130,000 Singtel customers' personal information, including NRIC details, stolen in data breach   https://t.co/5Y9GBWKId2",[],12
8,1362256917490409472,2021-02-18,12:25:33,"Singtel's file-sharing system was illegal accessed by unidentified hackers, which resulted in about 129,000 customers' personally identifiable data like NRIC, name and address to be stolen.  https://t.co/XFm5nUkXLP",[],23
9,1362250605687791617,2021-02-18,12:00:28,"Wake up call to review your data governance &amp; data security strategy —Data of some 129,000 Singtel customers, including NRIC details, stolen in hack of third-party system   https://t.co/ZUKuCQkkPa",[],24
