,id,date,time,tweet,hashtags,num_words
0,1364593161436160004,2021-02-24,23:08:57,"@dotlahcom, I am currently working on a Ph.D. research project with Dr. Bharat Dahiya, where we are looking at Smart City innovation and citizens inclusion. Hopefully, you and your network in #Singapore can help us with a survey? #smartnation    https://t.co/SY0deS3fPl","['singapore', 'smartnation']",37
1,1364487355264983044,2021-02-24,16:08:31,"Programmes such as Singapore’s Smart Nation Initiative, Saudi Arabia’s National Transformations Plan 2020, and Qatar’s Smart Programme can equip citizens with the right skills, education, and mindsets for future growth. #MEIConf21",['meiconf21'],32
2,1364486315249524741,2021-02-24,16:04:23,Minister for Foreign Affairs and Minister-in-charge of the Smart Nation Initiative Dr Vivian Balakrishan kicks off Day 2 of MEI’s Annual Conference with a keynote speech on technology and smart cities. #MEIConf21,['meiconf21'],30
3,1364389022714400768,2021-02-24,09:37:46,S$1 billion! That’s the amount the Singapore Government is setting aside to help mature enterprises adopt adoption of digital solutions and new technologies.  Read more about the new schemes and enhanced support here:  https://t.co/VsfhPM2v5s,[],34
4,1363703029191626752,2021-02-22,12:11:53,Twitter's most shared #smartnation content in a simple weekly digest. No noise. Free.  https://t.co/EgOy70uJWK,['smartnation'],11
5,1363523037782368259,2021-02-22,00:16:39,The older system was easier and faster   No need to load unnecessary data. Straihht to the point but nooooo  They had to make an app for it cos they want to be smart nation,[],34
6,1362194931138273280,2021-02-18,08:19:14,Singapore has once again come up tops for digital inclusiveness! It was lauded for measures such as free public WiFi and financial assistance schemes for digital skills training.  Read more here:  https://t.co/3jjXrc7wCG  https://t.co/4jlOORtgyW,[],31
7,1347438998780669952,2021-01-08,15:04:26,@Kongduino Actually Vivan the TT Minister is the Foreign Affairs Minister ... But Vivan also looks after Smart Nation ... Yep the Smart Lampposts with the (supposedly) Facial Recog Cameras 🤔,[],27
8,1332575663182602240,2020-11-28,14:42:50,"SafeEntry Gateway is designed and built in-house by the Smart Nation and Digital Government Group.  It's currently on trial at Downtown East until the end of the year, so if you happen to be there, do give it a go!  https://t.co/qpmmDfGfLr",[],38
9,1289074630423007233,2020-07-31,13:45:16,"From all of us at Smart Nation Singapore, we wish all our Muslim friends Selamat Hari Raya Haji! ✨  https://t.co/QJwBB5AFwf",[],18
10,1281753037560705024,2020-07-11,08:51:52,"#Singapore has spoken. Let’s now move forward TOGETHER to build our #SmartNation into a brilliant #DigitalEconomy, and get past #COVID19. @mySingapore @PAPSingapore @wpsg @sgbrands @harishpillay @VivianBala @leehsienloong @jamuslim @IMDAsg @ChannelNewsAsia  https://t.co/GzwICvgPp9","['singapore', 'smartnation', 'digitaleconomy', 'covid19']",17
11,1275242130911358977,2020-06-23,09:39:51,SafeEntry should support 4 languages for the seniors to use. So called the National Digital Check In System but only English??? #govtech #smartnation #SGUnited #safeentry @GovTechSG @IMDAsg @govsingapore,"['govtech', 'smartnation', 'sgunited', 'safeentry']",20
12,1238703726468055040,2020-03-14,13:49:17,Are you ready for #CoronaVirus19?  Be prepared with #CriticalEventManagement #CEM software @Everbridge #Government #Healthcare #terrorism #SmartCities #SmartNation @sporeMOH @kemkominfo @stb_sg @HKTourismUK @IndianExpress @CNETAustralia @SkyNewsAust   https://t.co/tuueF8kJQS,"['coronavirus19', 'criticaleventmanagement', 'cem', 'government', 'healthcare', 'terrorism', 'smartcities', 'smartnation']",8
13,1233574189799313408,2020-02-29,10:06:20,"A #SmartNation is about improving our quality of life and supporting our businesses. We will continue to re-engineer ourselves, enhance digital services and transactions with you, and partner with citizens and businesses on this journey ahead 💪🏻 #sgbudget2020 Learn more:  https://t.co/25OasCR53J","['smartnation', 'sgbudget2020']",36
14,1229709061769191424,2020-02-18,18:07:41,Cool. Doctor's notes distributed electronically to your phone via Singapore's Smart Nation initiative  https://t.co/2rCZlfDxxB,[],11
15,1217951389667581954,2020-01-17,07:26:54,"#Singapore @EDBsg scorecard on 32,814 new jobs with 49% in #Digital  #DigitalTransformation #DigitalEconomy #SmartNation  https://t.co/NyZShWZ5OP","['singapore', 'digital', 'digitaltransformation', 'digitaleconomy', 'smartnation']",6
