,id,date,time,tweet,hashtags,num_words
0,1364622244987633667,2021-02-25,01:04:31,"#SouthKorea 's #military is facing criticism after a #NorthKorean man managed to swim across what's supposed to be the world's most heavily guarded #border.He was caught on #demilitarisedzone #surveillance cameras eight times, but #soldiers did not begin looking for him for hours  https://t.co/ZxQUX9zykp","['southkorea', 'military', 'northkorean', 'border', 'demilitarisedzone', 'surveillance', 'soldiers']",33
2,1364551762544259074,2021-02-24,20:24:26,@ELFT_QI @katbrit11 Perhaps to include the need for audit and compliance in order to ensure sustainability of intervention or change? This mechanism provides surveillance function for project team to detect special cause variations and emerging defects in the system.,[],37
3,1364445053951774722,2021-02-24,13:20:25,one of the coolest things about the curiosity and perseverance landings is that they didn't do any orbiting or landing site surveillance... they were launched from earth on a trajectory that intersected with the martian atmosphere  that's a lot of math,[],39
4,1364388079985778691,2021-02-24,09:34:02,Need for physical and cybersecurity measures like surveillance and incident response plans.,[],12
5,1364388078429687808,2021-02-24,09:34:01,"Security challenges of vaccination programs include: theft, data breaches, counterfeits, impersonation, transport and storage protection.  #nationalsecurity #healthsecurity #covid19 #vaccines #cybersecurity #surveillance #physicalsecurity  https://t.co/mxP3FY97vr","['nationalsecurity', 'healthsecurity', 'covid19', 'vaccines', 'cybersecurity', 'surveillance', 'physicalsecurity']",15
6,1364310697123999745,2021-02-24,04:26:32,"RT @davegershgorn: hey! if you’re interested in A.I./ surveillance/the intersection between tech and government, the best way to keep up to date is by following me on Medium. i have a nifty subdomain and everything   https://t.co/1xP3pqvOEc",[],37
7,1364274693050523651,2021-02-24,02:03:28,"""Regular surveillance of the banking system has not found significant funds from #Myanmar companies and individuals in banks in Singapore, the Monetary Authority of Singapore (MAS) said on Tuesday, Feb. 23.""   https://t.co/Q2rm04Bmpf",['myanmar'],29
8,1364191703586902016,2021-02-23,20:33:42,@DavidLarter President Sauron’s commitment to internal surveillance is certainly robust. But we should take also take the long view on Mordor’s reform process. And they do buy shedloads of baby milk formula.,[],33
10,1364144310325710848,2021-02-23,17:25:22,"The @amro_asia is our region’s macroeconomic surveillance organisation that aims to secure financial stability in the ASEAN+3 region. SKBI Director, Dave Fernandez, was present at the Advisory Panel meeting held this week to discuss the latest regional #macroeconomic issues.  https://t.co/r0V8IqVqjS",['macroeconomic'],38
11,1364053893278220288,2021-02-23,11:26:05,"Did you miss our TechTalk on Challenges facing National Malaria Programs in maintaining continued focus on Vector Surveillance? Do not fear, go to:  https://t.co/6JQ8v6lDfC @JCU_mossies @tomburkot @Dr_TanyaRussell Robert Farlow Dr. Pradeep Srivastava #VectorControl #malaria","['vectorcontrol', 'malaria']",28
12,1364048920343498753,2021-02-23,11:06:20,Interesting development on state surveillance: US court warns law enforcement units against the use of cellphone GPS data without a warrant for investigations. Via @ByronTau  https://t.co/FO1JYgfASd,[],24
13,1364005965796831235,2021-02-23,08:15:38,"The compliance program includes #education, air-sea-land #surveillance, remote vessel #tracking and #audits of activities requiring permit. Aim: to achieve high levels of #voluntary compliance, maintain strong enforcement to deter and detect illegal activity. #MarineProtectedArea","['education', 'surveillance', 'tracking', 'audits', 'voluntary', 'marineprotectedarea']",27
14,1363521283195998208,2021-02-22,00:09:41,@keyvinqiu combining the 2 most fundamental aspects of singaporean society; mass state surveillance and exams,[],13
