,id,date,time,tweet,hashtags,num_words
0,1364723762860412929,2021-02-25,07:47:55,"Paste the link on the dapp Trust wallet or Metamask wallet   ▪️ Submit name  ▪️ Telegram user Name  ▪️ Wallet address bsc  ▪️ Create Account Received 40 Tokens ✅ Done   ⚠️ New project, Change the BSC network   https://t.co/wZKHp1pYB6  https://t.co/eyZZUsUoJu",[],30
1,1364650837679644676,2021-02-25,02:58:08,$PAID Managed the unlocked Token Day brilliantly  Just #Hold and Buy  ✅ Solid Project  ✅ CEO well know with a lot connections &amp; Strong team  ✅ Future $1B marketcap ✅ Access to Ignition and 10x100 on new projects ✅ Future Top 100 Market Cap  #GetPAID #BTC  #Cryptocurrencies,"['hold', 'getpaid', 'btc', 'cryptocurrencies']",34
2,1364627326802141187,2021-02-25,01:24:42,"@kyle_chasse @web3foundation @paid_network You are the Real Captain with your strategies even Today $Paid has unlocked the presale tokens is holding Great. Soon When all the 'Weak Hands"" completely out we will take off for Mars.🚀",[],33
3,1364625095835049989,2021-02-25,01:15:51,@kyle_chasse @web3foundation @paid_network @deeper_network ? please I need their token allocation,[],6
4,1364624692133253122,2021-02-25,01:14:14,Today @paid_network has unlocked the presale tokens at moment it is only losing 15% this shows how solid and strong the project is.Simply continue to buy $Paid if you want to be #financially #free in the near future #Crypto #Investment #mars2021  https://t.co/oEn7KeXIqA,"['financially', 'free', 'crypto', 'investment', 'mars2021']",33
5,1364623595364786178,2021-02-25,01:09:53,@DooWanNam @solana Different SPL tokens has different receiving address. Don’t ask me why lol.,[],13
6,1364613547875917826,2021-02-25,00:29:57,No other asset-backed token provides real-time #ProofOfReserve and circulating supply data like #CACHE #Gold does. We encourage the general public to #audit us at any time.  #Tether #USDT #AuditUs #CGT $CGT $USDT   https://t.co/wKsQq8S10e @cache_gold,"['proofofreserve', 'cache', 'gold', 'audit', 'tether', 'usdt', 'auditus', 'cgt']",22
7,1364597569683296260,2021-02-24,23:26:28,We’re happy to announce a partnership with @MANTRADAO $OM to provide a pre-platform #DeFi staking option for the $FXF token.   #Staking rewards wil start on March 10. Details to follow.   Read below 👇   https://t.co/gEZu7DT9GK,"['defi', 'staking']",28
8,1364585923845918720,2021-02-24,22:40:11,@spar_protocol This has airdrop to $LUNA token holders?,[],7
9,1364582865149648900,2021-02-24,22:28:02,@realsilverrider I know cache pretty well. 100g is the delivery or redeemable. Paxos is 400oz i believe. Not practicle.  Cache is gold fronted. No token made unless gold is there. Plus its redeemable almost anywhere in the world.,[],35
10,1364575992333824006,2021-02-24,22:00:43,"SC Soft designed AFCS Gates are now live at Kolkata Metro's Dakshineshwar and Baranagar stations. Designed to have seamless look &amp; feel, it supports the use of contactless smart cards, QR &amp; CSC tokens.  https://t.co/i9t1Tc6NbR  https://t.co/5llfnRy4wW",[],31
11,1364573852190220290,2021-02-24,21:52:13,ColdLar touch wallet: ETHF token updated today  #ethfund #trams #tien #t8t #t8c #t8ex #coldlar  https://t.co/MIcWD7zJGu,"['ethfund', 'trams', 'tien', 't8t', 't8c', 't8ex', 'coldlar']",7
12,1364569187142701063,2021-02-24,21:33:41,"$Roya testnet reward guys,join for phase 2 Or buy token right now,before pump  Best gaming platform on with blockchain,and easy to staking   #RoyaleFinance #iGaming #iGDefi #Royale #GDefi etc","['royalefinance', 'igaming', 'igdefi', 'royale', 'gdefi']",25
13,1364565743598116868,2021-02-24,21:20:00,Did you know?🤔  The #VeVe app utilises an incredible #token economy that reduces the total supply of $OMI every time a new #NFT is purchased?!    https://t.co/3IltzIYLHd,"['veve', 'token', 'nft']",22
14,1364554261082693632,2021-02-24,20:34:22,"The New Resource Model ---- PowerUp is now available on #TokenPocket. Restart your wallet, and it will work! @EOS_Nation @block_one_ @TheSyedJafri @MarcAntoineRoss @EOS_IO_HK @EOS_Nation  https://t.co/Md9c21mynl",['tokenpocket'],16
15,1364535292531777539,2021-02-24,19:19:00,What is happening with the $OMI token this quarter?!  Find out here!   https://t.co/9GNLXe4pcC,[],12
16,1364526758402252807,2021-02-24,18:45:05,@BebobeL_CL @EquilibriaCC Are you sure that $XEQ will be in great demand in the long term? Give me a strong point to hold your token for a long period??,[],27
17,1364523366900637701,2021-02-24,18:31:36,"@amaloversclub @Raze_Net i want to ask regarding Burn / buyback system, actually burn token is great because its possible to increasing value from the token, So do Raze Network have Burn or Buyback system ? if yes, how will your burn system work in Raze Network Platform?",[],43
18,1364520947030482944,2021-02-24,18:22:00,@InfinityGrCPT @VortexDefi Can you tell us the motivation and benefits for investors to hold $VTX long term? What plans do you have to help drive demand and scarcity for the token ?,[],29
19,1364519933422362636,2021-02-24,18:17:58,@amaloversclub @SmokehouseDefi Do you create any tokenburn roadmaps for increasing the token value for customer benefits?,[],14
20,1364518218266673152,2021-02-24,18:11:09,@agatkn How does $AGA keep its token always deflationary? What are the decentralized protocols that prevent the depreciation of this token and provide support and shelter for users seeking this type of financial model?,[],33
22,1364515704255340546,2021-02-24,18:01:10,@HiBlockTalks @WaCo_Token Some DeFi projects were recently “hacked” as per their explanations. How do you think these recent events on other DeFi products affects the trust by users? What can Your Project do in order to ensure crypto enthusiasts that #DeFi is safe and reliable?,['defi'],42
23,1364515698253258754,2021-02-24,18:01:08,@HiBlockTalks @WaCo_Token 🍀Is WaCo a local project or a global project? Is there a plan to create local communities in various languages to let them understand WaCo in a better way?,[],29
25,1364507887180079105,2021-02-24,17:30:06,"Trading update! The Alternative Asset Absolute Return Token (""3ART"") has closed at $100.11, remaining stable.  💎  https://t.co/EVKcpqcQTb  #fintech #blockchain #alternativeassets #digitalassets #wealthmanagement #bitspread #blockberry #investors #fintechweekly #fintechasia  https://t.co/TcDE9MkNZK","['fintech', 'blockchain', 'alternativeassets', 'digitalassets', 'wealthmanagement', 'bitspread', 'blockberry', 'investors', 'fintechweekly', 'fintechasia']",13
27,1364502965046812673,2021-02-24,17:10:32,@skeletosi @cosmos You can for example use the Onramper dapp in the browser.,[],11
28,1364501101563666434,2021-02-24,17:03:08,"@willie_nut @BillLaboon @Polkadot You can also open imToken, open your DOT wallet and click 'Staking'",[],12
29,1364496330157006850,2021-02-24,16:44:10,KCS is literally #bullish these past few days even with little correction. and we all know that theres upcoming token burn for it. so what more if $KCS gets listed on #binance #BinanceListsKCS @cz_binance &amp; @lyu_johnny. Please hear us!!  it's for the users' sake,"['bullish', 'binance', 'binancelistskcs']",37
30,1364492783751475201,2021-02-24,16:30:05,"Trading update! The “Iconic French Wine” Token has closed at $100.20, remaining stable.  💎  https://t.co/vDvA2iw6C9 #investments #alternativeassets #fintech #blockchain #wealthmanagement #digitalassets #luxurywines  #wines #investmentstrategy #winestrategies #investmentstrategies  https://t.co/TKmu9E7bJl","['investments', 'alternativeassets', 'fintech', 'blockchain', 'wealthmanagement', 'digitalassets', 'luxurywines', 'wines', 'investmentstrategy', 'winestrategies', 'investmentstrategies']",12
31,1364491999647174656,2021-02-24,16:26:58,"@hoprnet Goodluck guys, i'd happy for holding this token $HOPR   https://t.co/bkCThj14Wj",[],8
32,1364488024764022791,2021-02-24,16:11:10,"Should you issue a token? If you plan to tap into the disruptive scaling potential of #Web3, this should not even be a question.   Penned some thoughts here about the power of open and inclusive innovation, drawing upon examples like @SushiSwap",['web3'],39
33,1364485626934947842,2021-02-24,16:01:39,One local case today. Need to wait for tonight's press release for the details.  Stay vigilant. Mask up. See doctor and get tested immediately if you have any symptoms. Use TraceTogether app/token. 😷💉  https://t.co/0kpcU4z2wA,[],32
34,1364485302115569664,2021-02-24,16:00:21,We are working non-stop to achieve this by bringing individual #Internet bandwidth buyers and sellers together on ONE common platform Ammbr using the $AMR Token &amp; Mesh Network.📶  https://t.co/5HqnatySm2,['internet'],25
35,1364482646856765441,2021-02-24,15:49:48,"@redphonecrypto @3commascapital @dextfprotocol is a decentralize infrastructure for digital fund management, you can create a fund, mint token of the fund on the dapp and create a pair on a dex exchange where friends can buy easily. My friends started learning in this way",[],41
36,1364477411266469890,2021-02-24,15:29:00,"Some @cosmos users are asking us when we will update to #Stargate. The answer is that most of you already have the update (on the latest imToken v2.8.2 app). We just haven't announced it yet.  For everybody else: Update, restart the app while online &amp; let us know if we can help😉",['stargate'],47
37,1364469875217895428,2021-02-24,14:59:03,"Man who lost job voluntarily cleans up Telok Blangah hawker centre tables for few days, grateful patron gives him hong bao token  https://t.co/3PaFedW0NH  https://t.co/UBJNC1fNsf",[],22
38,1364469691566104577,2021-02-24,14:58:19,Nami Corporation Token will be listed on ViteX from 25/02 #NAMI #NamiExchange #ViteX,"['nami', 'namiexchange', 'vitex']",9
39,1364453982156976129,2021-02-24,13:55:54,"For my new house,,,? Uwu",[],5
40,1364438221938065409,2021-02-24,12:53:16,@Infinity_AMA @KnitFinance What will be the token circulation supply by the end of the year?,[],13
41,1364434536520589312,2021-02-24,12:38:38,Multicoin Capital just put out a bullish analysis of #THORchain and #rune.    https://t.co/omV1AChAGA  THORchain is next level DEX infrastructure that allows tokens to be traded across blockchains.,"['thorchain', 'rune']",24
42,1364425204496146433,2021-02-24,12:01:33,"EOS PowerUp Model Is Activated  EOS PowerUp Model is now activated on EOS Mainnet, TokenPocket has already supported this feature and will open soon.  @YvesLaRoseEOSN @EOS_Nation @EOS_Canada @EOS42io @_marcuswu_ @heipacker",[],24
43,1364422699578126336,2021-02-24,11:51:35,win the lottery? do u?  Fractal Token Launch on Polkastarter by @fractalprtcl  https://t.co/p5etTpqoMH,[],11
44,1364409078257098753,2021-02-24,10:57:28,"@nmbplatform @Uniswap Not interest ERC20 network, earned airdrop but fee bigges of airdrop token earned. Every Airdrop of ERC20 network me skip😂🙏",[],20
45,1364408134513606661,2021-02-24,10:53:43,"@bitforexcom Do not miss this gem $EPAN listing the Paypolitan EPAN token on BitForex exchange, Hong Kong starting on February 18th 2021until March 3rd",[],20
46,1364405597513342978,2021-02-24,10:43:38,"@bitforexcom Do not miss this gem $EPAN listing the Paypolitan EPAN token on BitForex exchange, Hong Kong starting on February 18th 2021until March 3rd",[],20
47,1364405132289593349,2021-02-24,10:41:47,"@wahengbamrc Do not miss this gem $EPAN listing the Paypolitan EPAN token on BitForex exchange, Hong Kong starting on February 18th 2021until March 3rd",[],20
