,id,date,time,tweet,hashtags,num_words
0,1363706595583037440,2021-02-22,12:26:03,"@kixes Foreign minister Vivian Balakrishnan was guest of honour at the Focus on the Family fundraiser ‘aligned to Singapore’s Bicentennial’, where he talked about the government’s family policies.  https://t.co/7KSbnzHnhE",[],29
1,1363519368097796100,2021-02-22,00:02:04,"Received #Singapore #Citizenship certificate from Dr. Vivian Balakrishnan, Minister for Foreign Affairs (20 Feb 2021) @ Senja-Cashew Community Club.  https://t.co/clhDvJE95P","['singapore', 'citizenship']",13
2,1363294919398318080,2021-02-21,09:10:12,"In particular, I reject Vivian Balakrishnan's statement that politics &amp; business must be separate &amp; business decisions made only on commercial grounds. ""But money can be made"" is worse than no excuse if the means of making it cause harm.",[],37
3,1363133751245430794,2021-02-20,22:29:46,"“If the situation continues to escalate, there will be serious adverse consequences for Myanmar and the region.""   Two people lost their lives today, and yet Singapore's response is no different from Vivian Balakrishnan's statement on 16th February   https://t.co/romgY8Ha5G",[],34
4,1362701870200877056,2021-02-19,17:53:38,"Enhancing security, economic, digital, and people-to-people cooperation: National Security Advisor Jake Sullivan and Foreign Minister Vivian Balakrishnan @VivianBala discussed opportunities to strengthen the U.S.-Singapore Strategic Partnership in their February 16 call.",[],30
5,1362597296345554945,2021-02-19,10:58:05,"Violence, in particular live rounds, should not be used on unarmed civilians in Myanmar: Vivian Balakrishnan  https://t.co/SYuI5AGuzm via @TODAYonline",[],17
6,1362315400059310080,2021-02-18,16:17:56,Minister for Foreign Affairs Dr Vivian Balakrishnan met Indonesian Minister of Foreign Affairs Her Excellency Retno Marsudi in Singapore today. Both Ministers exchanged views on the ongoing developments in Myanmar.   https://t.co/Q3ufQyQ6LL,[],30
7,1362313478644457476,2021-02-18,16:10:18,"Singapore's foreign minister Vivian Balakrishnan met with his Indonesian counterpart Retno Marsudi today and they expressed ""grave concern"" over the situation in Myanmar. @MFAsg says they showed ""strong support"" for the proposed informal Asean ministerial meeting to be convened.",[],37
8,1346632912876146689,2021-01-06,09:41:20,Adding the latest TT debacle to the list of things that our dear Vivian Balakrishnan “had not thought of”.  https://t.co/fg4Ej7Ld49,[],19
9,1346398190594105344,2021-01-05,18:08:38,I didn't think of Criminal Procedure Code when speaking earlier about #TraceTogether: Vivian Balakrishnan   https://t.co/U2PJ7v39Yu,['tracetogether'],12
10,1285104979313741824,2020-07-20,14:51:17,Al-Jazeera used to operate out of Singapore.  It made two films: one about thriving prostitution in Geylang and the other on homelessness. Minister Vivian Balakrishnan weighed in and its media passes were never renewed  I hope this doesn’t play out the same way,[],43
11,1282345206583455746,2020-07-13,00:04:56,"Let me (be the first to?) float the idea: Vivian Balakrishnan to leapfrog HSK and CCS as PM. Other than the Youth Olympics kerfuffle, VB has almost nothing that counts as a liability. Also helps that he can speak in complete sentences.",[],42
12,1281799655009837057,2020-07-11,11:57:07,"Stop with this silly non-Chinese PM thing and look carefully. If Tharman doesn’t want the PM role, then Vivian Balakrishnan is the logical choice.  Has done fine work with foreign affairs, anchors a pretty safe GRC, same age as the “4G” bunch and has been in Parliament for 19yrs",[],47
13,1278682076552650752,2020-07-02,21:28:58,"Vivian Balakrishnan trades blows with Chee Soon Juan   https://t.co/lE4KI8sd0d did yr govt issued a Porma to LTP on falsehood statement that each Singaporean receives $26k in parliament. Most got $600, $300-$600 + $100. Please pay the shortfall to us",[],33
