,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_tweets,emoji_decoded_tweets
0,1353965689967685632,1353965689967685632,2021-01-26,15:19:10,4881410146,_shxzln,✨ALYNN✨,"{'type': 'Point', 'coordinates': [1.49455353, 103.84455211]}","Panic buying 🤣 (@ Little Genius Masai in Masai, Johor)  https://t.co/oCBNOTWGxp",en,[],['https://www.swarmapp.com/c/joabhdwErJU'],[],0,0,0,[],https://twitter.com/_shxzln/status/1353965689967685632,0,[],"['littl', 'geniu', 'masai', 'masai', 'johor']","Panic buying :rolling_on_the_floor_laughing: (@ Little Genius Masai in Masai, Johor)  https://t.co/oCBNOTWGxp"
6,1348885533171228674,1348885533171228674,2021-01-12,14:52:26,1133632866762362881,zlkrhmt,kakzu🦋,,panic buying😭🖐️  https://t.co/zgXMJfwGkV,en,[],[],['https://pbs.twimg.com/media/Erg0O4LVoAAGkXE.jpg'],16,1,35,[],https://twitter.com/zlkrhmt/status/1348885533171228674,1,[],[],panic buying:loudly_crying_face::hand_with_fingers_splayed:  https://t.co/zgXMJfwGkV
11,1337775634051858434,1337775634051858434,2020-12-12,23:05:40,195690494,lenatikah,🇲🇾 Lena 🌺,,Panic buying sangat ni ke treat myself something sksksksk bongok betul saving 3 bulan dpt gaji mcm orang kaya shopping checkout without looking at my bank 😂 Last shopping mcmni my birthday ogos ritu lol  https://t.co/a4w0QjApra,en,[],[],['https://pbs.twimg.com/media/EpC72KQVoAMeE6F.jpg'],0,0,0,[],https://twitter.com/lenatikah/status/1337775634051858434,1,[],"['sangat', 'ni', 'ke', 'treat', 'someth', 'sksksksk', 'bongok', 'betul', 'save', 'bulan', 'dpt', 'gaji', 'mcm', 'orang', 'kaya', 'shop', 'checkout', 'without', 'look', 'bank', 'last', 'shop', 'mcmni', 'birthday', 'ogo', 'ritu', 'lol']",Panic buying sangat ni ke treat myself something sksksksk bongok betul saving 3 bulan dpt gaji mcm orang kaya shopping checkout without looking at my bank :face_with_tears_of_joy: Last shopping mcmni my birthday ogos ritu lol  https://t.co/a4w0QjApra
12,1331948498191728641,1331946836207169537,2020-11-26,21:10:43,938926096615014400,suha_0310,#Nasuha,,@OnibugibugiJR Omg panic buying btol ni yin..,en,[],[],[],0,0,0,[],https://twitter.com/suha_0310/status/1331948498191728641,0,"[{'screen_name': 'OnibugibugiJR', 'name': 'PYin 💙', 'id': '902398872445530112'}]","['omg', 'btol', 'ni', 'yin']",@OnibugibugiJR Omg panic buying btol ni yin..
13,1330513676227534848,1330513676227534848,2020-11-22,22:09:14,1051782336088395776,khooboocheang,Khoo Boo CheangJohn.,,"Why was his so caused by Pandamic Panic buying ,,🥐🥯🍞🥖🧀🍤🥩🥘 https://t.co/8k1JcfoQj0",en,[],['https://www.scmp.com/news/world/united-states-canada/article/3110836/us-coronavirus-panicked-shoppers-empty-store'],[],0,0,1,[],https://twitter.com/KhooBoocheang/status/1330513676227534848,0,[],"['caus', 'pandam']","Why was his so caused by Pandamic Panic buying ,,:croissant::bagel::bread::baguette_bread::cheese_wedge::fried_shrimp::cut_of_meat::shallow_pan_of_food: https://t.co/8k1JcfoQj0"
14,1326536502218645504,1326536502218645504,2020-11-11,22:45:22,1482348127,mferrisn,M.Faris.N,,March 2020: Panic buying   April - June: Circuit Breaker Phase 1  July - August : Elections   October - November : LAZADA LOWEST PRICE LOWEST PRICE LAAAA ZAAAA DAAAA,en,[],[],[],0,0,0,[],https://twitter.com/MFerrisN/status/1326536502218645504,0,[],"['march', 'april', 'june', 'circuit', 'breaker', 'phase', 'juli', 'august', 'elect', 'octob', 'novemb', 'lazada', 'lowest', 'price', 'lowest', 'price', 'laaaa', 'zaaaa', 'daaaa']",March 2020: Panic buying   April - June: Circuit Breaker Phase 1  July - August : Elections   October - November : LAZADA LOWEST PRICE LOWEST PRICE LAAAA ZAAAA DAAAA
15,1325747578638659584,1325747578638659584,2020-11-09,18:30:28,1050952285,amirhanafii_,4mir,"{'type': 'Point', 'coordinates': [1.49077406, 103.86703859]}","Panic buying 👀 (@ Mydin Mall - @mydinmalaysia in Masai, Johor)  https://t.co/WphknnR1Xc",en,"[{'screen_name': 'mydinmalaysia', 'name': 'mydin malaysia', 'id': '206693881'}]",['https://www.swarmapp.com/c/0qnnUxY57Bs'],[],0,0,0,[],https://twitter.com/AmirHanafii_/status/1325747578638659584,0,[],"['mydin', 'mall', 'masai', 'johor']","Panic buying :eyes: (@ Mydin Mall - @mydinmalaysia in Masai, Johor)  https://t.co/WphknnR1Xc"
25,1255762989333929984,1255762989333929984,2020-04-30,15:36:42,71155978,ezardzainal_,Shālǐ zhā dé,,My kind of panic buying. Bestnya!,en,[],[],[],0,0,0,[],https://twitter.com/ezardzainal_/status/1255762989333929984,0,[],"['kind', 'bestnya']",My kind of panic buying. Bestnya!
26,1255357117650931713,1255342224050708480,2020-04-29,12:43:54,1730901,eviltofu,Evil Tofu,,"@avalanchelynn Given all the panic buying and hoarding, I would expect not.",en,[],[],[],0,0,0,[],https://twitter.com/eviltofu/status/1255357117650931713,0,"[{'screen_name': 'avalanchelynn', 'name': '✿ a֒v֒a֒ ⓧ a֒v֒a֒ ✿', 'id': '1173088343795453953'}]","['given', 'hoard', 'would', 'expect']","@avalanchelynn Given all the panic buying and hoarding, I would expect not."
27,1253042143024701440,1253042143024701440,2020-04-23,03:25:01,775201513,shabirmusic,Shabir 🎹 ஷபிர்,,Can people panic grow their own food instead of panic buying? #COVID19,en,[],[],[],0,2,9,['covid19'],https://twitter.com/ShabirMusic/status/1253042143024701440,0,[],"['peopl', 'grow', 'food', 'instead']",Can people panic grow their own food instead of panic buying? #COVID19
