,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_tweets,emoji_decoded_tweets
0,1344625059072118784,1344624840590802944,2020-12-31,20:42:50,20659288,yamkeng,Baey Yam Keng 马炎庆,,"This virus changed the world. We have to lead our lives differently. The mask may hide our smile, but we learn to smile through our eyes. Safe distancing keep us apart, but we find ways to be closer in heart and mind.  https://t.co/x3FVsJ4L7D",en,[],[],['https://pbs.twimg.com/media/EqkRV6RVEAENoRo.jpg'],0,0,1,[],https://twitter.com/YamKeng/status/1344625059072118784,1,[],"['viru', 'chang', 'world', 'lead', 'live', 'differ', 'mask', 'may', 'hide', 'smile', 'learn', 'smile', 'eye', 'keep', 'us', 'apart', 'find', 'way', 'closer', 'heart', 'mind']","This virus changed the world. We have to lead our lives differently. The mask may hide our smile, but we learn to smile through our eyes. Safe distancing keep us apart, but we find ways to be closer in heart and mind.  https://t.co/x3FVsJ4L7D"
1,1343465169079300096,1343465169079300096,2020-12-28,15:53:51,307950538,samickiee,❁,,The principle behind safe distancing and whatever things is not about the fines that have to be paid if not following but about our own health and safety,en,[],[],[],1,0,0,[],https://twitter.com/samickiee/status/1343465169079300096,0,[],"['principl', 'behind', 'whatev', 'thing', 'fine', 'paid', 'follow', 'health', 'safeti']",The principle behind safe distancing and whatever things is not about the fines that have to be paid if not following but about our own health and safety
2,1342394551596707840,1342394551596707840,2020-12-25,16:59:36,86654286,jgmh30,uɐɯ ɔısnɯ | ɥoƃ lǝoɾ,"{'type': 'Point', 'coordinates': [1.27387796, 103.80155349]}","I am sorry to all the ships at ARC but I love how peaceful, quiet and SAFE this place really is! Muahahaha!   Social distancing ACHIEVED! @ ARC - Alexandra Retail Centre  https://t.co/I7L6m4oaHb",en,[],['https://www.instagram.com/p/CJNwOZjFAOXUGRxhND5ziyJTH7AmOaK9w8e76E0/?igshid=8jivcjnj3pcl'],[],0,0,0,[],https://twitter.com/jgmh30/status/1342394551596707840,0,[],"['sorri', 'ship', 'arc', 'love', 'peac', 'quiet', 'place', 'realli', 'muahahaha', 'social', 'achiev', 'arc', 'alexandra', 'retail', 'centr']","I am sorry to all the ships at ARC but I love how peaceful, quiet and SAFE this place really is! Muahahaha!   Social distancing ACHIEVED! @ ARC - Alexandra Retail Centre  https://t.co/I7L6m4oaHb"
3,1341989061494370304,1341935878176829442,2020-12-24,14:08:19,1280382514134044672,josephjohnadam1,Joseph John Adams,,"@Cleavon_MD Live in Singapore. Very safe. National plan and people protect one another. Mandatory masks, social distancing, technology based contact tracing and quarantine. Restaurants, malls, shops, schools open. 2 cases in about a month. Will take the vaccine when available.",en,[],[],[],0,0,2,[],https://twitter.com/JosephJohnAdam1/status/1341989061494370304,0,"[{'screen_name': 'Cleavon_MD', 'name': 'Cleavon MD', 'id': '953924228306305024'}]","['live', 'singapor', 'nation', 'plan', 'peopl', 'protect', 'one', 'anoth', 'mandatori', 'mask', 'social', 'technolog', 'base', 'contact', 'trace', 'quarantin', 'restaur', 'mall', 'shop', 'school', 'open', 'case', 'month', 'take', 'vaccin', 'avail']","@Cleavon_MD Live in Singapore. Very safe. National plan and people protect one another. Mandatory masks, social distancing, technology based contact tracing and quarantine. Restaurants, malls, shops, schools open. 2 cases in about a month. Will take the vaccine when available."
4,1338467241818349568,1338467241818349568,2020-12-14,20:53:52,125565483,fakkahfuzz,Fakkah Fuzz,,Yo!!! Comedy shows are BACK!  (With safe distancing rules and limited capacity😛)  Get it here!   https://t.co/RRLj8yH1dK  https://t.co/szxWWMdkIj,en,[],['http://Fuzznightisback.peatix.com'],['https://pbs.twimg.com/media/EpMw2w8VgAg0odZ.jpg'],0,2,12,[],https://twitter.com/FakkahFuzz/status/1338467241818349568,1,[],"['yo', 'comedi', 'show', 'back', 'rule', 'limit', 'capac', 'get']",Yo!!! Comedy shows are BACK!  (With safe distancing rules and limited capacity:face_with_tongue:)  Get it here!   https://t.co/RRLj8yH1dK  https://t.co/szxWWMdkIj
5,1337278302445158401,1337278302445158401,2020-12-11,14:09:27,19427461,shirls6900,Shirley Ng,,Singaporeans with no where to go. Orchard Rd is a hive of activity. Branded stores are ringing them in. This is the queue at Luke’s Lobster where ONE lobster roll will set you back $30+++. Safe distancing ambassadors (in red) are at a lost.  https://t.co/mAEOrvjR6X,en,[],[],['https://pbs.twimg.com/media/Eo73hm-U8AEdHmY.jpg'],0,0,0,[],https://twitter.com/shirls6900/status/1337278302445158401,1,[],"['singaporean', 'go', 'orchard', 'rd', 'hive', 'activ', 'brand', 'store', 'ring', 'queue', 'luke', 'lobster', 'one', 'lobster', 'roll', 'set', 'back', 'ambassador', 'red', 'lost']",Singaporeans with no where to go. Orchard Rd is a hive of activity. Branded stores are ringing them in. This is the queue at Luke’s Lobster where ONE lobster roll will set you back $30+++. Safe distancing ambassadors (in red) are at a lost.  https://t.co/mAEOrvjR6X
6,1336532017647812608,1336155801283510274,2020-12-09,12:43:59,517224631,abhiseetharaman,Abhinav Seetharaman,,"(4) @MilkenInstitute Asia Summit: Speakers &amp; attendees are then ushered to their designated tables &amp; seats, once again divided into the 4 zones. Masks are mandated at all times unless eating or drinking. Safe distancing ambassadors are also stationed around the venue. #Singapore  https://t.co/mJycGApBaN",en,"[{'screen_name': 'milkeninstitute', 'name': 'milken institute', 'id': '16373878'}]",[],['https://pbs.twimg.com/media/EoxQx2lUUAAaG_v.jpg'],0,0,1,['singapore'],https://twitter.com/AbhiSeetharaman/status/1336532017647812608,1,[],"['asia', 'summit', 'speaker', 'amp', 'attende', 'usher', 'design', 'tabl', 'amp', 'seat', 'divid', 'zone', 'mask', 'mandat', 'time', 'unless', 'eat', 'drink', 'ambassador', 'also', 'station', 'around', 'venu']","(4) @MilkenInstitute Asia Summit: Speakers &amp; attendees are then ushered to their designated tables &amp; seats, once again divided into the 4 zones. Masks are mandated at all times unless eating or drinking. Safe distancing ambassadors are also stationed around the venue. #Singapore  https://t.co/mJycGApBaN"
7,1336521546727268354,1336521546727268354,2020-12-09,12:02:22,17569873,teelip,Teelip,"{'type': 'Point', 'coordinates': [1.29306, 103.856]}","This festive season stay safe and in your safety bubble. Enjoy the festivity but do keep the mask on when in public and observe safe distancing, sanitise, etc... #BeSafeNotSorry @ Singapore  https://t.co/l6gOpNyL24",en,[],['https://www.instagram.com/p/CIkBfilgG3r/?igshid=1t007gq8l0nff'],[],0,0,0,['besafenotsorry'],https://twitter.com/teelip/status/1336521546727268354,0,[],"['festiv', 'season', 'stay', 'safeti', 'bubbl', 'enjoy', 'festiv', 'keep', 'mask', 'public', 'observ', 'sanitis', 'etc', 'singapor']","This festive season stay safe and in your safety bubble. Enjoy the festivity but do keep the mask on when in public and observe safe distancing, sanitise, etc... #BeSafeNotSorry @ Singapore  https://t.co/l6gOpNyL24"
8,1336155801283510274,1336155801283510274,2020-12-08,11:49:02,517224631,abhiseetharaman,Abhinav Seetharaman,,"Preparations underway for the in-person segment of this year’s @MilkenInstitute Asia Summit. 200-person capacity, and will strictly follow safe distancing + other guidelines set by the Singapore government. More updates to follow over the next day.  https://t.co/RgccpNqOSU",en,"[{'screen_name': 'milkeninstitute', 'name': 'milken institute', 'id': '16373878'}]",[],['https://pbs.twimg.com/media/Eor6nMNVoAAutgt.jpg'],1,1,4,[],https://twitter.com/AbhiSeetharaman/status/1336155801283510274,1,[],"['prepar', 'underway', 'segment', 'year', 'asia', 'summit', 'capac', 'strictli', 'follow', 'guidelin', 'set', 'singapor', 'govern', 'updat', 'follow', 'next', 'day']","Preparations underway for the in-person segment of this year’s @MilkenInstitute Asia Summit. 200-person capacity, and will strictly follow safe distancing + other guidelines set by the Singapore government. More updates to follow over the next day.  https://t.co/RgccpNqOSU"
10,1335468760107401217,1335468760107401217,2020-12-06,14:18:58,1296400065087430658,kel_o_official,Kelvin Ong,,"As a Safe Distancing Ambassador, we advocate the importance of safe distancing and good hygiene habits for the safety and health of the members of the public.  @NEAsg  Public Hygiene Council @CGSingapore   #safedistancingambassador #SGClean  https://t.co/BHh7Dqv0Dj",en,"[{'screen_name': 'neasg', 'name': 'nea', 'id': '59072662'}, {'screen_name': 'cgsingapore', 'name': 'cgsingapore', 'id': '59747766'}]",[],"['https://pbs.twimg.com/media/EoiJwc3VQAEIKCv.jpg', 'https://pbs.twimg.com/media/EoiJwdgU8AAnhAn.jpg', 'https://pbs.twimg.com/media/EoiJwdXVoAMGp6z.jpg', 'https://pbs.twimg.com/media/EoiJwd5UcAExfVX.jpg']",0,0,0,"['safedistancingambassador', 'sgclean']",https://twitter.com/Kel_O_Official/status/1335468760107401217,1,[],"['ambassador', 'advoc', 'import', 'good', 'hygien', 'habit', 'safeti', 'health', 'member', 'public', 'public', 'hygien', 'council']","As a Safe Distancing Ambassador, we advocate the importance of safe distancing and good hygiene habits for the safety and health of the members of the public.  @NEAsg  Public Hygiene Council @CGSingapore   #safedistancingambassador #SGClean  https://t.co/BHh7Dqv0Dj"
