id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1361073116345114625,1361014870867468291,2021-02-15 06:01:33 +08,2021-02-15,06:01:33,+0800,881039312820748290,shadow_dw2,Shadowtrooper262,,@WWIIpix I have been told about this story quite a few times. It was right after the Battle of Bukit Chandu where Lieutenant Adnan Saidi’s men fought till the end. The old Alexandra hospital is still around today and its near IKEA.  A new Alexandra hospital is located in Jurong.,en,[],[],[],0,0,0,[],[],https://twitter.com/Shadow_DW2/status/1361073116345114625,False,,0,,Singapore,,,,,,"[{'screen_name': 'WWIIpix', 'name': 'WWII Pictures', 'id': '1588068188'}]",,,,
1361072687792021504,1361072687792021504,2021-02-15 05:59:50 +08,2021-02-15,05:59:50,+0800,1453990572,_rodahidup,ANABELI S560e,,French hospitals to move into crisis mode over possible surge of COVID-19 cases: Report  https://t.co/PCjRlggEEj,en,[],['https://www.channelnewsasia.com/news/world/french-hospitals-crisis-mode-possible-covid-19-surge-variants-14196246#.YCmdSt_HB60.twitter'],[],0,0,1,[],[],https://twitter.com/_rodahidup/status/1361072687792021504,False,,0,,Singapore,,,,,,[],,,,
1361069925067083778,1361069925067083778,2021-02-15 05:48:52 +08,2021-02-15,05:48:52,+0800,1339384664520192000,itzazimah,🎴Miziz❌ShaQuoya™,,So boring that need to stay overnight in a hospitalz! 🏥 @ Changi General Hospital (CGH)  https://t.co/NTD0BUmJRV,en,[],['https://www.instagram.com/p/CLSczTLBHSDOrtBfjqhFjMfSvoQ0CEUZYnZWxE0/?igshid=6p0mgp950ar4'],[],0,0,1,[],[],https://twitter.com/ItzAzimah/status/1361069925067083778,False,,0,,Singapore,,,,,,[],,,,
1361057397792333824,1361055800672849920,2021-02-15 04:59:05 +08,2021-02-15,04:59:05,+0800,942189894729842689,neverwal,Höt Cakeš⚡️,,"@NumbersMuncher @AlexBerenson You are such a horrible proponent of Lockdowns, you've killed many people as they commited suicide, and didn't go to the hospital out of fear of Covid19.",en,[],[],[],0,0,16,[],[],https://twitter.com/NEVERWAL/status/1361057397792333824,False,,0,,Singapore,,,,,,"[{'screen_name': 'NumbersMuncher', 'name': 'Josh Jordan', 'id': '813311743'}, {'screen_name': 'AlexBerenson', 'name': 'Alex Berenson', 'id': '87679233'}]",,,,
1361050960643072001,1361050960643072001,2021-02-15 04:33:30 +08,2021-02-15,04:33:30,+0800,984244911774957568,karimraffa,Karim RAFFA,,"Police say Nicki Minaj's father was killed by a hit-and-run driver.  64-year-old Robert Maraj was struck by a hit-and-run driver in New York on Friday evening, he was taken to a hospital where he was pronounced dead Saturday  https://t.co/180TNorYx4 @Quicktake",en,"[{'screen_name': 'quicktake', 'name': 'bloomberg quicktake', 'id': '252751061'}]",[],['https://pbs.twimg.com/media/EuNou3XWYAEi9GS.jpg'],0,0,0,[],[],https://twitter.com/karimraffa/status/1361050960643072001,False,,1,https://pbs.twimg.com/media/EuNou3XWYAEi9GS.jpg,Singapore,,,,,,[],,,,
1361042066290040837,1361042066290040837,2021-02-15 03:58:10 +08,2021-02-15,03:58:10,+0800,1358669319941410819,julia74627125,Julia,,⚡️ DERMA  KILAT  ⚡️  MENGHIDAP HATI KRONIK.   Butir2 Pesakit  ⁃zulpadla Bin Mohd Safihi Taram  ⁃Asal Kg air lot 223 kuching sarawak ⁃Lokasi Hari ini Hospital Umum kuching wd 82  ⁃Nombor Hp 01131233187  Bantuan Boleh Di Salur kan  -MAYBANK  -166010443282 -MOHD SAFIHI  https://t.co/EqBl5PldO8,in,[],[],"['https://pbs.twimg.com/media/EuNkioyU4AE50tC.jpg', 'https://pbs.twimg.com/media/EuNkio6VkAQ4DtK.jpg']",0,1,1,[],[],https://twitter.com/Julia74627125/status/1361042066290040837,False,,1,https://pbs.twimg.com/media/EuNkioyU4AE50tC.jpg,Singapore,,,,,,[],,,,
1361000981815681024,1361000971036332042,2021-02-15 01:14:54 +08,2021-02-15,01:14:54,+0800,1464144997,sleepydeena,Deena J.,,because i used to bang my head. Now I regret it because I constantly get severe headaches lol. I got sick a lot and it required me to ambik darah setiap hari dekat hospital for almost a month. My major depression episodes have been happening for years since then,en,[],[],[],1,0,0,[],[],https://twitter.com/sleepydeena/status/1361000981815681024,False,,0,,Singapore,,,,,,[],,,,
1360982478836563975,1360982478836563975,2021-02-15 00:01:23 +08,2021-02-15,00:01:23,+0800,400765519,swethinzar,SwE thIN Zar,,"Currently in Myanmar,  time 10:19 pm at 14.02.2021 YANGON GENERAL HOSPITAL has been detained by military coup.They said they will officially discuss with staffs at 1 am 15.02.2021 only when the internet has been cut off .",en,[],[],[],0,0,0,[],[],https://twitter.com/SwEthINZar/status/1360982478836563975,False,,0,,Singapore,,,,,,[],,,,
1360976072708263936,1360976072708263936,2021-02-14 23:35:56 +08,2021-02-14,23:35:56,+0800,190320399,donaldhtut,Donald TH,,Army turned out to be rebels who harming #Myanmar civilians at night.  Now hijacking hospitals. #WhatsHappeninglnMyanmar  https://t.co/QNuqknGJBi,en,[],[],"['https://pbs.twimg.com/media/EuMohXPUcAM6fcz.jpg', 'https://pbs.twimg.com/media/EuMohXWVEAARwiu.jpg', 'https://pbs.twimg.com/media/EuMohXPVEAQYQI1.jpg']",1,4,2,"['myanmar', 'whatshappeninglnmyanmar']",[],https://twitter.com/DonaldHtut/status/1360976072708263936,False,,1,https://pbs.twimg.com/media/EuMohXPUcAM6fcz.jpg,Singapore,,,,,,[],,,,
1360967043126677505,1219409456733143040,2021-02-14 23:00:03 +08,2021-02-14,23:00:03,+0800,15760735,septian,Septian Hartono ن 😷💉,,"Singapore reported 14 #COVID19 cases on Feb 14.  - 14 imported cases - 0 locally transmitted case  - 13/1 a/sym  Total: 59,800 Discharged: 59,621 (+17) Isolation facilities: 118 (-1) Hospital: 32 (-2) ICU: 1 Deaths: 29   https://t.co/cOO43Mvz59  https://t.co/hwwdQR3Ue6",en,[],['https://www.moh.gov.sg/news-highlights/details/no-new-cases-of-locally-transmitted-covid-19-infection-14-Feb-2021-Updated'],"['https://pbs.twimg.com/media/EuMgFqRUUAMq4hX.png', 'https://pbs.twimg.com/media/EuMgGrEVkAEZfyK.png', 'https://pbs.twimg.com/media/EuMgHgTVkAMMPP5.png', 'https://pbs.twimg.com/media/EuMgP7fVcAEbZBZ.jpg']",1,1,0,['covid19'],[],https://twitter.com/septian/status/1360967043126677505,False,,1,https://pbs.twimg.com/media/EuMgFqRUUAMq4hX.png,Singapore,,,,,,[],,,,
