id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1362488822144012288,1362471270802067463,2021-02-19 03:47:03 +08,2021-02-19,03:47:03,+0800,1078187930806476800,akkasayu,🍀purin🍀,,@JackTheArtGuy1 I LOVE KEIICHI BC HES SUCH A POSITVE BEACON OF LIGHT HES SO FULL OF SELF-LOVE AND I LOVE THAT HE OWNS HIS OWN HAIR SALON !!!!! 🥺,en,[],[],[],0,0,1,[],[],https://twitter.com/akkasayu/status/1362488822144012288,False,,0,,Singapore,,,,,,"[{'screen_name': 'JackTheArtGuy1', 'name': 'JackTheArtGuy', 'id': '1076404624326836226'}]",,,,
1362376712097472514,1362376712097472514,2021-02-18 20:21:34 +08,2021-02-18,20:21:34,+0800,104789411,sujita_15,सुजिता राई,,"Went to a hair salon nearby my 🏡, $60 for a haircut re, I said goodbye &amp; drove myself to Maccas😊",en,[],[],[],0,0,2,[],[],https://twitter.com/Sujita_15/status/1362376712097472514,False,,0,,Singapore,,,,,,[],,,,
1357984930911903747,1357984930911903747,2021-02-06 17:30:12 +08,2021-02-06,17:30:12,+0800,224171347,imlin_,Im'Lin,"{'type': 'Point', 'coordinates': [1.14743668, 104.01203156]}","I'm at Willy Hair Salon in Batam, Kepulauan Riau  https://t.co/XMYxOojFqc",in,[],['https://www.swarmapp.com/c/9NucaMpG8Ry'],[],0,0,0,[],[],https://twitter.com/ImLin_/status/1357984930911903747,False,,0,,Singapore,,,,,,[],,,,
1357667189508116482,1357667189508116482,2021-02-05 20:27:36 +08,2021-02-05,20:27:36,+0800,152419458,incrediwil,Wilfred Diepeveen,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",#CNY #prep #haircut  Summer needs to look good for year of the Ox @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/4V2Xou6uBP,en,[],['https://www.instagram.com/p/CK6Ra0eldTnsaww24sf7YTJAUQtT15_njlo4H40/?igshid=1dbbq5cjlzo85'],[],0,0,0,"['cny', 'prep', 'haircut']",[],https://twitter.com/incrediwil/status/1357667189508116482,False,,0,,Singapore,,,,,,[],,,,
1339998837411233792,1339997828073009152,2020-12-19 02:19:53 +08,2020-12-19,02:19:53,+0800,31412901,firehorse77,William Wong 王会亮,,@ChadPergram There’s no hair salon available to do her hair 😂😂😂,en,[],[],[],1,0,4,[],[],https://twitter.com/Firehorse77/status/1339998837411233792,False,,0,,Singapore,,,,,,"[{'screen_name': 'ChadPergram', 'name': 'Chad Pergram', 'id': '16187637'}]",,,,
1328869325541937153,1328869325541937153,2020-11-18 09:15:11 +08,2020-11-18,09:15:11,+0800,122821510,jillmariethomas,Jill-Marie Thomas,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",1st photo: My normal nonsense self 2nd pic: SUPERMODEL GORGEOUS SEXY BEAST Feeling all fresh with my new cut &amp; colour Thanks @ahhhlong.648 &amp; @musubi_sg @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/nafKqqnPR4,en,[],['https://www.instagram.com/p/CHtpqpHnaLk/?igshid=16s75rurnyfm8'],[],0,0,0,[],[],https://twitter.com/jillmariethomas/status/1328869325541937153,False,,0,,Singapore,,,,,,[],,,,
1327822479809785856,1327822479809785856,2020-11-15 11:55:23 +08,2020-11-15,11:55:23,+0800,914341188,meeyee9422,bonnieloo,"{'type': 'Point', 'coordinates': [1.29675784, 103.85663289]}",🖤 以前表演的時候 記得某個評審說過的話 態度是個性的表現 要找到自信和個人特色 身邊的人 一直都這樣鼓勵和提醒著我  #個性時尚 #個性穿搭  #女生語錄  影// @yokeqi  髮// @calvingan26 @instahairloom @ Hairloom: Hair Salon Singapore  https://t.co/xeC2ZM7Ds1,zh,"[{'screen_name': 'yokeqi', 'name': 'tan yoke qi', 'id': '117728526'}]",['https://www.instagram.com/p/CHmNnLyFAG8/?igshid=15zp1bjrf1k9m'],[],0,0,3,"['個性時尚', '個性穿搭', '女生語錄']",[],https://twitter.com/meeyee9422/status/1327822479809785856,False,,0,,Singapore,,,,,,[],,,,
1326097264306245634,1326097264306245634,2020-11-10 17:40:00 +08,2020-11-10,17:40:00,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/1MQYHld4sV,en,[],['https://www.instagram.com/p/CHZ9E3WH_SJ/?igshid=1nvpo3ohx01rh'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1326097264306245634,False,,0,,Singapore,,,,,,[],,,,
1326005190131150849,1326005190131150849,2020-11-10 11:34:07 +08,2020-11-10,11:34:07,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Just posted a photo @ MUSUBI BOUTIQUE HAIR SALON  https://t.co/nJ18QSgYbg,en,[],['https://www.instagram.com/p/CHZTNROnPYQ/?igshid=bvz9daqvb5pg'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1326005190131150849,False,,0,,Singapore,,,,,,[],,,,
1325009097218023426,1325009097218023426,2020-11-07 17:36:00 +08,2020-11-07,17:36:00,+0800,2488537724,nigel_elijah,아저씨天 #TIAN天 AjusSHI 天叔OMG我的天,"{'type': 'Point', 'coordinates': [1.30628762, 103.82952234]}",#爱小祥 @ASisMYtianOMGbaby @TIANomg.SG @AlexSandGODnigelT2020 @ALEXsNtianTIAN2020 @TIANomg.SITE#OMG我的天#TIANomg #MYtianOMGsupporter @MYtianOMGsupporter @ Passion Hair Salon  https://t.co/GH5Im52KF3,fr,"[{'screen_name': 'tianomg', 'name': 'tianomg', 'id': '1323830617'}, {'screen_name': 'tianomg', 'name': 'tianomg', 'id': '1323830617'}]",['https://www.instagram.com/p/CHSN_q1htrm/?igshid=15hg57vlsjqgx'],[],0,0,0,"['爱小祥', 'mytianomgsupporter']",[],https://twitter.com/nigel_elijah/status/1325009097218023426,False,,0,,Singapore,,,,,,[],,,,
