id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1364725503207165956,1364725503207165956,2021-02-25 07:54:49 +08,2021-02-25,07:54:49,+0800,989047700795592704,fuxkloversdo,Fuxkloversdo,,Fucking stressful sia . Kimak break down lagi . Bodoh sia. Ni la karma is a bitch,in,[],[],[],0,0,1,[],[],https://twitter.com/fuxkloversdo/status/1364725503207165956,False,,0,,Singapore,,,,,,[],,,,
1364723932142575617,1364723932142575617,2021-02-25 07:48:35 +08,2021-02-25,07:48:35,+0800,1015456945447170048,hiremaidea,hiremaid.com.sg,,SIA crew member's maid is sole new case in community  https://t.co/dnYF8soXjc,en,[],['http://dlvr.it/RtQftv'],[],0,1,0,[],[],https://twitter.com/HIREMAIDEA/status/1364723932142575617,False,,0,,Singapore,,,,,,[],,,,
1364720297312542722,1364720297312542722,2021-02-25 07:34:08 +08,2021-02-25,07:34:08,+0800,402791539,_hafizfarid,Hafiz Farid Omar Abdullah,,barai sia,in,[],[],[],0,0,0,[],[],https://twitter.com/_hafizfarid/status/1364720297312542722,False,,0,,Singapore,,,,,,[],,,,
1364719725809258497,1364719725809258497,2021-02-25 07:31:52 +08,2021-02-25,07:31:52,+0800,1701875892,rujan28,Slim Shady,,Sia la,es,[],[],[],0,0,0,[],[],https://twitter.com/rujan28/status/1364719725809258497,False,https://twitter.com/TonyKhan/status/1364607196533829639,0,,Singapore,,,,,,[],,,,
1364714965920178176,1364714965920178176,2021-02-25 07:12:57 +08,2021-02-25,07:12:57,+0800,996341673897607168,princkoo,xuen⁷ 🍊 ♡'s lia hus kel | ia,,lazy study sia &lt;/3,en,[],[],[],0,0,0,[],[],https://twitter.com/princkoo/status/1364714965920178176,False,,0,,Singapore,,,,,,[],,,,
1364707911235104770,1364707911235104770,2021-02-25 06:44:55 +08,2021-02-25,06:44:55,+0800,1335902800669102081,erik4z666y,𝓮𝓻𝓲𝓴𝓪. ♡︎,,eh sial ah bdk christ church tgk sia,in,[],[],[],1,0,2,[],[],https://twitter.com/erik4z666y/status/1364707911235104770,False,,0,,Singapore,,,,,,[],,,,
1364697243740110852,1364697243740110852,2021-02-25 06:02:32 +08,2021-02-25,06:02:32,+0800,34565395,thenewpaper,The New Paper,,SIA crew member’s maid is sole new case in community  https://t.co/UeBUcNppme,en,[],['http://dlvr.it/RtQQ25'],[],0,1,0,[],[],https://twitter.com/thenewpaper/status/1364697243740110852,False,,0,,Singapore,,,,,,[],,,,
1364665640930271232,1364665640930271232,2021-02-25 03:56:57 +08,2021-02-25,03:56:57,+0800,1907435942,zunnurrr_,mad,,so fking tilting sia HAHAH,en,[],[],[],0,0,0,[],[],https://twitter.com/zunnurrr_/status/1364665640930271232,False,,0,,Singapore,,,,,,[],,,,
1364665570721861632,1364665570721861632,2021-02-25 03:56:40 +08,2021-02-25,03:56:40,+0800,1907435942,zunnurrr_,mad,,how does one even solo rank sia wtf,en,[],[],[],0,0,0,[],[],https://twitter.com/zunnurrr_/status/1364665570721861632,False,,0,,Singapore,,,,,,[],,,,
1364664431175606272,1364664431175606272,2021-02-25 03:52:09 +08,2021-02-25,03:52:09,+0800,2868825020,a_naff,a.,,tmr open back i cannot ah sia,en,[],[],[],1,0,0,[],[],https://twitter.com/a_naff/status/1364664431175606272,False,,0,,Singapore,,,,,,[],,,,
1364652204540399617,1364625689807253509,2021-02-25 03:03:34 +08,2021-02-25,03:03:34,+0800,1085512470557384705,faqihcaramel,faqihcaramel,,@mvhdhakm but he skinny and slouch alot sia,en,[],[],[],2,0,0,[],[],https://twitter.com/faqihcaramel/status/1364652204540399617,False,,0,,Singapore,,,,,,"[{'screen_name': 'mvhdhakm', 'name': 'actuallyhakim', 'id': '925354148723245057'}]",,,,
1364647393728237569,1364647393728237569,2021-02-25 02:44:27 +08,2021-02-25,02:44:27,+0800,2725343094,k4bsbb,khaibajarai,,my braces annoying sia ccb,en,[],[],[],1,0,0,[],[],https://twitter.com/k4bsbb/status/1364647393728237569,False,,0,,Singapore,,,,,,[],,,,
1364643250376613888,1364643250376613888,2021-02-25 02:27:59 +08,2021-02-25,02:27:59,+0800,2304691550,putradosmacho,I Am Putra,,I'm glad I 'deregistered' my escooter cuz now need send for inspections like what lanjiao sia,en,[],[],[],0,0,0,[],[],https://twitter.com/putradosmacho/status/1364643250376613888,False,,0,,Singapore,,,,,,[],,,,
1364635993567940612,1364635993567940612,2021-02-25 01:59:09 +08,2021-02-25,01:59:09,+0800,413152325,syasyazaini,진주 Jae 💫,,"Gembira sia aku tengok law of the jungle. Episode yg ada btob members, Lucas nct, Se jeong, Ong, Juyeon. Omg banyak lagi ni boleh tengok. Comel doe diorg 😍😍😍",in,[],[],[],0,0,0,[],[],https://twitter.com/syasyazaini/status/1364635993567940612,False,,0,,Singapore,,,,,,[],,,,
1364633474724884481,1364632174188634112,2021-02-25 01:49:08 +08,2021-02-25,01:49:08,+0800,1081246482005512192,imnkueyteow,ιмαи,,@asyahauraa aku punya tweet ramai sia dengki HAHAHAHAHAHA,in,[],[],[],2,0,0,[],[],https://twitter.com/imnkueyteow/status/1364633474724884481,False,,0,,Singapore,,,,,,"[{'screen_name': 'asyahauraa', 'name': 'mekdonel⁷', 'id': '1201878689283268608'}]",,,,
1364632648400863233,1364632648400863233,2021-02-25 01:45:51 +08,2021-02-25,01:45:51,+0800,99996556,danialandika,DYDY,,@Zaccccccccccccc thought u sia,en,[],[],[],1,0,0,[],[],https://twitter.com/Danialandika/status/1364632648400863233,False,https://twitter.com/football__tweet/status/1364158560213426179,0,,Singapore,,,,,,[],,,,
1364632075014340608,1364628093403496452,2021-02-25 01:43:34 +08,2021-02-25,01:43:34,+0800,1081246482005512192,imnkueyteow,ιмαи,,@radintroye dahtu takkan nak buat pakai ds acc sia HAHAHAHAHAHAHA,in,[],[],[],0,0,0,[],[],https://twitter.com/imnkueyteow/status/1364632075014340608,False,,0,,Singapore,,,,,,"[{'screen_name': 'radintroye', 'name': '𝐬𝐮𝐦𝐚𝐲𝐲𝐚𝐡 🧜🏻\u200d♀️', 'id': '1259881426935181312'}]",,,,
