id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1364613477684318215,1364501238969106432,2021-02-25 00:29:41 +08,2021-02-25,00:29:41,+0800,2779826467,hidayahazmee00,Hidayah,,"@swan_babes 💥 ENG'S CARAMEL POPCORN   Stay at home, Duduk rumah layan movie 📺 Mesti nak ada snek best kan supaya tak perlu keluar rumah.. Betul tak?  Tak perlu risau, tak perlu mikir panjang 🙅🏻‍♀️ #ENGSPOPCORN kan adaa 😂  Ws:  https://t.co/7pWVEkqaj3 📮Postage seluruh malaysia📮  https://t.co/bP9Fofi1J9",in,[],['http://www.wassap.my/601123667801'],"['https://pbs.twimg.com/media/EvAUpAxVEAA2vyh.jpg', 'https://pbs.twimg.com/media/EvAUpgWVIAEOr_X.jpg', 'https://pbs.twimg.com/media/EvAUp_9VgAECyjt.jpg', 'https://pbs.twimg.com/media/EvAUrr4UcAMe1vD.jpg']",0,0,0,['engspopcorn'],[],https://twitter.com/hidayahazmee00/status/1364613477684318215,False,,1,https://pbs.twimg.com/media/EvAUpAxVEAA2vyh.jpg,Singapore,,,,,,"[{'screen_name': 'swan_babes', 'name': 'Sya | shawl 🦢 💜', 'id': '1325678678861258753'}]",,,,
1364582255943770115,1364582255943770115,2021-02-24 22:25:37 +08,2021-02-24,22:25:37,+0800,147159769,renewableworks,Henri-Jean BARDON,,Assessing mandatory stay‐at‐home and business closure effects on the spread of COVID‐19 - Bendavid - - European Journal of Clinical Investigation - Wiley Online Library  https://t.co/Dlr9KlIECv,en,[],['https://onlinelibrary.wiley.com/doi/full/10.1111/eci.13484'],[],0,0,0,[],[],https://twitter.com/renewableworks/status/1364582255943770115,False,,0,,Singapore,,,,,,[],,,,
1364574712148365312,1364574712148365312,2021-02-24 21:55:38 +08,2021-02-24,21:55:38,+0800,97647943,zephyrkhambatta,Zephyr Khambatta,,🐞 This sweetheart came and plonked itself on me on the walk home from the office. We left it in a bush nearby. Stay safe little one ❤️ . #coach #healer #priest #recordingartist #musicproducer #mentor #speaker #author #consultant #musician #kindness #awareness #love #spirituality  https://t.co/ecZBgn81Fm,en,[],[],"['https://pbs.twimg.com/media/Eu_xdj-VgAM9q9W.jpg', 'https://pbs.twimg.com/media/Eu_xdjqUYAEPHZX.jpg', 'https://pbs.twimg.com/media/Eu_xdjpVEAQPsqQ.jpg']",0,0,1,"['coach', 'healer', 'priest', 'recordingartist', 'musicproducer', 'mentor', 'speaker', 'author', 'consultant', 'musician', 'kindness', 'awareness', 'love', 'spirituality']",[],https://twitter.com/ZephyrKhambatta/status/1364574712148365312,False,,1,https://pbs.twimg.com/media/Eu_xdj-VgAM9q9W.jpg,Singapore,,,,,,[],,,,
1364547376720052224,1364528665560719362,2021-02-24 20:07:01 +08,2021-02-24,20:07:01,+0800,256528843,vanillealtzy,VAY,,@nosam_tktk Spiderman Home Stay COVID Special,en,[],[],[],0,0,1,[],[],https://twitter.com/vanillealtzy/status/1364547376720052224,False,,0,,Singapore,,,,,,"[{'screen_name': 'nosam_tktk', 'name': 'Mê💮メ', 'id': '204235372'}]",,,,
1364539806051573766,1364539806051573766,2021-02-24 19:36:56 +08,2021-02-24,19:36:56,+0800,292862930,nanaddyy,ᴮᴱ nærin⁷,,Wahh my introverted ass which used to stay at home sangat lah taktau apa2 pasal benda macam ni 🥲🥲🥲 as if parents aku bagi keluar 🙂🙂🙂,in,[],[],[],1,0,1,[],[],https://twitter.com/nanaddyy/status/1364539806051573766,False,https://twitter.com/_acabellas/status/1364205488846512134,0,,Singapore,,,,,,[],,,,
1364528919345569792,1364528919345569792,2021-02-24 18:53:40 +08,2021-02-24,18:53:40,+0800,957607924687253505,sherryxsulyanna,👸🏼,,I just wanna be a stay home wife. Bloody hate staying at work for long hours.,en,[],[],[],0,0,0,[],[],https://twitter.com/sherryxsulyanna/status/1364528919345569792,False,,0,,Singapore,,,,,,[],,,,
1364509671470428164,1364509671470428164,2021-02-24 17:37:11 +08,2021-02-24,17:37:11,+0800,625410313,thethtar_ss,T_Z@r,,"Boy try to protect his mom from police. This is heart broken video. 😭😭😭😭 Where is our safety? Even you stay at your home, police can break anytime and anywhere.  @mrattkthu @UNinMyanmar #WhatsHappeningInMyanmar #Feb24Coup #HumanRightsViolations",en,"[{'screen_name': 'mrattkthu', 'name': 'mratt kyaw thu', 'id': '394710883'}, {'screen_name': 'uninmyanmar', 'name': 'united nations in myanmar', 'id': '1158913148'}]",[],[],0,23,9,"['whatshappeninginmyanmar', 'feb24coup', 'humanrightsviolations']",[],https://twitter.com/Thethtar_ss/status/1364509671470428164,False,https://twitter.com/htinlinhtut/status/1364503849097170946,0,,Singapore,,,,,,[],,,,
1364498448985260032,1364498448985260032,2021-02-24 16:52:36 +08,2021-02-24,16:52:36,+0800,809083181601275907,singaporejobs88,Singapore Jobs,,Paid To Stay Home— Coronavirus Aid Bill Pays Federal Employees With Kids Out Of School Up To ...  https://t.co/ecCGU3BILM #singapore #jobs,en,[],['https://bit.ly/2MkYRFB'],[],0,0,0,"['singapore', 'jobs']",[],https://twitter.com/SingaporeJobs88/status/1364498448985260032,False,,0,,Singapore,,,,,,[],,,,
1364487172082913280,1364487172082913280,2021-02-24 16:07:47 +08,2021-02-24,16:07:47,+0800,425520207,radeefah,NurRadifah♡,,Its gna rain and im gg work hais i wantu stay at home laaa penat la asyik work,en,[],[],[],0,0,0,[],[],https://twitter.com/radeefah/status/1364487172082913280,False,,0,,Singapore,,,,,,[],,,,
1364433487478935552,1364433487478935552,2021-02-24 12:34:28 +08,2021-02-24,12:34:28,+0800,1148446937504370688,ahaslides,AhaSlides,,Ever wondered if e-learning is worth it?  Take a dive into our bumper list of 20 e-learning pros and cons right here. There's also actionable tips and 4 free tools for teachers (and parents) to get the most out of their stay-at-home students!   https://t.co/aOYLPSMCOA,en,[],['https://ahaslides.com/blog/pros-and-cons-e-learning-virtual-classroom/?utm_source=twitter&utm_medium=twitter_post&utm_campaign=elearning_02_21&utm_content=elearning_pros_cons'],[],0,1,2,[],[],https://twitter.com/AhaSlides/status/1364433487478935552,False,,0,,Singapore,,,,,,[],,,,
