id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1364723609642565634,1364723609642565634,2021-02-25 07:47:18 +08,2021-02-25,07:47:18,+0800,35524806,iskonglasalista,Benedict Exconde,,"The Department of Education (DepEd) in a statement on Wednesday said President Rodrigo Duterte makes the final decisions on education policies, including the postponement of face-to-face classes.   https://t.co/kmW34twcak",en,[],['https://businessmirror.com.ph/2021/02/25/deped-president-makes-final-decision-on-education-policies-postponement-of-face-to-face-classes/'],[],0,0,1,[],[],https://twitter.com/iskonglasalista/status/1364723609642565634,False,,0,,Singapore,,,,,,[],,,,
1364682696790663168,1364682696790663168,2021-02-25 05:04:44 +08,2021-02-25,05:04:44,+0800,1227621228787032064,cookieprncs,nik シ,,cnt believe i actually beg someone to stay face to face ..,en,[],[],[],0,0,1,[],[],https://twitter.com/cookieprncs/status/1364682696790663168,False,,0,,Singapore,,,,,,[],,,,
1364567440789704707,1364559335561564164,2021-02-24 21:26:44 +08,2021-02-24,21:26:44,+0800,891289148220260353,inspirouex,강다니엘 ❤️ baby 다니티 (·•︠ᴗ•︡ ˶),,Mernel Event Official Notice on their website:   “Mernel 2021 First Face-to-face Fansign Event” 🌊🌊🌊  @konnect_danielk #강다니엘 #KANGDANIEL  https://t.co/FtK7tUyGX4,en,"[{'screen_name': 'konnect_danielk', 'name': '강다니엘 kangdaniel', 'id': '1137562469017088000'}]",[],['https://pbs.twimg.com/media/Eu_q2jcVgAAa-wd.jpg'],0,10,8,"['강다니엘', 'kangdaniel']",[],https://twitter.com/inspirouex/status/1364567440789704707,False,,1,https://pbs.twimg.com/media/Eu_q2jcVgAAa-wd.jpg,Singapore,,,,,,[],,,,
1364564129986400256,1364564129986400256,2021-02-24 21:13:35 +08,2021-02-24,21:13:35,+0800,43080895,ruiqing,Rui Qing,,"About 1.5mth after my first day on the job, I finally got to meet colleagues face to face!! BIG HUGS!  Feels so oddly good!  Also, I’m seeing the benefits of shorter sprints and pivots at work. New to me, so it was a struggle to adjust. Whew. 😅😅",en,[],[],[],0,0,5,[],[],https://twitter.com/ruiqing/status/1364564129986400256,False,,0,,Singapore,,,,,,[],,,,
1364547412845592585,1364547412845592585,2021-02-24 20:07:09 +08,2021-02-24,20:07:09,+0800,936587038240976896,nrmztlnbla_,nabila 🦢,,Tak boleh move on betul aku dah siap siap nak gi kelas tetiba madam kata tak jadi facetoface. Nak pakai meet. 😾😭,in,[],[],[],0,0,1,[],[],https://twitter.com/nrmztlnbla_/status/1364547412845592585,False,,0,,Singapore,,,,,,[],,,,
1364440953780494339,1364440953780494339,2021-02-24 13:04:08 +08,2021-02-24,13:04:08,+0800,1024843066509733888,stuckontwice247,TTT | CRY FOR ME SOTY,,(TRANS)  MINA “TWICE IN WONDERLAND TEASER”  Q: What present do you want to give to ONCE?  Mina: All of us having the chance to meet face-to-face with ONCE... I want to give that as a present!  https://t.co/Wjf6RJPoup,en,[],[],[],1,212,572,[],[],https://twitter.com/StuckOnTwice247/status/1364440953780494339,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1364440845303226368/pu/img/w1_XtMms5gEMcOpo.jpg,Singapore,,,,,,[],,,,
1364438449651032064,1364438449651032064,2021-02-24 12:54:11 +08,2021-02-24,12:54:11,+0800,309478987,hninnanda,Hnin Nanda Aung,,Are they dating in Thailand instead? Why are they so serious to meet face to face ?,en,[],[],[],0,2,1,[],[],https://twitter.com/hninnanda/status/1364438449651032064,False,https://twitter.com/rachel48719986/status/1364426765809061892,0,,Singapore,,,,,,[],,,,
1364437857146822656,1364425992366743552,2021-02-24 12:51:49 +08,2021-02-24,12:51:49,+0800,157985299,zhao62000,Zhao ^^,,@sorcy79au Haha. I knw what you mean. Just sometime words might be interpret differently by different ppl. Even when my friend talk to my face to face. We also try to point it out with a manner thag all of us feel comfortable with,en,[],[],[],1,0,1,[],[],https://twitter.com/Zhao62000/status/1364437857146822656,False,,0,,Singapore,,,,,,"[{'screen_name': 'sorcy79au', 'name': 'Sorcy79au ⚓', 'id': '26187978'}]",,,,
1364394526731767809,1364394526731767809,2021-02-24 09:59:39 +08,2021-02-24,09:59:39,+0800,2256017108,coastallabntu,Switzer Coastal lab,,Very nice to give a face to face (behind a mask) talk at NUS today. Felt a bit strange having an audience.  https://t.co/UvBHpWgLLK,en,[],[],['https://pbs.twimg.com/media/Eu9NlnNVEAIFzJH.jpg'],0,0,27,[],[],https://twitter.com/CoastalLabNTU/status/1364394526731767809,False,,1,https://pbs.twimg.com/media/Eu9NlnNVEAIFzJH.jpg,Singapore,,,,,,[],,,,
1364369314275463174,1364369314275463174,2021-02-24 08:19:27 +08,2021-02-24,08:19:27,+0800,35524806,iskonglasalista,Benedict Exconde,,One thing that I also noticed: Face-to-face classes are still not being allowed but children who are not wearing any face covering are freely playing on the streets of their barangays. Barangay and other local government officials just ignore them like as if they do not care.,en,[],[],[],4,12,31,[],[],https://twitter.com/iskonglasalista/status/1364369314275463174,False,,0,,Singapore,,,,,,[],,,,
1364208562705063936,1364208562705063936,2021-02-23 21:40:41 +08,2021-02-23,21:40:41,+0800,1009123768105496576,oohchella,𝐣𝐚𝐧𝐬𝐜𝐡𝐞𝐥,,what do you do when you realise that you're slowly outgrowing  people in your life? do you just slowly go away? or tell them face to face? or lessen your conversations with them? or just be there for them til you both are on the same page again?,en,[],[],[],1,0,2,[],[],https://twitter.com/oohchella/status/1364208562705063936,False,,0,,Singapore,,,,,,[],,,,
1364189028917018630,1364189028917018630,2021-02-23 20:23:04 +08,2021-02-23,20:23:04,+0800,1916219359,monahnarjeehah,Naa,,Training dah boleh face to face ke belum ni eh? Emo lah nk handle online training,in,[],[],[],0,0,0,[],[],https://twitter.com/monahnarjeehah/status/1364189028917018630,False,,0,,Singapore,,,,,,[],,,,
1364089285033385984,1363964389804630018,2021-02-23 13:46:43 +08,2021-02-23,13:46:43,+0800,1260356224664645634,magauthor,Michael A. Gordon,,"@treydayway @konfusionk Monitors are complete bastards. Went face to face with one is a swimming pool once. The staple diet of crocs though, who are even bigger bastards.",en,[],[],[],0,0,0,[],[],https://twitter.com/MAGauthor/status/1364089285033385984,False,,0,,Singapore,,,,,,"[{'screen_name': 'treydayway', 'name': 'Trey', 'id': '3050023319'}, {'screen_name': 'konfusionk', 'name': '𝕂', 'id': '1302454066405019649'}]",,,,
1364047218718638085,1364047172451241985,2021-02-23 10:59:34 +08,2021-02-23,10:59:34,+0800,134461586,doramaworld,Chiaki,,"makes use of his experience to produce a hit manga series titled ""34"" and later gets married to his girlfriend Natsumi (Takahata); however, a series of murders mirroring his manga start surfacing and he comes face-to-face with the murderer Morozumi (Fukase);",en,[],[],[],1,1,8,[],[],https://twitter.com/doramaworld/status/1364047218718638085,False,,0,,Singapore,,,,,,[],,,,
1363866152506519552,1363839438472630275,2021-02-22 23:00:04 +08,2021-02-22,23:00:04,+0800,1038519858,mfakhrulfaiz,Mr PuShEr,,@burnarena @ARasyidLFC Ajak lah face to face,in,[],[],[],0,0,0,[],[],https://twitter.com/MFakhrulfaiz/status/1363866152506519552,False,,0,,Singapore,,,,,,"[{'screen_name': 'burnarena', 'name': 'Burn AstroArena/Af1', 'id': '498748153'}, {'screen_name': 'ARasyidLFC', 'name': 'Abdul Rasyid', 'id': '147195854'}]",,,,
1363813490385772544,1363813490385772544,2021-02-22 19:30:49 +08,2021-02-22,19:30:49,+0800,2226857558,milockhart_,sya,,class face to face ni masalahnya either kau pekak or buta je,in,[],[],[],0,0,2,[],[],https://twitter.com/milockhart_/status/1363813490385772544,False,,0,,Singapore,,,,,,[],,,,
1363794063908958208,1363794063908958208,2021-02-22 18:13:37 +08,2021-02-22,18:13:37,+0800,35524806,iskonglasalista,Benedict Exconde,,President Rodrigo Duterte thumbed down the proposal of the Inter-Agency Task Force for the Management of Emerging Infectious Diseases (IATF-EID) to resume  face-to-face classes in the country.   https://t.co/xJsA4MwKxZ,en,[],['https://www.manilatimes.net/2021/02/22/news/headlines/duterte-thumbs-down-face-to-face-classes/843883/'],[],0,0,7,[],[],https://twitter.com/iskonglasalista/status/1363794063908958208,False,,0,,Singapore,,,,,,[],,,,
1363753698472517642,1363753698472517642,2021-02-22 15:33:13 +08,2021-02-22,15:33:13,+0800,2433157232,jacinthsv,Jacinth Villanueva (米新華),,Bibo guro ning art-app if face to face lol 🤪,en,[],[],[],0,0,1,[],[],https://twitter.com/jacinthsv/status/1363753698472517642,False,,0,,Singapore,,,,,,[],,,,
1363749148827156482,1363749148827156482,2021-02-22 15:15:08 +08,2021-02-22,15:15:08,+0800,92562954,pierresams,Pierre Samson,,"So encouraging to see people meeting face-to-face! Who was spotted at @ALUEnterprise ANZ's #Connex21 event in Sydney, Australia? #WhereEverythingConnects  https://t.co/tnJZZSZ8B7  https://t.co/eW4pSvq0vE",en,"[{'screen_name': 'aluenterprise', 'name': 'alcatel-lucent enterprise', 'id': '123307178'}]",['https://bit.ly/2NOogrk'],['https://pbs.twimg.com/media/Eu0Cn6FUUAA1xcN.png'],0,0,0,"['connex21', 'whereeverythingconnects']",[],https://twitter.com/pierresams/status/1363749148827156482,False,,1,https://pbs.twimg.com/media/Eu0Cn6FUUAA1xcN.png,Singapore,,,,,,[],,,,
1363705777467260929,1363629229124935682,2021-02-22 12:22:48 +08,2021-02-22,12:22:48,+0800,913665405222232064,ynwze_,-,,@nevie56380374 @imsj63433750 @iamfaithwins @GIDLENEVIELAND She should face to face with seo soojin,en,[],[],[],0,0,1,[],[],https://twitter.com/ynwze_/status/1363705777467260929,False,,0,,Singapore,,,,,,"[{'screen_name': 'nevie56380374', 'name': 'nevie', 'id': '1353949920349151238'}, {'screen_name': 'imsj63433750', 'name': 'imsj_', 'id': '1359394649383727110'}, {'screen_name': 'iamfaithwins', 'name': 'Patitsuuuu', 'id': '846398898163740672'}, {'screen_name': 'GIDLENEVIELAND', 'name': 'Ellie 🦋 SOOJIN BEAUTIFUL', 'id': '1243729022980427777'}]",,,,
1363692812676386816,1363679413993230337,2021-02-22 11:31:17 +08,2021-02-22,11:31:17,+0800,1289236893306171392,gwynxthvanne,νᴀɴɴє,,@itsmefrncsgnnbn akala mo talaga face to face e hahahaha,tl,[],[],[],1,0,0,[],[],https://twitter.com/gwynxthvanne/status/1363692812676386816,False,,0,,Singapore,,,,,,"[{'screen_name': 'itsmefrncsgnnbn', 'name': '𝓒𝓮𝓼𝓼𝓲𝓮', 'id': '944282435994337280'}]",,,,
1363514730090881025,1363490388032577536,2021-02-21 23:43:39 +08,2021-02-21,23:43:39,+0800,294857409,samtaylors_ear,Sam Taylor,,"@drfranksauer @RikeFranke Like we now don't kill people face to face, but using xbox controllers.  Not pro killing, but unconcerned if an Xbox controller does it.",en,[],[],[],1,0,0,[],[],https://twitter.com/SamTaylors_ear/status/1363514730090881025,False,,0,,Singapore,,,,,,"[{'screen_name': 'drfranksauer', 'name': 'Frank Sauer 😷', 'id': '963318708662931456'}, {'screen_name': 'RikeFranke', 'name': 'Ulrike Franke', 'id': '1894632307'}]",,,,
1363440589891538946,1363438541418754048,2021-02-21 18:49:02 +08,2021-02-21,18:49:02,+0800,1936697485,ekxn_,skangawur,,@oniemcgonagall yeke. mana tahu yang disini kirim nota sbb dia segan nak cakap face to face HAHAHAHAHA,in,[],[],[],1,0,0,[],[],https://twitter.com/Ekxn_/status/1363440589891538946,False,,0,,Singapore,,,,,,"[{'screen_name': 'oniemcgonagall', 'name': 'signing off', 'id': '1002468202255769601'}]",,,,
1363416868237680641,1363416553148932096,2021-02-21 17:14:47 +08,2021-02-21,17:14:47,+0800,891289148220260353,inspirouex,강다니엘 ❤️ baby 다니티 (·•︠ᴗ•︡ ˶),,"“i’d usually say “guys i got an award!!” i wanted to say that but now, i can’t communicate with you directly face-to-face, that kind of presence is not there anymore, so it’s really a pity 🥺 i hope next time we share this feeling together”  @konnect_danielk #강다니엘 #KANGDANIEL",en,"[{'screen_name': 'konnect_danielk', 'name': '강다니엘 kangdaniel', 'id': '1137562469017088000'}]",[],[],0,36,61,"['강다니엘', 'kangdaniel']",[],https://twitter.com/inspirouex/status/1363416868237680641,False,,0,,Singapore,,,,,,[],,,,
1363295577857957889,1363295577857957889,2021-02-21 09:12:49 +08,2021-02-21,09:12:49,+0800,806841005475385345,hazirahabbyn,z!rah,,"Ahhh ingatkan semalam mimpi tapi rupanya betul😍😍ahh bila kan dpt jumpa face to face 😭😭😭really enjoy, rasa mcm dkt sngt ahhh tak sabarnyaaa",in,[],[],[],1,0,0,[],[],https://twitter.com/Hazirahabbyn/status/1363295577857957889,False,,0,,Singapore,,,,,,[],,,,
1363294108945555462,1363136577149362177,2021-02-21 09:06:59 +08,2021-02-21,09:06:59,+0800,8763932,cydonian,Akshay । అక్షయ్,,"@LooseImpala The medium itself is wrong. Shit like this should be discussed face to face, not via WhatsApp firmans.",en,[],[],[],1,0,1,[],[],https://twitter.com/cydonian/status/1363294108945555462,False,,0,,Singapore,,,,,,"[{'screen_name': 'LooseImpala', 'name': 'Wazid Nipplewala | #Save_Unnao_Ki_Beti', 'id': '1243922768799784960'}]",,,,
1363239494783102976,1363239487187288064,2021-02-21 05:29:57 +08,2021-02-21,05:29:57,+0800,35524806,iskonglasalista,Benedict Exconde,,Palace spokesman Harry Roque Jr. said face-to-face classes could be held a few hours a week instead of the full week schedule of students.   https://t.co/LURHiBNlM6,en,[],['https://www.manilatimes.net/2021/02/21/news/headlines/govt-mulls-limited-face-to-face-classes/843503/'],[],1,0,1,[],[],https://twitter.com/iskonglasalista/status/1363239494783102976,False,,0,,Singapore,,,,,,[],,,,
1363239487187288064,1363239487187288064,2021-02-21 05:29:56 +08,2021-02-21,05:29:56,+0800,35524806,iskonglasalista,Benedict Exconde,,"The government is considering implementing face-to-face classes on limited hours if President Rodrigo Duterte approves a dry run in select schools, a Palace official said.   https://t.co/LURHiBNlM6",en,[],['https://www.manilatimes.net/2021/02/21/news/headlines/govt-mulls-limited-face-to-face-classes/843503/'],[],1,0,5,[],[],https://twitter.com/iskonglasalista/status/1363239487187288064,False,,0,,Singapore,,,,,,[],,,,
1363148961872142336,1363032595982782465,2021-02-20 23:30:13 +08,2021-02-20,23:30:13,+0800,1319575075708755974,hafizah_taufik9,Hafizah,,@Neelofa to talk face to face to a man if he disturb me in a haram way,en,[],[],[],0,0,1,[],[],https://twitter.com/Hafizah_taufik9/status/1363148961872142336,False,,0,,Singapore,,,,,,"[{'screen_name': 'Neelofa', 'name': 'Neelofa', 'id': '75014036'}]",,,,
1363138611248386055,1363138611248386055,2021-02-20 22:49:05 +08,2021-02-20,22:49:05,+0800,520204830,adysyxx___,𝓓’𝓼𝔂𝓪𝓪,,"kalau nak minta maaf ke bermaafan ke bt cara betul2, yg pasti aku dulu da pnh minta maaf wlupun tak pnh pm ke face to face",in,[],[],[],0,0,0,[],[],https://twitter.com/adysyxx___/status/1363138611248386055,False,,0,,Singapore,,,,,,[],,,,
1363057520617476096,1363057520617476096,2021-02-20 17:26:51 +08,2021-02-20,17:26:51,+0800,2761391768,heykikis,‧͙⁺˚*･༓☾　eileen　☽༓･*˚⁺‧͙,,you better fucking apologize to her face to face. you have the audacity to spread rumours about her and follow her to the bathroom to freaking scold her? you would have catch my hand if i’m there right now,en,[],[],[],0,0,7,[],[],https://twitter.com/heykikis/status/1363057520617476096,False,,0,,Singapore,,,,,,[],,,,
1363036938559655937,1362643724375711749,2021-02-20 16:05:04 +08,2021-02-20,16:05:04,+0800,23365587,mbrochh,Martin,,@mkruz @jamison_dance I don't know. I'm in 6 Slack teams and not a single one of them uses it as email. It's always like face-to-face communication for distributed teams.,en,[],[],[],0,0,2,[],[],https://twitter.com/mbrochh/status/1363036938559655937,False,,0,,Singapore,,,,,,"[{'screen_name': 'mkruz', 'name': 'Mike Kruzeniski', 'id': '6604912'}, {'screen_name': 'jamison_dance', 'name': 'Jamison Dance', 'id': '24338581'}]",,,,
1362753398546685957,1362753398546685957,2021-02-19 21:18:23 +08,2021-02-19,21:18:23,+0800,228252345,gwsilver,Graham Silverthorne,,"The culture of an organisation is set through a thousand small conversations and in those critical moments when two people come together, face to face. What happens next in this week’s Takumi X blog....   https://t.co/3rCoBT4Szv  https://t.co/lvTBhUtzhR",en,[],['https://www.takumix.org/blog/'],['https://pbs.twimg.com/media/Eul4_ReVoAM2a8t.jpg'],0,0,1,[],[],https://twitter.com/GWSilver/status/1362753398546685957,False,,1,https://pbs.twimg.com/media/Eul4_ReVoAM2a8t.jpg,Singapore,,,,,,[],,,,
