id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1361101671540158465,1361101671540158465,2021-02-15 07:55:01 +08,2021-02-15,07:55:01,+0800,89383641,upliftn,Upliftn,,7 Myths About the Coronavirus Vaccine  https://t.co/KPy5VVUcio,en,[],['https://www.nytimes.com/2021/02/13/opinion/covid-vaccine-safe.html?referringSource=articleShare'],[],0,0,0,[],[],https://twitter.com/upliftn/status/1361101671540158465,False,,0,,Singapore,,,,,,[],,,,
1361094947085185024,1361094947085185024,2021-02-15 07:28:17 +08,2021-02-15,07:28:17,+0800,1354375054109401089,cityindexsg,CITY INDEX SINGAPORE,,Despite a softer US #CPI last week US 10yr yields traded to new cycle highs at 1.21%.  Prospects of a larger US stimulus package &amp; vaccine progress the drivers.  This should continue to help #USDJPY retest near term resistance 105.70 area.   #rates  #yields #bonds #curve,en,[],[],[],0,0,0,"['cpi', 'usdjpy', 'rates', 'yields', 'bonds', 'curve']",[],https://twitter.com/CityIndexSG/status/1361094947085185024,False,,0,,Singapore,,,,,,[],,,,
1361094375212675072,1361094375212675072,2021-02-15 07:26:01 +08,2021-02-15,07:26:01,+0800,113614082,eurekamag,EurekaMag,,"A delayed fractionated dose RTS,S AS01 vaccine regimen mediates protection via improved T follicular helper and B cell responses  https://t.co/EAlSFR9HtB",en,[],['http://dlvr.it/RsjP2n'],[],0,2,0,[],[],https://twitter.com/EurekaMag/status/1361094375212675072,False,,0,,Singapore,,,,,,[],,,,
1361094121104924674,1361094121104924674,2021-02-15 07:25:01 +08,2021-02-15,07:25:01,+0800,1181472344,businesstimes,The Business Times,,Israeli study shows Pfizer vaccine 94% effective  https://t.co/LnZDN5gSgL  https://t.co/wOTx7igy3M,en,[],['https://bt.sg/4rf6'],['https://pbs.twimg.com/media/EuOT5BJVkAIcGTw.jpg'],0,1,2,[],[],https://twitter.com/BusinessTimes/status/1361094121104924674,False,,1,https://pbs.twimg.com/media/EuOT5BJVkAIcGTw.jpg,Singapore,,,,,,[],,,,
1361088590969667584,1361088590969667584,2021-02-15 07:03:02 +08,2021-02-15,07:03:02,+0800,1131352537,stforeigndesk,ST Foreign Desk,,Israeli study shows Pfizer Covid-19 vaccine 94% effective  https://t.co/GHzMNWEZo7,en,[],['http://dlvr.it/RsjLZf'],[],0,1,1,[],[],https://twitter.com/STForeignDesk/status/1361088590969667584,False,,0,,Singapore,,,,,,[],,,,
1361084523081994241,1361078384869179392,2021-02-15 06:46:52 +08,2021-02-15,06:46:52,+0800,249391800,alms_da,Alms,,"@VicGovDH Well here’s a thought, why didn’t we heavily reduce hotel quarantine numbers since Dec until at least we’ve rolled out the vaccine to the quarantine handlers?  It would have avoided border closures and lockdowns and help the Australian economy recover.",en,[],[],[],1,0,1,[],[],https://twitter.com/Alms_DA/status/1361084523081994241,False,,0,,Singapore,,,,,,"[{'screen_name': 'VicGovDH', 'name': 'VicGovDH', 'id': '43064490'}]",,,,
1361077048555433985,1361077048555433985,2021-02-15 06:17:10 +08,2021-02-15,06:17:10,+0800,984244911774957568,karimraffa,Karim RAFFA,,NEW: A WHO panel has recommended the Oxford-AstraZeneca Covid-19 vaccine for adults over 18  https://t.co/XWyABtVFRx  https://t.co/NAZU2O95Zn @Quicktake,en,"[{'screen_name': 'quicktake', 'name': 'bloomberg quicktake', 'id': '252751061'}]",['https://trib.al/yJY12aM'],[],0,0,0,[],[],https://twitter.com/karimraffa/status/1361077048555433985,False,,1,https://pbs.twimg.com/amplify_video_thumb/1359526641534443523/img/xTG6RbiQhdYQROki.jpg,Singapore,,,,,,[],,,,
1361070609585696768,1361070609585696768,2021-02-15 05:51:35 +08,2021-02-15,05:51:35,+0800,38400130,channelnewsasia,CNA,,"US administers 52.9 million doses of COVID-19 vaccines, CDC says  https://t.co/Tk7l5JL8sn  https://t.co/rOmyqHjcbi",en,[],['https://cna.asia/3ammy9q'],['https://pbs.twimg.com/media/EuN-gYaVoAA5-yp.jpg'],0,2,3,[],[],https://twitter.com/ChannelNewsAsia/status/1361070609585696768,False,,1,https://pbs.twimg.com/media/EuN-gYaVoAA5-yp.jpg,Singapore,,,,,,[],,,,
1361067231803768834,1361067231803768834,2021-02-15 05:38:10 +08,2021-02-15,05:38:10,+0800,25924647,billm9,no justice - just us.,,"Israel’s ‘fake news war room’ set up to tackle vaccine disinformation loses battle to Telegram, unit's head admits  https://t.co/EbGbn58pRt #",en,[],['https://www.rt.com/news/515549-israel-telegram-vaccine-disinformation/'],[],1,8,12,[],[],https://twitter.com/billm9/status/1361067231803768834,False,,0,,Singapore,,,,,,[],,,,
1361067006687117312,1361067006687117312,2021-02-15 05:37:16 +08,2021-02-15,05:37:16,+0800,25924647,billm9,no justice - just us.,,Russian &amp; Chinese vaccines are necessary to win ‘world war’ against Covid-19 – Macron  https://t.co/rc7UZ8P73L #,en,[],['https://www.rt.com/news/515552-macron-russian-chinese-vaccines/'],[],0,0,0,[],[],https://twitter.com/billm9/status/1361067006687117312,False,,0,,Singapore,,,,,,[],,,,
1361065347772600321,1361065347772600321,2021-02-15 05:30:40 +08,2021-02-15,05:30:40,+0800,35524806,iskonglasalista,Benedict Exconde,,"The administration cost of Covid-19 vaccines to individual plan holders may be covered by HMOs, though the Insurance Commission (IC) has set no fixed rule on the matter, saying it depends on the terms of the plans taken out by companies or individuals.    https://t.co/4IH1mEvflo",en,[],['https://businessmirror.com.ph/2021/02/15/ic-no-fixed-rule-on-hmo-coverage-of-covid-vaccine/'],[],0,0,0,[],[],https://twitter.com/iskonglasalista/status/1361065347772600321,False,,0,,Singapore,,,,,,[],,,,
1361059906665684995,1361059906665684995,2021-02-15 05:09:03 +08,2021-02-15,05:09:03,+0800,76242804,st_lifetweets,Straits Times Life,,Vaccine status on trend in dating apps  https://t.co/1gcoq2lCX7,en,[],['http://dlvr.it/Rsj8Fm'],[],0,0,0,[],[],https://twitter.com/ST_LifeTweets/status/1361059906665684995,False,,0,,Singapore,,,,,,[],,,,
1361058643400032256,1361058643400032256,2021-02-15 05:04:02 +08,2021-02-15,05:04:02,+0800,1131352537,stforeigndesk,ST Foreign Desk,,EU to speed up approval of vaccines adapted to fight virus mutations  https://t.co/sc8UhUyLCU,en,[],['http://dlvr.it/Rsj7gP'],[],0,2,1,[],[],https://twitter.com/STForeignDesk/status/1361058643400032256,False,,0,,Singapore,,,,,,[],,,,
1361049332368109569,1361049332368109569,2021-02-15 04:27:02 +08,2021-02-15,04:27:02,+0800,38400130,channelnewsasia,CNA,,Israeli study finds 94% drop in symptomatic COVID-19 cases with Pfizer vaccine  https://t.co/I6Gp5cBVtG  https://t.co/bseCafJKHN,en,[],['https://cna.asia/3jMlKOx'],['https://pbs.twimg.com/media/EuNrJ7eVcAEvN6H.jpg'],1,3,6,[],[],https://twitter.com/ChannelNewsAsia/status/1361049332368109569,False,,1,https://pbs.twimg.com/media/EuNrJ7eVcAEvN6H.jpg,Singapore,,,,,,[],,,,
1361035333136093185,1361035333136093185,2021-02-15 03:31:24 +08,2021-02-15,03:31:24,+0800,35524806,iskonglasalista,Benedict Exconde,,The Philippine Red Cross (PRC) on Sunday said its vaccination team was “ready” to help with the rollout of the government’s anti-coronavirus disease 2019 (Covid-19) vaccination program as it launches its mobile vaccine clinic.   https://t.co/uEZr4VR0iu,en,[],['https://www.manilatimes.net/2021/02/15/news/national/red-cross-mobile-clinic-to-boost-covid-jab-rollout/841166/'],[],0,0,0,[],[],https://twitter.com/iskonglasalista/status/1361035333136093185,False,,0,,Singapore,,,,,,[],,,,
1361034128804691972,1361026675115503617,2021-02-15 03:26:37 +08,2021-02-15,03:26:37,+0800,1193302257175056386,foxfan51,FoxForce5,,"@CateFox The attitude will be ""i've had the jav, just shut up and get on with it.""  But they won't actually stop and think about how we got here and actually that the freedoms they had are no more. No vaccine has ever been mandatory, and not having one has never stopped you....",en,[],[],[],0,0,1,[],[],https://twitter.com/Foxfan51/status/1361034128804691972,False,,0,,Singapore,,,,,,"[{'screen_name': 'CateFox', 'name': 'Cate 🦊', 'id': '333398911'}]",,,,
1361028962978267136,1361026675115503617,2021-02-15 03:06:06 +08,2021-02-15,03:06:06,+0800,1193302257175056386,foxfan51,FoxForce5,,"@CateFox Nope, it is talking specifically about vaccine certificates to ""regain"" the right to go supermarkets or bars etc... Majority agreed to have a lockdown to protect the vulnerable. We never gave them up, expecting to have to regain them. They are no longer freedoms else",en,[],[],[],1,0,1,[],[],https://twitter.com/Foxfan51/status/1361028962978267136,False,,0,,Singapore,,,,,,"[{'screen_name': 'CateFox', 'name': 'Cate 🦊', 'id': '333398911'}]",,,,
1361028239645413379,1361026675115503617,2021-02-15 03:03:13 +08,2021-02-15,03:03:13,+0800,1193302257175056386,foxfan51,FoxForce5,,@CateFox Not talking about lockdown. Talking about the vaccine certificates to be able to go supermarket.,en,[],[],[],1,0,1,[],[],https://twitter.com/Foxfan51/status/1361028239645413379,False,,0,,Singapore,,,,,,"[{'screen_name': 'CateFox', 'name': 'Cate 🦊', 'id': '333398911'}]",,,,
1361022877961646081,1361022877961646081,2021-02-15 02:41:55 +08,2021-02-15,02:41:55,+0800,984809367030546432,vikzerofive,Vik,,"This 2nd dosage of covid vaccine is really screwing me up. High fever, body aches, swollen arm and a screwed up throat. 😭",en,[],[],[],0,0,0,[],[],https://twitter.com/VikZeroFive/status/1361022877961646081,False,,0,,Singapore,,,,,,[],,,,
1361015451216568320,1361015451216568320,2021-02-15 02:12:24 +08,2021-02-15,02:12:24,+0800,15499644,julianamazlan,Juliana Mazlan,,"Very hard to point if it’s the side effects of covid vaccine, the menstrual cramp or the Korean steamboat we had. Whammy combo - diarrhoea, nausea, chills, body ache and abdominal cramps! 😣😖😣😖",en,[],[],[],0,0,0,[],[],https://twitter.com/julianamazlan/status/1361015451216568320,False,,0,,Singapore,,,,,,[],,,,
1361005831899275265,1361005831899275265,2021-02-15 01:34:11 +08,2021-02-15,01:34:11,+0800,2316355368,myautoblogging,Automatic Blogging,,CVS and Walgreens have a chance to make Covid vaccine rollout more equitable #worldnews #breakingnews #latestnews #politicnews #bu...  https://t.co/HOE3XFPiB6,en,[],['https://automaticblogging.com/cvs-and-walgreens-have-a-chance-to-make-covid-vaccine-rollout-more-equitable/?feed_id=20458&_unique_id=60295f13245d4'],[],0,0,0,"['worldnews', 'breakingnews', 'latestnews', 'politicnews', 'bu']",[],https://twitter.com/MyAutoBlogging/status/1361005831899275265,False,,0,,Singapore,,,,,,[],,,,
1360999501998137345,1360999501998137345,2021-02-15 01:09:02 +08,2021-02-15,01:09:02,+0800,113614082,eurekamag,EurekaMag,,Safety and Immunogenicity of an AS03 B -Adjuvanted Inactivated Tetravalent Dengue Virus Vaccine Administered on Varying Schedules to Healthy U.S. Adults: A Phase 1/2 Randomized Study  https://t.co/oDU7wNKTF9,en,[],['http://dlvr.it/Rshfyh'],[],0,2,0,[],[],https://twitter.com/EurekaMag/status/1360999501998137345,False,,0,,Singapore,,,,,,[],,,,
1360981612754653185,1360981612754653185,2021-02-14 23:57:56 +08,2021-02-14,23:57:56,+0800,984244911774957568,karimraffa,Karim RAFFA,,"Lebanon administered its first jabs of the Pfizer-BioNTech Covid vaccine on Sunday.  The country launched its inoculation campaign a day after receiving the first batch of the vaccine — 28,500 doses from Brussels  https://t.co/dNL4vfYTTB  https://t.co/GRnPdOg1lH @Quicktake",en,"[{'screen_name': 'quicktake', 'name': 'bloomberg quicktake', 'id': '252751061'}]",['https://trib.al/MTBKi1c'],[],0,0,0,[],[],https://twitter.com/karimraffa/status/1360981612754653185,False,,1,https://pbs.twimg.com/amplify_video_thumb/1360979846122340353/img/6oP0Ux1pgUObriXo.jpg,Singapore,,,,,,[],,,,
1360975345818628097,1360975345818628097,2021-02-14 23:33:02 +08,2021-02-14,23:33:02,+0800,1131352537,stforeigndesk,ST Foreign Desk,,"British PM Johnson hails Covid-19 vaccine milestone, but says still a long way to go  https://t.co/ti7gwV4OUZ",en,[],['http://dlvr.it/RshRYS'],[],1,3,1,[],[],https://twitter.com/STForeignDesk/status/1360975345818628097,False,,0,,Singapore,,,,,,[],,,,
1360975203208105985,1360975203208105985,2021-02-14 23:32:28 +08,2021-02-14,23:32:28,+0800,877818154583441408,britamericaball,BritAmericaBall,,Nasaan na po ang vaccine para sa mga Pilipino??,tl,[],[],[],0,0,0,[],[],https://twitter.com/britamericaball/status/1360975203208105985,False,https://twitter.com/Reuters/status/1360969589220343813,0,,Singapore,,,,,,[],,,,
1360972848475475972,1360965329275543555,2021-02-14 23:23:07 +08,2021-02-14,23:23:07,+0800,1102497758,milltrust168,Ji-Young Hop,,@MattHancock You are now able to volunteer your teenage children for the trials of the Oxford vaccine Mr Hancock.,en,[],[],[],0,1,2,[],[],https://twitter.com/Milltrust168/status/1360972848475475972,False,,0,,Singapore,,,,,,"[{'screen_name': 'MattHancock', 'name': 'Matt Hancock', 'id': '19825835'}]",,,,
1360967271221317632,1360967271221317632,2021-02-14 23:00:57 +08,2021-02-14,23:00:57,+0800,954209013184385024,leong328kok,Tan Kok Leong,,PM Muhyiddin to announce Malaysia’s Covid-19 vaccine playbook on Tuesday  https://t.co/cJQR0mWOg0,en,[],['http://a.msn.com/01/en-sg/BB1dFAYn?ocid=st'],[],0,0,0,[],[],https://twitter.com/Leong328Kok/status/1360967271221317632,False,,0,,Singapore,,,,,,[],,,,
1360966673482715136,1360966673482715136,2021-02-14 22:58:35 +08,2021-02-14,22:58:35,+0800,954209013184385024,leong328kok,Tan Kok Leong,,The Latest: French leader promotes vaccine efforts for poor  https://t.co/s0yF3LmmSl,en,[],['http://a.msn.com/01/en-sg/BB1dFOtq?ocid=st'],[],0,0,0,[],[],https://twitter.com/Leong328Kok/status/1360966673482715136,False,,0,,Singapore,,,,,,[],,,,
1360965256613273600,1360965256613273600,2021-02-14 22:52:57 +08,2021-02-14,22:52:57,+0800,20836740,gulasahi,Steve Dawson,,"The UK has hardly been stellar in it’s COVID-19 management, but it does seem to be leading the way in acquiring and distributing vaccines.",en,[],[],[],0,0,0,[],[],https://twitter.com/Gulasahi/status/1360965256613273600,False,https://twitter.com/skynews/status/1360960347679694852,0,,Singapore,,,,,,[],,,,
1360963545291104261,1360963545291104261,2021-02-14 22:46:09 +08,2021-02-14,22:46:09,+0800,954209013184385024,leong328kok,Tan Kok Leong,,Khairy: Any disruption in Covid-19 vaccine rollout could put economy at risk | Malay Mail  https://t.co/x26VfiXymB,en,[],['https://www.malaymail.com/news/malaysia/2021/02/14/khairy-stalled-covid-19-vaccine-rollout-could-put-economy-at-risk-prolong-r/1949678#.YCk3aZFvKpc.twitter'],[],0,0,0,[],[],https://twitter.com/Leong328Kok/status/1360963545291104261,False,,0,,Singapore,,,,,,[],,,,
1360961087806394375,1360961087806394375,2021-02-14 22:36:23 +08,2021-02-14,22:36:23,+0800,954209013184385024,leong328kok,Tan Kok Leong,,The pandemic – How well will vaccines work?  https://t.co/ltYqXdg08V,en,[],['https://www.economist.com/leaders/2021/02/13/how-well-will-vaccines-work'],[],0,0,0,[],[],https://twitter.com/Leong328Kok/status/1360961087806394375,False,,0,,Singapore,,,,,,[],,,,
1360953176774635522,1360953176774635522,2021-02-14 22:04:57 +08,2021-02-14,22:04:57,+0800,84344194,continuumdaily,Continuum Economics,,Asset Allocation: Vaccine Rollout and Policy Stimulation vs Inflation Concerns. The critical driver for #equities remains #vaccine rollout/reduced social distancing and... Read more:  https://t.co/XVM3o8ULNQ Or take a free trial:  https://t.co/WQh7kIW869 #macroeconomics #markets  https://t.co/Wm6CsFYwNc,en,[],"['https://bit.ly/2N4H85y', 'https://bit.ly/2NoukXF']",['https://pbs.twimg.com/media/EuMTs0aXUAUe-YB.jpg'],1,0,0,"['equities', 'vaccine', 'macroeconomics', 'markets']",[],https://twitter.com/ContinuumDaily/status/1360953176774635522,False,,1,https://pbs.twimg.com/media/EuMTs0aXUAUe-YB.jpg,Singapore,,,,,,[],,,,
1360950130535403525,1360239634119335940,2021-02-14 21:52:51 +08,2021-02-14,21:52:51,+0800,1355027888,lliinnkk79,lliinnkk79Ⓥ,,"@Tipuncho @PretresseAlexia @AhoultA @france_soir “Peu important tant que ce n’est pas le chinois ou le russe” ? Ou “peu importe, tant qu’il est validé en France” ou “peu importe on veut être vacciné”?",fr,[],[],[],1,0,0,[],[],https://twitter.com/lliinnkk79/status/1360950130535403525,False,,0,,Singapore,,,,,,"[{'screen_name': 'Tipuncho', 'name': 'Tipunch', 'id': '485565663'}, {'screen_name': 'PretresseAlexia', 'name': 'Prêtresse Alexia', 'id': '933848454589304837'}, {'screen_name': 'AhoultA', 'name': 'Ahoult, Ahoult !', 'id': '1345644975384645633'}, {'screen_name': 'france_soir', 'name': 'FranceSoir', 'id': '78957336'}]",,,,
1360946612177014785,1360946612177014785,2021-02-14 21:38:52 +08,2021-02-14,21:38:52,+0800,147159769,renewableworks,Henri-Jean BARDON,,Japan formally approves its first COVID-19 vaccine  https://t.co/XFPMVSmNhA,en,[],['https://flip.it/q22xPj'],[],0,0,0,[],[],https://twitter.com/renewableworks/status/1360946612177014785,False,,0,,Singapore,,,,,,[],,,,
1360939534624518146,1360419406602330115,2021-02-14 21:10:44 +08,2021-02-14,21:10:44,+0800,1358791632280113156,kela_lelo_,🍌👋 | 🏹 | 🚜 ❁,,@AfrozKh83598618 @kaur_manpreet84 @AiyerScientist @asm00007 @ShivaniV2901 Fir bhi khaali demaag ka koi vaccine nahi hai.. fir woh Aaiyer ho ya ya Nayyer...,hi,[],[],[],1,0,0,[],[],https://twitter.com/Kela_Lelo_/status/1360939534624518146,False,,0,,Singapore,,,,,,"[{'screen_name': 'AfrozKh83598618', 'name': 'Afroz Khan', 'id': '905754136452390912'}, {'screen_name': 'kaur_manpreet84', 'name': 'ਅੜ੍ਹਬ ਪੰਜਾਬਣ', 'id': '1095621114288435200'}, {'screen_name': 'AiyerScientist', 'name': 'Scientist Aiyer Vaccine वाले 😎', 'id': '1303102856942108673'}, {'screen_name': 'asm00007', 'name': 'अशंमा००००७', 'id': '1345212670115336193'}, {'screen_name': 'ShivaniV2901', 'name': 'SHIVANI VERMA', 'id': '994206486296342528'}]",,,,
1360939394530738176,1360809431882108930,2021-02-14 21:10:11 +08,2021-02-14,21:10:11,+0800,905485290915037184,sweetieko7,Sweetie Ko,,"@uptodatemanutd In military, they have been vaccinated since Saturday. Those vaccine are needed for civilians but we don't have any hope for future. Our future life is dark. Please save us. #SaveMyanmar #WhatsHappeningInMyanmar",en,[],[],[],0,1,0,"['savemyanmar', 'whatshappeninginmyanmar']",[],https://twitter.com/SweetieKo7/status/1360939394530738176,False,,0,,Singapore,,,,,,"[{'screen_name': 'uptodatemanutd', 'name': ""What's Happening in Myanmar?"", 'id': '1356928638650777603'}]",,,,
1360934603310043139,1360934603310043139,2021-02-14 20:51:09 +08,2021-02-14,20:51:09,+0800,23556946,miyake9,Daphne Soh 다프네,,17 more days till my 2nd COVID-19 vaccine dose. 💪🏻,en,[],[],[],0,0,1,[],[],https://twitter.com/miyake9/status/1360934603310043139,False,,0,,Singapore,,,,,,[],,,,
1360934288527478785,1360934288527478785,2021-02-14 20:49:53 +08,2021-02-14,20:49:53,+0800,147159769,renewableworks,Henri-Jean BARDON,,UK's Johnson: Vaccines worldwide takes a 'colossal mission'  https://t.co/p933CHMR9v,en,[],['https://flip.it/ZLmQ4c'],[],0,0,0,[],[],https://twitter.com/renewableworks/status/1360934288527478785,False,,0,,Singapore,,,,,,[],,,,
1360928068592951297,1360928068592951297,2021-02-14 20:25:11 +08,2021-02-14,20:25:11,+0800,25924647,billm9,no justice - just us.,,"Chinese vaccine will pull Hungary ahead of EU, PM says  https://t.co/E7aBdobGtz",en,[],['https://enapp.chinadaily.com.cn/a/202102/13/AP602781a5a310f03332f96574.html'],[],0,0,0,[],[],https://twitter.com/billm9/status/1360928068592951297,False,,0,,Singapore,,,,,,[],,,,
1360925302709313539,1360925094755803143,2021-02-14 20:14:11 +08,2021-02-14,20:14:11,+0800,224066265,jwlovevixx,💚💚💚💚💚,,And I still have the second vaccine dose coming up so minus more effective days,en,[],[],[],0,0,0,[],[],https://twitter.com/jwlovevixx/status/1360925302709313539,False,,0,,Singapore,,,,,,[],,,,
1360920875160100874,1360920875160100874,2021-02-14 19:56:35 +08,2021-02-14,19:56:35,+0800,4356056718,rohitgird,Rohit Girdhar,,Miraculous mRNA Vaccines are only the Beginning   https://t.co/A1z3478YYw,en,[],['https://www.newsweek.com/miraculous-mrna-vaccines-are-only-beginning-opinion-1567683'],[],0,0,0,[],[],https://twitter.com/rohitgird/status/1360920875160100874,False,,0,,Singapore,,,,,,[],,,,
1360920359038451712,1360920359038451712,2021-02-14 19:54:32 +08,2021-02-14,19:54:32,+0800,1131352537,stforeigndesk,ST Foreign Desk,,Thailand defends decision not to join COVAX vaccine alliance  https://t.co/0VhIATzfVt,en,[],['http://dlvr.it/RsgynD'],[],0,2,3,[],[],https://twitter.com/STForeignDesk/status/1360920359038451712,False,,0,,Singapore,,,,,,[],,,,
1360920113977778178,1360920113977778178,2021-02-14 19:53:34 +08,2021-02-14,19:53:34,+0800,38400130,channelnewsasia,CNA,,Thailand defends decision not to join COVID-19 vaccine alliance  https://t.co/XqvaHKtaQa  https://t.co/Nh1slnfkvp,en,[],['https://cna.asia/3ajpaoD'],['https://pbs.twimg.com/media/EuL1oZ5U4AUZ7wI.jpg'],0,13,23,[],[],https://twitter.com/ChannelNewsAsia/status/1360920113977778178,False,,1,https://pbs.twimg.com/media/EuL1oZ5U4AUZ7wI.jpg,Singapore,,,,,,[],,,,
1360915449425260550,1360915449425260550,2021-02-14 19:35:02 +08,2021-02-14,19:35:02,+0800,113614082,eurekamag,EurekaMag,,Vaccine Plasmid Topology Monitoring by Capillary Gel Electrophoresis  https://t.co/JIlZWj8n6n,en,[],['http://dlvr.it/RsgwkN'],[],0,2,0,[],[],https://twitter.com/EurekaMag/status/1360915449425260550,False,,0,,Singapore,,,,,,[],,,,
1360910297930690563,1360910297930690563,2021-02-14 19:14:34 +08,2021-02-14,19:14:34,+0800,2455051764,sukhveer_sandhu,Sukhveer,,"People no money to pay loans, businesses no money to pay workers,  Parents no money for their kids&amp;food, Cases show no sign of stopping,  Delayed vaccine.  But minister priority is here. Lol    https://t.co/vusORglfj2",en,[],['https://www.thestar.com.my/news/nation/2021/02/14/sugar-baby-issue-deputy-minister-wants-sugarbook-app-to-be-blocked-and-stern-action-taken#.YCkFn7Vd8Qg.twitter'],[],0,0,4,[],[],https://twitter.com/Sukhveer_Sandhu/status/1360910297930690563,False,,0,,Singapore,,,,,,[],,,,
1360905091499257859,1360905089876037638,2021-02-14 18:53:52 +08,2021-02-14,18:53:52,+0800,1068341210056552448,yihan_kaiserin,"Yi Han TAN, MSc",,"Also been asked to explain the diff btw diff covid-19 vaccines while eating new year snacks, which is a change 😊",en,[],[],[],1,0,3,[],[],https://twitter.com/yihan_kaiserin/status/1360905091499257859,False,,0,,Singapore,,,,,,[],,,,
1360903453187272704,1360903453187272704,2021-02-14 18:47:22 +08,2021-02-14,18:47:22,+0800,2343031170,sawminooo,SMO,,"@PMOIndia The vaccines you have donated are only used for younger soldiers. Not for front line heroes, nurses, doctors and volunteers.  #MyanmarMilitary ! Shame on you! #WhatsHappeningInMyanmar  #Feb14Coup",en,[],[],[],0,0,0,"['myanmarmilitary', 'whatshappeninginmyanmar', 'feb14coup']",[],https://twitter.com/SawMinOoo/status/1360903453187272704,False,https://twitter.com/MoonDayNang/status/1360807773198376963,0,,Singapore,,,,,,[],,,,
1360896394748301319,1360896394748301319,2021-02-14 18:19:19 +08,2021-02-14,18:19:19,+0800,877818154583441408,britamericaball,BritAmericaBall,,This is a good thing.  Having the Government bear the responsibility for indemnity for any adverse effects of the COVID vaccine raise Confidence and assurance to the people about the vaccine.,en,[],[],[],0,0,1,[],[],https://twitter.com/britamericaball/status/1360896394748301319,False,https://twitter.com/KuyaTalks/status/1360579621872275459,0,,Singapore,,,,,,[],,,,
1360892595627524097,1360891376678940676,2021-02-14 18:04:13 +08,2021-02-14,18:04:13,+0800,1089107164780810240,stephenw78,Stephen Wilson,,"@alexmaccaroon On what basis do you believe they will experience ""serious waves of death"" if they have vaccinated their population?  Whilst I disagree with lockdowns generally and was highly critical of NZ before vaccines were developed, I don't see how their gamble hasn't paid off.",en,[],[],[],1,0,1,[],[],https://twitter.com/StephenW78/status/1360892595627524097,False,,0,,Singapore,,,,,,"[{'screen_name': 'alexmaccaroon', 'name': 'Alexander McCarron ⚔', 'id': '839993208641863681'}]",,,,
1360891819618263040,1360833860330606599,2021-02-14 18:01:08 +08,2021-02-14,18:01:08,+0800,847307741932564484,afromedwoman,Nikki Kay,,@SibandaSibbs I haven’t heard official statement from @MCAZofficial but assume this is vaccine batch release testing. It is routine for reg agency to test quality of vaccines received to ensure they meet lab specifications in and consistent manufacturing batch to batch  https://t.co/imCgnBglz4,en,"[{'screen_name': 'mcazofficial', 'name': 'medicines control authority of zimbabwe', 'id': '2964361541'}]",['https://www.tga.gov.au/batch-release-assessment-covid-19-vaccines'],[],1,1,2,[],[],https://twitter.com/afromedwoman/status/1360891819618263040,False,,0,,Singapore,,,,,,"[{'screen_name': 'SibandaSibbs', 'name': 'Thabisa Sibanda', 'id': '357967522'}]",,,,
