id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1364722334137950212,1364722334137950212,2021-02-25 07:42:14 +08,2021-02-25,07:42:14,+0800,450431116,kitsunegeisha,Fuad Senpai 🇲🇾,,Kalau pfizer okay..kalau dpt vacine lain..,in,[],[],[],0,0,0,[],[],https://twitter.com/kitsunegeisha/status/1364722334137950212,False,https://twitter.com/DrAmalinaBakri/status/1364539576208023552,0,,Singapore,,,,,,[],,,,
1364720463092457473,1364720463092457473,2021-02-25 07:34:48 +08,2021-02-25,07:34:48,+0800,48689367,tulunsokit,Tired & Sakit 🇲🇾,,Israel data:  After the second dose of Pfizer vaccine  documented infection ⬇️92% symptomatic infection⬇️ 94% hospitalization ⬇️87% severe disease ⬇️92% death ⬇️72%,en,[],[],[],0,11,9,[],[],https://twitter.com/tulunsokit/status/1364720463092457473,False,https://twitter.com/EricTopol/status/1364706944309628929,0,,Singapore,,,,,,[],,,,
1364716499642904576,1364716499642904576,2021-02-25 07:19:03 +08,2021-02-25,07:19:03,+0800,1181472344,businesstimes,The Business Times,,Large real world study confirms #Pfizer vaccine 94% effective  https://t.co/hyHS4YIYVS  https://t.co/PaT5MfvjmT,en,[],['https://bt.sg/4rvd'],['https://pbs.twimg.com/media/EvBybMhUUAM817o.jpg'],0,0,2,['pfizer'],[],https://twitter.com/BusinessTimes/status/1364716499642904576,False,,1,https://pbs.twimg.com/media/EvBybMhUUAM817o.jpg,Singapore,,,,,,[],,,,
1364713894552301570,1364713894552301570,2021-02-25 07:08:42 +08,2021-02-25,07:08:42,+0800,3308316631,live_earn_learn,LiveLearnEarnEnjoy,,Looking at Pfizer Inc   https://t.co/iA4aex1TVK  #stocks #stockmarket #stockoptions #invest #valueinvesting #strategy #education #knowledge #valueinvestor #tradingview #trader #trading #investment #overvalued #company #pfizer #ticker #symbol #pfe #sector #healthcare,en,[],['https://livelearnearnenjoy.wixsite.com/financialjourney/post/looking-at-pfizer-inc'],[],0,0,0,"['stocks', 'stockmarket', 'stockoptions', 'invest', 'valueinvesting', 'strategy', 'education', 'knowledge', 'valueinvestor', 'tradingview', 'trader', 'trading', 'investment', 'overvalued', 'company', 'pfizer', 'ticker', 'symbol', 'pfe', 'sector', 'healthcare']",[],https://twitter.com/live_earn_learn/status/1364713894552301570,False,,0,,Singapore,,,,,,[],,,,
1364713208968192002,1364713208968192002,2021-02-25 07:05:58 +08,2021-02-25,07:05:58,+0800,588551732,jonahblank,Jonah Blank,,"While the #Sinovac vaccines do not have the proven effectiveness of the #Pfizer &amp; #Moderna ones, I've met several people who would prefer them (due to older methods of production).  If approved: Hopefully, #Singapore will let people choose which they prefer.",en,[],[],[],0,1,0,"['sinovac', 'pfizer', 'moderna', 'singapore']",[],https://twitter.com/JonahBlank/status/1364713208968192002,False,https://twitter.com/deweysim/status/1364577242563571720,0,,Singapore,,,,,,[],,,,
1364709470610223108,1364709470610223108,2021-02-25 06:51:07 +08,2021-02-25,06:51:07,+0800,38400130,channelnewsasia,CNA,,"In boost for COVID-19 battle, Pfizer vaccine found 94% effective in real world  https://t.co/X0EAlKykj1  https://t.co/iwGLKT0Ofc",en,[],['https://cna.asia/3aPsAQ9'],['https://pbs.twimg.com/media/EvBsCBeU4AIjw-y.jpg'],1,3,9,[],[],https://twitter.com/ChannelNewsAsia/status/1364709470610223108,False,,1,https://pbs.twimg.com/media/EvBsCBeU4AIjw-y.jpg,Singapore,,,,,,[],,,,
1364707438759354376,1364707438759354376,2021-02-25 06:43:03 +08,2021-02-25,06:43:03,+0800,1131352537,stforeigndesk,ST Foreign Desk,,Large real world study confirms Pfizer Covid-19 vaccine 94% effective  https://t.co/5xUYUPpRTp,en,[],['http://dlvr.it/RtQW33'],[],0,3,11,[],[],https://twitter.com/STForeignDesk/status/1364707438759354376,False,,0,,Singapore,,,,,,[],,,,
1364693670880972802,1364693670880972802,2021-02-25 05:48:20 +08,2021-02-25,05:48:20,+0800,48689367,tulunsokit,Tired & Sakit 🇲🇾,,For B1.351 Pfizer basically as good as AZ is for wild type garden variety SARS Cov2,en,[],[],[],0,0,0,[],[],https://twitter.com/tulunsokit/status/1364693670880972802,False,https://twitter.com/florian_krammer/status/1364685642253369346,0,,Singapore,,,,,,[],,,,
1364600747774517252,1364586043966545925,2021-02-24 23:39:05 +08,2021-02-24,23:39:05,+0800,567125809,_______rul,☾ sesshomarul,,@Owllul moderna/pfizer use mrna hv better efficacy + larger demo during clinical trials.   sinovac 🇨🇳 use old tech + questionable efficacy. The plus to sinovac is that it’s cheaper logistically.   https://t.co/eJIqo0Be90,en,[],['https://www.channelnewsasia.com/news/world/covid-19-vaccines-comparison-pfizer-sinovac-moderna-13784890'],[],0,0,0,[],[],https://twitter.com/_______rul/status/1364600747774517252,False,,0,,Singapore,,,,,,"[{'screen_name': 'Owllul', 'name': 'Awallul', 'id': '528424979'}]",,,,
1364598661104115713,1364577242563571720,2021-02-24 23:30:48 +08,2021-02-24,23:30:48,+0800,69835675,deweysim,Dewey Sim 沈炜淳,,"EDIT: The Sinovac vaccines arrived on Tues evening instead of Wed. Also, Singapore's prime minister Lee Hsien Loong has yet to comment on the Sinovac shipment. Previously, when the Pfizer vaccines came, he called it a ""welcome present"", and for Moderna, he said he was ""pleased"".",en,[],[],[],2,6,25,[],[],https://twitter.com/deweysim/status/1364598661104115713,False,,0,,Singapore,,,,,,[],,,,
