id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1364717400436875265,1364717400436875265,2021-02-25 07:22:38 +08,2021-02-25,07:22:38,+0800,35524806,iskonglasalista,Benedict Exconde,,"The extremely Sinophobic talking head who greeted everyone with ""Kung Hei Fat Choy"" during the Lunar New Year is back to his usual Sinophobic ways, attacking COVID-19 vaccines made by Sinovac and Sinopharm, and disrespecting the Chinese national anthem on his tabloid radio show.",en,[],[],[],1,3,19,[],[],https://twitter.com/iskonglasalista/status/1364717400436875265,False,,0,,Singapore,,,,,,[],,,,
1364713208968192002,1364713208968192002,2021-02-25 07:05:58 +08,2021-02-25,07:05:58,+0800,588551732,jonahblank,Jonah Blank,,"While the #Sinovac vaccines do not have the proven effectiveness of the #Pfizer &amp; #Moderna ones, I've met several people who would prefer them (due to older methods of production).  If approved: Hopefully, #Singapore will let people choose which they prefer.",en,[],[],[],0,1,0,"['sinovac', 'pfizer', 'moderna', 'singapore']",[],https://twitter.com/JonahBlank/status/1364713208968192002,False,https://twitter.com/deweysim/status/1364577242563571720,0,,Singapore,,,,,,[],,,,
1364711157647351811,1364711157647351811,2021-02-25 06:57:49 +08,2021-02-25,06:57:49,+0800,35524806,iskonglasalista,Benedict Exconde,,"The Philippine government is expecting the arrival of 600,000 doses of Sinovac Biotech vaccines before the end of February.   https://t.co/gk32IGPhd3",en,[],['https://www.manilatimes.net/2021/02/25/news/national/sinovac-vaccines-here-end-of-february-palace/845109/'],[],0,1,0,[],[],https://twitter.com/iskonglasalista/status/1364711157647351811,False,,0,,Singapore,,,,,,[],,,,
1364663136846974979,1364663136846974979,2021-02-25 03:47:00 +08,2021-02-25,03:47:00,+0800,1619325942,mothershipsg,Mothership.sg,,China's Sinovac vaccine arrives in S'pore  https://t.co/h3ysDwx7uI  https://t.co/yhDY9mMTcT,en,[],['https://bit.ly/3kiVHi5'],['https://pbs.twimg.com/media/EvBB4usUUAAn6d2.jpg'],10,13,23,[],[],https://twitter.com/MothershipSG/status/1364663136846974979,False,,1,https://pbs.twimg.com/media/EvBB4usUUAAn6d2.jpg,Singapore,,,,,,[],,,,
1364628933199552512,1364601967796916229,2021-02-25 01:31:05 +08,2021-02-25,01:31:05,+0800,1262681777052676096,4faye_maymei,May-Mei,,@uniunichan 民族主義と言うよりは、悪い意味で我が祖国なら色々とガッツリとたっぷりと人道的に○✖️✖️事もやって作ったんだろうなぁと言う視点から、SINOVACを希望ですね。 聞いた時に、笑えませんでした😅  弊社駐在員は、Mustになる迄は絶対に受けません!と接種してません。今ならファイザー一択なのに…,ja,[],[],[],0,0,0,[],[],https://twitter.com/4faye_MayMei/status/1364628933199552512,False,,0,,Singapore,,,,,,"[{'screen_name': 'uniunichan', 'name': 'うにうに', 'id': '80652946'}]",,,,
1364622026795720706,1364601967796916229,2021-02-25 01:03:39 +08,2021-02-25,01:03:39,+0800,1262681777052676096,4faye_maymei,May-Mei,,@uniunichan @yasuisg 周りの中国人はSINOVAC待ちです。 患者数とサンプル数が桁違いで、実験治験を躊躇わないあの我が母国が輸出するぐらいなんだから、絶対に効く!という思考でした。 そこら辺を聞くとSINOVACは有りかな?と思ったりします。  打てないからどうでも良いけど。,ja,[],[],[],1,0,3,[],[],https://twitter.com/4faye_MayMei/status/1364622026795720706,False,,0,,Singapore,,,,,,"[{'screen_name': 'uniunichan', 'name': 'うにうに', 'id': '80652946'}, {'screen_name': 'yasuisg', 'name': 'Yasu', 'id': '175288745'}]",,,,
1364600747774517252,1364586043966545925,2021-02-24 23:39:05 +08,2021-02-24,23:39:05,+0800,567125809,_______rul,☾ sesshomarul,,@Owllul moderna/pfizer use mrna hv better efficacy + larger demo during clinical trials.   sinovac 🇨🇳 use old tech + questionable efficacy. The plus to sinovac is that it’s cheaper logistically.   https://t.co/eJIqo0Be90,en,[],['https://www.channelnewsasia.com/news/world/covid-19-vaccines-comparison-pfizer-sinovac-moderna-13784890'],[],0,0,0,[],[],https://twitter.com/_______rul/status/1364600747774517252,False,,0,,Singapore,,,,,,"[{'screen_name': 'Owllul', 'name': 'Awallul', 'id': '528424979'}]",,,,
1364599599701258243,1364599599701258243,2021-02-24 23:34:32 +08,2021-02-24,23:34:32,+0800,3099154459,italiasingapore,Singapore Italian Association,,Singapore receives its first shipment of Sinovac's COVID-19 vaccine  https://t.co/ouDajkcxVT #asia #singapore #italy  https://t.co/MXvZ50XA1f,en,[],['http://dlvr.it/RtPC7x'],['https://pbs.twimg.com/media/EvAIGsCUYAIEJba.jpg'],0,0,0,"['asia', 'singapore', 'italy']",[],https://twitter.com/italiasingapore/status/1364599599701258243,False,,1,https://pbs.twimg.com/media/EvAIGsCUYAIEJba.jpg,Singapore,,,,,,[],,,,
1364598661104115713,1364577242563571720,2021-02-24 23:30:48 +08,2021-02-24,23:30:48,+0800,69835675,deweysim,Dewey Sim 沈炜淳,,"EDIT: The Sinovac vaccines arrived on Tues evening instead of Wed. Also, Singapore's prime minister Lee Hsien Loong has yet to comment on the Sinovac shipment. Previously, when the Pfizer vaccines came, he called it a ""welcome present"", and for Moderna, he said he was ""pleased"".",en,[],[],[],2,6,25,[],[],https://twitter.com/deweysim/status/1364598661104115713,False,,0,,Singapore,,,,,,[],,,,
1364592180535250948,1364592180535250948,2021-02-24 23:05:03 +08,2021-02-24,23:05:03,+0800,44290654,yperic,Eric Cheng,,China's Sinovac vaccine arrives in S'pore  https://t.co/zNtwgdXZRW,en,[],['https://mothership.sg/2021/02/sinovac-vaccine-singapore/'],[],0,0,0,[],[],https://twitter.com/yperic/status/1364592180535250948,False,,0,,Singapore,,,,,,[],,,,
1364592059873591301,1364584195268337669,2021-02-24 23:04:34 +08,2021-02-24,23:04:34,+0800,23699282,birdypooping2,Bernie,,@theoldgumtree There was a lot of unhappiness when we were told people won't get to choose. So the government quietly shelved Sinovac. Now the Ching Chong embassy thought it's a PR win. Talk about tone-deaf.,en,[],[],[],0,0,1,[],[],https://twitter.com/birdypooping2/status/1364592059873591301,False,,0,,Singapore,,,,,,"[{'screen_name': 'theoldgumtree', 'name': 'DZ', 'id': '936397689700233216'}]",,,,
1364589421429858309,1364589421429858309,2021-02-24 22:54:05 +08,2021-02-24,22:54:05,+0800,1015456945447170048,hiremaidea,hiremaid.com.sg,,"China's Sinovac vaccine arrives in Singapore, but is not yet approved for use  https://t.co/VcQgTqYX1i",en,[],['http://dlvr.it/RtP2fs'],[],0,0,0,[],[],https://twitter.com/HIREMAIDEA/status/1364589421429858309,False,,0,,Singapore,,,,,,[],,,,
1364588891500519426,1364588891500519426,2021-02-24 22:51:59 +08,2021-02-24,22:51:59,+0800,43287440,chengwee,Teo Cheng Wee,,Err... why are the vaccines here if they haven't been approved? 🤔 #COVID19 #Sinovac   https://t.co/LvGlaX2XPb,en,[],['https://www.straitstimes.com/singapore/chinas-sinovac-vaccine-arrives-in-singapore-but-not-yet-approved-for-use'],[],0,0,0,"['covid19', 'sinovac']",[],https://twitter.com/chengwee/status/1364588891500519426,False,,0,,Singapore,,,,,,[],,,,
1364588827524747266,1364584195268337669,2021-02-24 22:51:43 +08,2021-02-24,22:51:43,+0800,23699282,birdypooping2,Bernie,,@theoldgumtree I was told Singapore cancelled the order with Sinovac. Apparently not. The bloody ministers sure won't be using them. They already got the Pfizer.,en,[],[],[],1,0,1,[],[],https://twitter.com/birdypooping2/status/1364588827524747266,False,,0,,Singapore,,,,,,"[{'screen_name': 'theoldgumtree', 'name': 'DZ', 'id': '936397689700233216'}]",,,,
1364586774081638400,1364586774081638400,2021-02-24 22:43:34 +08,2021-02-24,22:43:34,+0800,38400130,channelnewsasia,CNA,,Singapore receives its first shipment of Sinovac's COVID-19 vaccine  https://t.co/Pkhp4QpRnE  https://t.co/IuGRh6PAQw,en,[],['https://cna.asia/3bG8iYW'],['https://pbs.twimg.com/media/Eu_8cJCU4AQUGVV.jpg'],1,29,31,[],[],https://twitter.com/ChannelNewsAsia/status/1364586774081638400,False,,1,https://pbs.twimg.com/media/Eu_8cJCU4AQUGVV.jpg,Singapore,,,,,,[],,,,
1364586043966545925,1364586043966545925,2021-02-24 22:40:40 +08,2021-02-24,22:40:40,+0800,567125809,_______rul,☾ sesshomarul,,Thank god for early vacc lol can u imagine getting sinovac instead? Ew.  https://t.co/xA3MTUdfiU,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/Eu_7xGGUYAUit_C.jpg'],1,0,0,[],[],https://twitter.com/_______rul/status/1364586043966545925,False,,1,https://pbs.twimg.com/tweet_video_thumb/Eu_7xGGUYAUit_C.jpg,Singapore,,,,,,[],,,,
