,Unnamed: 0,name,comment,processed_comment
0,0,agnes_sl,How about short term visitors who doesn’t have data plan? Will the SingPass app work even with data? Thxs!,"['short', 'term', 'visitor', 'data', 'plan', 'singpass', 'app', 'work', 'even', 'data', 'thx']"
1,1,agnes_sl,*without,['without']
2,2,emaarrahman,"Or just a tourist who does not have an NRIC, SingPass etc. Is there the ability to use your passport number?","['tourist', 'nric', 'singpass', 'etc', 'abil', 'use', 'passport', 'number']"
3,3,jjasmineloh,Yeah. Fast check in. 👍🏻👍🏻☑️,"['yeah', 'fast', 'check']"
4,4,yoloscl,Hope will implement at public transportation where we stay in 'small' enclosed place and safe distancing pratice is challenging.,"['hope', 'implement', 'public', 'transport', 'stay', 'enclos', 'place', 'safe', 'distanc', 'pratic', 'challeng']"
5,5,dandelion_kaixin,"Use Tracetogether app, easier.","['use', 'tracetogeth', 'app', 'easier']"
6,6,kissteenaa,will there be extra layers of secure to prevent data leaks?,"['extra', 'layer', 'secur', 'prevent', 'data', 'leak']"
7,7,unice7273,🇸🇬🤗星期三 直播 Mambo Jambo Nite Live 40:00 大家一起跳💃 Swing Singapore😉🎑 https://youtu.be/5e11TBY8ib4 #sgunited #sgcultureanywhere #sgyouthactionplan #sgexercises #Unstoppable🎐#四面臺 #勢不可擋 #西門町 #兰桂坊 #四小龙 #mediacorp #sphradio #sph #TVB #tvbs新聞 #gratefulheart #grateful #swingsingapore #感謝,"['mambo', 'jambo', 'nite', 'live', 'swing', 'singapor']"
8,8,mydailylowsugarmeal,"I read that my details will be sent to the outlet using the safe entry. I am fine with providing my information via safe entry so that authority can contact me when need arises My question is if it is necessary to provide these info to the outlet. These information can be kept with the authority and only to provide the info for contact purpose when need arises. Yes, you can claim the info use is regulated and protected by laws. But it can be abused. For your consideration to keep the safe entry and contact information with the authority only please. Thank you.","['read', 'detail', 'sent', 'outlet', 'use', 'safe', 'entri', 'fine', 'provid', 'inform', 'via', 'safe', 'entri', 'author', 'contact', 'need', 'aris', 'question', 'necessari', 'provid', 'info', 'outlet', 'inform', 'kept', 'author', 'provid', 'info', 'contact', 'purpos', 'need', 'aris', 'ye', 'claim', 'info', 'use', 'regul', 'protect', 'law', 'abus', 'consider', 'keep', 'safe', 'entri', 'contact', 'inform', 'author', 'pleas', 'thank']"
9,9,jennysan_tham,"I understand that government encourage people go to supermarkets must scan their IC or QR codes but yet don't know why NTUC & Sheng Siong ask their customers to fill up the form when their customers forgotten to bring their IC??? Really defeat the purpose of scanning IC & QR codes! How to trace whether the customers fill up their own particular or just simply fill up only (not their particular) as they just want to go into supermarkets only? Very appropriate if you could look into it seriously, thank you.","['understand', 'govern', 'encourag', 'peopl', 'go', 'supermarket', 'must', 'scan', 'ic', 'qr', 'code', 'yet', 'know', 'ntuc', 'sheng', 'siong', 'ask', 'custom', 'fill', 'form', 'custom', 'forgotten', 'bring', 'ic', 'realli', 'defeat', 'purpos', 'scan', 'ic', 'qr', 'code', 'trace', 'whether', 'custom', 'fill', 'particular', 'simpli', 'fill', 'particular', 'want', 'go', 'supermarket', 'appropri', 'could', 'look', 'serious', 'thank']"
10,10,rajfitnessologist,@patriciarajendranath,[]
