,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
0,Orchid Live Seafood,2452997105227086970,2020-11-29 08:54:51,orchidliveseafood,,"Yes! This December we’re bringing not 1, but 2 Lobster promos* to you🦞

*1-for-1 PROMO*
Boston Lobsters - $68 (U.P. $136)
Southern Australian Lobsters - $288 (U.P. $576)

Visit us on our Facebook page or call us at 67560311 to make your reservations😊

(*only available at our HomeTeamNS Khatib branch, whilst stocks lasts!)",Orchid Live Seafood Restaurant,15,1
1,Collect House,2447982515086695975,2020-11-22 10:51:18,collect.house,"Photo by Collect House on November 22, 2020. May be an image of coffee cup.","We heard you! 🍂
First up of our launch is the cutest mugs, with the same design as our Moon plates. 

— • 
Available in two sizes 

Moon Mug:
Height: 5.2cm
Width: 10cm
$15

Moon Cup:
Height: 9cm
Width: 5cm
$20

4 available, DM to purchase ❣️",,47,1
2,School of Melvinism,2453444499722321626,2020-11-29 23:43:17,schoolofmelvinism,"Photo shared by School of Melvinism on November 29, 2020 tagging @im.mackie. May be an image of 1 person, cake and text that says 'i HEYDADDADDAD.WORDPRESS.COM HEYDADDADDAD.W Chapter 15 2020 has been, different. The start of th...'.","presents :

A Good Fatherly Read

By Hey Dad : "" The course I have plotted in my mind is not going in the direction that I had imagined in my head. It has been taking detours in the last three years and I don’t think it will find its way back to the original course. So I’m taking a leap of faith to adjust my bearings... ""

For the full article, please visit their website or our Facebook page",,9,2
3,Ju Ann,2453175740760323506,2020-11-29 14:49:18,ngjuann,"Photo shared by Ju Ann on November 29, 2020 tagging @ngjuann, and @glowfullyskin. May be an image of 1 person, hair, bottle and cosmetics.","I have a few things in my 👜 that I always bring around and this is one of them. 💫

@glowfullyskin's Hydrating Mist Toner is my go-to skin quencher whenever I am out and about. My skin often gets dull and oily in this humid weather of ours, and a spritz of this really helps rejuvenate and revive my lackluster skin. 🥰 👍🏻

Lashes by @perkylash",Singapore,237,14
4,,2453155714972262077,2020-11-29 14:09:31,foodiechubb,"Photo by @foodiechubb on November 29, 2020. May be an image of dessert.",#ilovewhatieatfoodiechubb #sgshopping #singaporefood #circuitbreakersg #canuguesswhere #carousellsg #sgdaily #sgfoodie #sgfood #singaporehomecooks #singaporelife #singapore🇸🇬 #stayathomesg,,9,0
5,Two Dots face mask,2453149740311232677,2020-11-29 13:57:39,twodotshandmade,"Photo shared by Two Dots face mask on November 29, 2020 tagging @cassadillah. May be an image of 1 person.","The lovely Cass @cassadillah, wearing a Medium Two Dots in Fawned. I wonder if I should challenge her to paint all the animals on her mask and see if she can paint them as fast as she painted the ice creams 🤔😜

#twodotshandmade #facemask #madewithlove #handmadeinmelbourne #3Dmask #stayprotected #coveryourface #supportlocal #maskfashion #maskoftheday #melbourne #quarantinelife #getarealmask #noplanetb #reduceandreuse #gogreen #goreusablewithtwodots #maskup #staysafe #comfortablysafe #cousinsarethebest #circuitbreaker #circuitbreakersg",Singapore,21,0
6,Pandetitas,2453119422270765612,2020-11-29 12:57:25,sgpandetitas,Photo by Pandetitas in Singapore. May be an image of food and text that says ''ANDETETAS PANDETITAS SINGAPORE LECHON BELLY @sgpandetitas PRE-ORDER NOW!'.,"CHOP-CHOP! 

Place your order NOW for the Pandetitas LECHON BELLY!

Get your own Pandetitas HOLIDAYS PACKAGEs.

Simply fill out this form (https://forms.gle/MbQ1EggCX6xgqGqt6) and wait for our confirmation.

For more information, Message us!
#sgfoodstagram #instasg #stayhome #burpplesg #foodpornsg #yummy #hungrygowhere #singaporefoodie #foodiesg #dayseat #igfood #savefnbsg #foodpics #singaporeeats #sgmakandiary #sgrestaurant #singaporeinsiders #foodlover #sgbakes #homecooked #circuitbreaker #igsgfood #homecooking #circuitbreakersg #sgfoodhunt #delicious #sgcafehopping #sgholidays #ubecheesepandesalsg #holidays",Singapore,7,0
7,Susucre,2453119123679318923,2020-11-29 12:56:49,susucre_cakes,"Photo by Susucre on November 29, 2020. May be an image of cake.",I come from the land of the ice and snow ... superhero cake by www.susucre.net,,12,1
8,Kelly,2453107033648203357,2020-11-29 12:32:48,kellyxisme,"Photo by Kelly on November 29, 2020.","Love ❤️❤️from boss during the CB in Singapore🍗🍟🥤
#goodboss
#thanksboss 
#circuitbreakersg",,1,0
9,Destinie Wong,2453100756895699672,2020-11-29 12:20:20,destinie2435,"Photo by Destinie Wong on November 29, 2020. May be an image of pizza.","Happy hours with ex and present SHB team 🍻 

#circuitbreakersg #happyhours #enjoythemoment #beertime #pizza #chips #snackforbeer",Nickeldime Drafthouse,63,3
10,Dr. Jenny Li,2453092151847284316,2020-11-29 12:03:14,drjennyli,"Photo by Dr. Jenny Li on November 29, 2020. May be an image of 2 people and child.",She brings out the silly side of me. All of sudden I am a kid again 😄,,137,6
11,“Hello stranger.”,2453009400988625453,2020-11-29 09:18:49,wwwayne___,"Photo by “Hello stranger.” on November 29, 2020. May be an image of one or more people and buildings.",#fujifilmxt3 #xt3 #xseries #vsco #vscocam #fujifilmasia #fujifilm #fujifilmsg #fujifilm_global #fujifilmglobal #fujifilmeu #fujifeed #xf56mmf12 #classicchrome #streetphotography #streetphotography #sgstreet #streetsgrammer #emergenciamag #singapore #singaporestreets #circuitbreaker #circuitbreakersg #fujifilmstreetx #myspc #filmic_streets,,76,0
12,Ivy Yee,2452950048340569547,2020-11-29 07:20:54,ivyyee,"Photo shared by Ivy Yee on November 28, 2020 tagging @josephineyee. May be an image of food.","🐥料多过粉嘅紫菜米粉汤 🍜
#紫菜米粉汤 #soupnoodles #lunchtime#yummyinmytummy #simplelunch #simpleeats #croissant #instagood#instafood #instafollow #followforfollow #followforfollowback #followme #jj#igers#igsg#singapore #random #webstagram#circuitbreakersg#day238#itssunday #itssunday #weekendsishere #weekendvibes",,7,0
13,Square,2452936148423818691,2020-11-29 06:53:17,footprintsinthesand75,"Photo by Square on November 28, 2020. May be an image of tree and road.",#2020 is probably the year where I did the most #exercise. #cb2020 #circuitbreakersg did all the running since all the pool are closed. #phase1 we have the company first #42race event for #200k and 100k respectively. All in all did more than 300km of running this year #iphonexsmax #appleiphonexsmax #applewatch #applesingapore #shotoniphone,Singapore,6,0
14,hourboutiqueSG,2452859378341443130,2020-11-29 04:20:45,hourboutiquesg,"Photo by hourboutiqueSG on November 28, 2020. May be an image of wrist watch.","WestEnd Watch Co.
White Jawi Dial
Swiss Made, ETA2824-2
__________________________________
SGD799
____________________________________
#hourboutiquesg #westend #swissmade #westendwatch #supportsmallbusiness  #circuitbreakersg #supportlocalsg #watchesofinstagram #sgwatch #sgwatches #wristwatch #igers #instawatch #instadaily #samsung #galaxys10 #s10 #photography #marcophotography #singapore #singapore🇸🇬 #Ootd #wotd #singaporefashion #singaporeonlineshop #singaporeWatchclub",Hour Boutique (S) Pte Ltd,52,0
15,Masakan IBU,2452851736850016506,2020-11-29 04:05:37,masakanibu.my,,"𝗣𝗘𝗡𝗗𝗔𝗙𝗧𝗔𝗥𝗔𝗡 𝗞𝗜𝗡𝗜 𝗗𝗜𝗕𝗨𝗞𝗔

✔ WhatsApp group Mentoring & Coaching
✔ Meal plan beserta resepi sihat 25 hari
✔ Combo workout step by step dari rumah
✔ Groceries checklist

🔊 PENDAFTARAN SUDAH DI BUKA
🚫 SLOT TERHAD

📲 Click link Whatsapp di bio
@dietwithhida_
@dietwithhida_
@dietwithhida_

Coach Hida +6598527394
http://bit.ly/3jNcclv

#hpbsg #sihatsg #makansihatbadansihat #circuitbreakersg #muslimahsg #activesg #makansg #fitnesssg #islamsg #kekalsihatsg #sukamakan #sihatluardalam #sihatdancantik #jomsihat #kurusdarirumah #muslimahcantik #kuruslangsing #weightloss #dietsihat #dietcepat #healthylifestyle #dudukrumahchallenge #igsg #kurustanpaberlapar #kurusmudah #nakslim #malaysia #resipisihat #bajuplussize #okletsgo",,11,0
16,resepimemikatsuami.my,2452851189971447039,2020-11-29 04:04:32,resepimemikatsuami.my,,"𝗣𝗘𝗡𝗗𝗔𝗙𝗧𝗔𝗥𝗔𝗡 𝗞𝗜𝗡𝗜 𝗗𝗜𝗕𝗨𝗞𝗔

✔ WhatsApp group Mentoring & Coaching
✔ Meal plan beserta resepi sihat 25 hari
✔ Combo workout step by step dari rumah
✔ Groceries checklist

🔊 PENDAFTARAN SUDAH DI BUKA
🚫 SLOT TERHAD

📲 Click link Whatsapp di bio
@dietwithhida_
@dietwithhida_
@dietwithhida_

Coach Hida +6598527394
http://bit.ly/3jNcclv

#hpbsg #sihatsg #makansihatbadansihat #circuitbreakersg #muslimahsg #activesg #makansg #fitnesssg #islamsg #kekalsihatsg #sukamakan #sihatluardalam #sihatdancantik #jomsihat #kurusdarirumah #muslimahcantik #kuruslangsing #weightloss #dietsihat #dietcepat #healthylifestyle #dudukrumahchallenge #igsg #kurustanpaberlapar #kurusmudah #nakslim #malaysia #resipisihat #bajuplussize #okletsgo",,9,1
