,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
0,PSLE Eng Math Science,2414712278925833885,2020-10-07 13:09:16,teacher_trelyn,"Photo by PSLE Eng Math Science on October 07, 2020. May be an image of text that says 'TEACHER TRELYN CUSTOMISED TUITION Statement on Payment Gateway Dear Parents and Students, Teachertrelyn.com' payment gateway is powered by Stripe and not by Wirecard. Videos and worksheets are still available for purchase as per usual. There is no suspension of online payment services on my website. Thank you for all your support over the past few months and hope everyone stay safe and healthy. Teacher Trelyn'.",,,14,1
1,❀ 愛 ❀,2431489259204972143,2020-10-30 16:42:08,tweetification,Photo by ❀ 愛 ❀ in Jalan Berseh Food Centre. May be an image of food.,": Good tasting ones are hard to come by!
꧂ 𝕆𝕔𝕥𝕠𝕓𝕖𝕣
#猪脚冻 #teochewfood #sgunited #covid19days #circuitbreakerphase2 #circuitbreakersg  #sgeats #sgfood #sgfoodlover #stfoodtrending #foodiesg #sgfoodtrend #singaporeeats #sgfoodies #sgigfoodies #instafood #singapore_insta #sghawker #foodies #instafood #foodstagram #igfood #foodporn #foodoftheday #ai20loveones #ai20daddy #ai20mummy #ai20lifestyle #ai20foodporn #ai20in2020  #ihavethisthingwithcolor",Jalan Berseh Food Centre,28,1
2,❀ 愛 ❀,2431417649156380639,2020-10-30 14:19:52,tweetification,"Photo by ❀ 愛 ❀ on October 30, 2020. May be an image of food.",": Mini Croissants. So cute, so delish! ❤︎ 
꧂ 𝕆𝕔𝕥𝕠𝕓𝕖𝕣
#truffleham #minicroissant #garliccreamcheese #stayhome #sgunited #covid19days #circuitbreakerphase2 #circuitbreakersg  #sgeats #sgfood #sgfoodlover #stfoodtrending #foodiesg #sgfoodtrend #singaporeeats #sgfoodies #sghomecook #singapore_insta #foodies #foodstagram #foodporn #igfood #foodoftheday #ai20lifestyle #ai20loveones #ai20foodporn #ai20in2020  #ihavethisthingwithcolor #photooftheday #pictureoftheday",,23,0
3,Ambrose Huan,2431406222260560205,2020-10-30 13:57:10,ambrosehuan,"Photo by Ambrose Huan on October 30, 2020. May be an image of 1 person.","Halloween

Trick or Treat?
Or maybe syringe?

Token and bag ""paid"" by blood
And yet a day to ""lose"" 0.5kg

#blooddonation #circuitbreakersg #halloween #seeyou #feb2021",Bloodbank@Dhoby Ghaut,80,0
4,Tuition Corridor Singapore,2431389087312462524,2020-10-30 13:23:07,tuitioncorridor,"Photo by Tuition Corridor Singapore on October 30, 2020.","Our 100% online lessons have come to an end. We are extremely grateful to all our students and their parents for trusting us when we took lessons online during the Circuit Breaker!

We will be heading back to the centre with a live-streaming option. Have more questions? Contact 8893 6231!

#sgtutor#sgtutors#sgtuition#tuitionsingapore#Primaryschool#MOEsyllabus#PSLE#zoomlessons#circuitbreaker#circuitbreakersg",Singapore,7,1
5,Coach Nisa•LOSE WEIGHT ONLINE,2431362781283635988,2020-10-30 12:30:51,healthyjourney.nisa,Photo by Coach Nisa•LOSE WEIGHT ONLINE in Singapore. May be an image of one or more people and text that says 'IF YOU START TO REALISE START MAKING A CHANGE KEEP MAKING PROGRESS UNTIL YOU REACH YOUR GOAL! Register now! #Nomorelater @healthyjourney.nisa'.,"Realization / awareness doesnt come often. 
When ypu realise that you gained weight or u feel that your body is tired due to the bad eating habit, START TO MAKE CHANGES! 

DONT wait any longer. Start right away! The awareness / the realization you get is a blessing for u. 

🍁 NOVEMBER INTAKE OPEN 🍁
🌱 Register now 🌱

📱Slide in my DM / Whatsapp at 90277422
Link in bio! 

About programe:
✏100% Online Coaching
✏ Meal Plan + Recipes
✏ Eat 5 meals a day
✏ Online workout combo
✏ Knowledge on dieting
✏ Online group support

#singapore #diet #Sihat #supportlocal #wfh #ndp #halalfoodsg #weddingsg #sgbridal #FitnessSg #hantarankawin #warna942 #ndp2020 #telekungsg #pengantinsg #togetherstrongersg #activesg #workoutfromhome #sgunited #Suria #healthysingapore #workingmum #Diet #onlinediet #circuitbreakersg #mediacorpsuria #nakkurus #healthyjourneynisa",Singapore,5,0
6,Little Elephant SG,2431306021673542624,2020-10-30 10:38:05,littleelephantsg,"Photo by Little Elephant SG in Little Elephant SG. May be an image of food and text that says 'Little Elephant SG Little Elephant ORDER ON G Pay PICK-UP 57 Eng Hoon St, #01-72 Open now $$ 4.2 6 m Menus, prices, opening hours and delivery/collection services may differ due to COVID-19. A-SIDE DISHES PS -Salads S-Soups'.","Little Elephant is on Googlepay for pick up order. If you are nearby, do try out google pay to place your order for pickup. You may refer to the link below🙏🏻🙏🏻🙏🏻

https://gpay.app.goo.gl/J3R1ZC
.
.
.
⚠️Due to additional precaution measures, lesser tables, and lesser manpower, we do seek your kind understanding and cooperation to have more patience with our staffs.🙏🏻🙏🏻🙏🏻
.
.
⚠️ Operating hours will be updated as follow: 
 ▶️ Tues - Fri: 11:30am to 3pm; 6pm to 10:30pm
 ▶️ Sat/Sun/PH: 11:30am to 10:30pm
.
.
.
#littleelephantsg #littleelephantthaibistro #tiongbahru #thaifood #thaifoodsg #setlunchsg #sgsetlunch #singaporefood #singapore #sgfood #foodsg #foodinsing #singhabeer #changbeer #lunchsg #dinnersg #takeawaysg #takeaway #tabao #deliverysg #fooddeliverysg #SGUnited #savefnbsg #supportlocal #supportlocalbusiness #circuitbreakersg #googlepay #phase3coming",Little Elephant SG,16,0
7,Match A Mentor (matchAmentor),2431298774226513755,2020-10-30 10:23:41,matchamentor_sec,"Photo by Match A Mentor (matchAmentor) on October 30, 2020. May be a meme of one or more people and text that says 'This is me.. One Night Before Exam.'.","night before exam 🌃

🌟Follow @matchamentor_jc @matchamentor_sec for more study tips! 
-  Fill in the tutee form (link in bio) 
-  DM us to reach our mentors for personalized answers and advice!🍵⠀
⠀
#olevels #olevelmath #olevels2020 #peertutoring #peertutors #singaporetutors #circuitbreakersg #jcmemes #studytips #examtips #keepcalmandstudyhard #juniorcollege #matchamentor #generalpaper #genemutation #tutor #highschool #tutoringservices #mathtutoring #sgstudents #parttime #singaporeschool #pelajar #tutorial #tutoring #mentor #singapore #singaporetutors #sgtutor #education #exam",,17,0
8,Wildfire Burgers,2431286608865931611,2020-10-30 09:59:31,wildfireburgers.sg,"Photo by Wildfire Burgers on October 30, 2020. May be an image of ‎text that says '‎泰 ا山 GET TO KNOW Toh Thye San Farm‎'‎.","[PRE-ORDER LINK IN BIO // 3 MORE DAYS!] Toh Thye San Farm, named after its founder, began in 1979 as a small family farm. It remains a family-owned and family-operated business, now headquartered in Singapore with Certified Humane® broiler chicken farms located in Johor, Malaysia. The only farm in South East Asia to get certified humane and uses ‘GG French Poulet’; a breed of chicken from Sabres, France that is grown naturally with no synthetic additions like growth promoters.

Keep an eye out as we share about this seasonal special! 

3 more days to the launch of this irresistible Signature Chicken Burger. PRE-ORDER YOURS NOW! Link in Bio.

#wildfireburgers #wildfirechickenandburgers #singaporefnb #bestfoodsingapore #foodinsing #instafood #foodporn #sgfooddiary #sgfoodtrend #foodgasm #eatoutsg #singaporefoodie #igfood #singaporeinsiders #circuitbreakersg #delicious #foodblogger",Wildfire Burgers,31,1
9,8 Korean BBQ Shaw,2431263354772021660,2020-10-30 09:13:18,8koreanbbqshaw,"Photo shared by 8 Korean BBQ Shaw on October 30, 2020 tagging @tetgrajo. May be an image of food.","At 8KBBQ, our staff does all the grilling for you so you don't have to. What are you waiting for? Make your reservations with us at 9018 9212 now. 

📸: @tetgrajo 

#8koreanbbq #8koreanbbqshaw #singaporebbq #singaporefnb #bestfoodsingapore #foodinsing #instafood #foodporn #sgfooddiary #sgfoodtrend #foodgasm #eatoutsg #singaporefoodie #igfood #singaporeinsiders #circuitbreakersg #delicious #foodblogger #sgmeatlovers #meatlover #porkbellybbq #kbbqmeat #marinatedpork #koreanfood #koreansg #singaporekoreanfood",8 Korean BBQ Shaw Centre,8,0
