,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
0,Astronut Foods Co,2409555832775107814,2020-09-30 10:24:20,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020. May be an image of text that says '-vegan -keto -paleo -Gluten, Dairy and Soy free'.",,,21,1
1,Astronut Foods Co,2409555794346842469,2020-09-30 10:24:16,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020. May be an illustration.",Launching soon ft Astronut Coco,,13,1
2,Astronut Foods Co,2409555753511114404,2020-09-30 10:24:11,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020. May be an image of outerwear and text that says 'Clean Chocolate Hazelnut Butter'.",,,15,2
3,Astronut Foods Co,2409555709311565940,2020-09-30 10:24:05,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020.",Our nut butters are out of this world🪐💫🌍,,9,1
4,Astronut Foods Co,2409555667267849785,2020-09-30 10:24:00,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020. May be an image of text that says '100% Almond Butter'.","We go back to basics with our 100% roasted almond butter. The perfect balance of sweet and salty, our luxurious almond butter shines on its own or to accentuate the flavours and textures of a dish💯 Take in the earthy tones and aroma of freshly roasted almonds with every spoonful😋

As always, our nut butters are 100% vegan, paleo and keto-friendly🌱 
🚫No added sugars
🚫No added oils
🚫No added preservatives
🚫No cholesterol",,4,1
5,Astronut Foods Co,2409555621264547283,2020-09-30 10:23:55,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020. May be a cartoon of outerwear.",Launching soon ft Astronut Almo🤟🏼,,5,1
6,Astronut Foods Co,2409539650554440032,2020-09-30 09:52:11,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020. May be an image of ‎outerwear and ‎text that says '‎-100% natural oח- added sugar Oח- added oil oח- preservatives‎'‎‎.","100% Goodness, 0% Nasties",,4,1
7,Astronut Foods Co,2409539558548324917,2020-09-30 09:52:00,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020. May be an illustration.",Launching soon ft. Astronut Mac✌🏼,,4,1
8,Astronut Foods Co,2409539485819197031,2020-09-30 09:51:51,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020. May be an image of outerwear and text that says '100% Macadamia Butter'.","Snowy white, pure goodness🤍 Perfectly buttery with a tinge of natural sweetness. 
-
Macadamias are high in monounsaturated fats - the good kind, keeping you heart-healthy. Packed with antioxidants, fibre and protein, a serving helps to stave off hunger without sugar spikes📈

As always, our nut butters are 100% vegan, paleo and keto-friendly🌱 (esp for macadamia)!
🚫No added sugars
🚫No added oils
🚫No added preservatives
🚫No cholesterol kpop",,3,1
9,Astronut Foods Co,2409468666606525297,2020-09-30 07:31:09,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020.",,,0,1
10,Astronut Foods Co,2409468625427079952,2020-09-30 07:31:04,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020.",,,0,1
11,Astronut Foods Co,2409468576563236366,2020-09-30 07:30:58,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020.",,,1,1
12,Astronut Foods Co,2409468506921086581,2020-09-30 07:30:50,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020. May be a black-and-white image.",,,1,1
13,Astronut Foods Co,2409468442488120945,2020-09-30 07:30:42,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020. May be an image of outerwear.",,,1,1
14,Astronut Foods Co,2409468390319344363,2020-09-30 07:30:36,astronutfoodsco,"Photo by Astronut Foods Co on September 30, 2020.",,,1,1
