,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_tweets
0,1.3441047714985697e+18,1.3441047714985697e+18,2020-12-30,10:15:24,14314503.0,aaronunkoch,Aaron Koh,,"With all the safe entry sessions in Singapore, how big is the data storage per day?",en,[],[],[],0.0,0.0,1.0,[],https://twitter.com/AaronUnKoch/status/1344104771498569728,0.0,[],"['session', 'singapor', 'big', 'data', 'storag', 'per', 'day']"
1,1.3438737252722442e+18,1.3438737252722442e+18,2020-12-29,18:57:18,70879081.0,ecownomics,Minion Mike,"{'type': 'Point', 'coordinates': [1.29, 103.85]}","Scanned a TT only SafeEntry QR code. Told the staff I can't scan it, here's my token. Staff said oops. They can't scan too. Come on in.  Isit mandatory TT coming soon?",en,[],[],[],2.0,0.0,0.0,[],https://twitter.com/ecownomics/status/1343873725272244226,0.0,[],"['scan', 'tt', 'safeentri', 'qr', 'code', 'told', 'staff', 'ca', 'scan', 'token', 'staff', 'said', 'oop', 'ca', 'scan', 'come', 'isit', 'mandatori', 'tt', 'come', 'soon']"
2,1.3434366469356544e+18,1.3434366469356544e+18,2020-12-28,14:00:31,470018694.0,shanmathy_,𝒮𝒽𝒶𝓃𝓂𝒶𝓉𝒽𝓎 𝒟𝒶𝓃𝒶𝓀𝓊𝓂𝒶𝓇 🌻,"{'type': 'Point', 'coordinates': [1.28342504, 103.86233405]}","Food is in the pantry Singapore is a safe country In your heart, I want to do a SafeEntry 💘 @ MBS Skypark Observation Deck  https://t.co/NFJJnZ6agu",en,[],['https://www.instagram.com/p/CJVKHcTl-t6ay-WCloIEpRiLLBbbXDE96zPP2A0/?igshid=14j6v4vuzf6lx'],[],0.0,0.0,0.0,[],https://twitter.com/Shanmathy_/status/1343436646935654407,0.0,[],"['food', 'pantri', 'singapor', 'countri', 'heart', 'want', 'safeentri', 'mb', 'skypark', 'observ', 'deck']"
3,1.3417572772341023e+18,1.3417572772341023e+18,2020-12-23,22:47:18,30687037.0,invariant_stars,Celeste Koh,,Just got home after a long day of SafeEntry work. Too tired plus something didn't turn out smoothly by the time I ended work. And I got home and somehow got dragged into my mum's unreasonable fight with my sis. Emotionally distressed... I need time to slowly process everything 😨,en,[],[],[],0.0,0.0,0.0,[],https://twitter.com/invariant_stars/status/1341757277234102273,0.0,[],"['got', 'home', 'long', 'day', 'safeentri', 'work', 'tire', 'plu', 'someth', 'turn', 'smoothli', 'time', 'end', 'work', 'got', 'home', 'somehow', 'got', 'drag', 'mum', 'unreason', 'fight', 'si', 'emot', 'distress', 'need', 'time', 'slowli', 'process', 'everyth']"
4,1.3391266649833144e+18,1.3391266649833144e+18,2020-12-16,16:34:11,9.596776870893486e+17,joelhzy,jœł,,"Lol just saw a Chinese from China arrive and tried entering jewel only to get rejected entry by the safe entry guy. Feel bad tho, the girl was asking so nicely but the guy don’t understand Chinese so he just getting annoyed. Would’ve helped but I’m lazy..",en,[],[],[],0.0,0.0,1.0,[],https://twitter.com/joelhzy/status/1339126664983314432,0.0,[],"['lol', 'saw', 'chines', 'china', 'arriv', 'tri', 'enter', 'jewel', 'get', 'reject', 'guy', 'feel', 'bad', 'tho', 'girl', 'ask', 'nice', 'guy', 'understand', 'chines', 'get', 'annoy', 'would', 'help', 'lazi']"
5,1.3379981613699973e+18,1.3379945576784896e+18,2020-12-13,13:49:55,134866460.0,davidjrainey,David Rainey 🇸🇬,,@he_koh @mrbrown Great idea. I’m baffled that TT penetration is so low when Smartphone penetration in Singapore is so high. Are people still using SafeEntry on SingPass??,en,[],[],[],2.0,0.0,1.0,[],https://twitter.com/davidjrainey/status/1337998161369997314,0.0,"[{'screen_name': 'he_koh', 'name': '🇸🇬 Hong-Eng Koh (高宏荣)', 'id': '572366128'}, {'screen_name': 'mrbrown', 'name': 'mrbrown', 'id': '574253'}]","['great', 'idea', 'baffl', 'tt', 'penetr', 'low', 'smartphon', 'penetr', 'singapor', 'high', 'peopl', 'still', 'use', 'safeentri', 'singpass']"
7,1.337038552417194e+18,1.337038552417194e+18,2020-12-10,22:16:46,2470337852.0,janetok80,Jane Tok 卓施慧,,It is a tradition of mine since 10 years ago to take a pic with the Taka Christmas 🎄 becos they make the best 🎄 every year. This year there wasn’t any tree but instead replaced with marking stickers and safe entry gantry. A little disappointed but I shall forward to the next.  https://t.co/eu5PVxWfwk,en,[],[],['https://pbs.twimg.com/media/Eo4deCbUcAAoTig.jpg'],0.0,0.0,0.0,[],https://twitter.com/JaneTok80/status/1337038552417193984,1.0,[],"['offic', 'man', 'desk', 'wet', 'market']"
8,1.3368393002944307e+18,1.3368393002944307e+18,2020-12-10,09:05:01,1453990572.0,_rodahidup,ANABELI S560e,,About 6 officers manning the only #SafeEntry desk into the wet market.  https://t.co/N1vUHZcjD2,en,[],[],[],0.0,0.0,0.0,['safeentry'],https://twitter.com/_rodahidup/status/1336839300294430720,1.0,[],"['hot', 'damn', 'take', 'singapor', 'safeentri', 'qr', 'code', 'grant']"
9,1.3361024039390577e+18,1.3361024039390577e+18,2020-12-08,08:16:51,1.0325873337725706e+18,vargaseous,Joshua Vargas #DefendUP,,Hot damn I've been taking Singapore's SafeEntry QR Codes for granted,en,[],[],[],0.0,0.0,2.0,[],https://twitter.com/vargaseous/status/1336102403939057686,0.0,[],"['squirrel', 'bird', 'tree', 'dweller', 'everi', 'tree', 'visit', 'membina', 'court']"
10,1.3333380302125752e+18,1.3333380302125752e+18,2020-11-30,17:12:13,283095758.0,mrfyz,Fyz Lil,"{'type': 'Point', 'coordinates': [1.28266369, 103.82462183]}","So do squirrels, birds and other tree dwellers have to Safe Entry themselves in for every tree they visit? 😂 @ Membina Court  https://t.co/4MBZ5a3iWt",en,[],['https://www.instagram.com/p/CINZzEHBaF5/?igshid=tcnegckj40y4'],[],0.0,0.0,0.0,[],https://twitter.com/mrfyz/status/1333338030212575233,0.0,[],"['new', 'safeentri', 'gateway', 'devic', 'make', 'conveni']"
