,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_tweets
0,1.3417909818179748e+18,1.341729238819324e+18,2020-12-24,01:01:13,97009642.0,nubu515,NUBU@マレーシア～🇲🇾💋☀️,,@mobile_ameryu I forgot. Watching Home Stay without notice FB 😅😅,en,[],[],[],0.0,0.0,0.0,[],https://twitter.com/nubu515/status/1341790981817974787,0.0,[],"['forgot', 'watch', 'without', 'fb']"
1,1.337328549766697e+18,1.337285701558096e+18,2020-12-11,17:29:07,9.653383896449147e+17,9plus11,charpyqe,,"@C0MRAD3NlC Stay home notice, basically if you came back from overseas you gotta stay home for 2 weeks",en,[],[],[],1.0,0.0,1.0,[],https://twitter.com/9plus11/status/1337328549766696961,0.0,[],"['basic', 'came', 'back', 'oversea', 'got', 'ta', 'week']"
2,1.3325483094965862e+18,1.3325438819137085e+18,2020-11-28,12:54:09,8.163981368475976e+17,sarcasticlibra8,Kris-T,,@razamataz63 Maybe see if #Days announces anything this weekend. But the cast is on break anyway right now so they just may extend the break to coincide with the new stricter stay home notice,en,[],[],[],0.0,0.0,1.0,['days'],https://twitter.com/SarcasticLibra8/status/1332548309496586240,0.0,"[{'screen_name': 'razamataz63', 'name': '⏳Kelly⌛️', 'id': '1083922352'}]","['mayb', 'see', 'announc', 'anyth', 'weekend', 'cast', 'break', 'anyway', 'right', 'may', 'extend', 'break', 'coincid', 'new', 'stricter']"
3,1.3297823255430185e+18,1.3297823255430185e+18,2020-11-20,21:43:07,266481056.0,margrietvonno,NLambasSingapore,,Sinterklaas has finished his Stay At Home Notice at the Dutch residence in Singapore. Together with my Belgian colleague I had the privilege of sharing our first pepernoten of 2020. Sint and his Pieten are back even in our Covid-19 year.  https://t.co/fVGKiTT2Pv,en,[],[],['https://pbs.twimg.com/media/EnRV-T9VQAcWiPC.jpg'],1.0,0.0,36.0,[],https://twitter.com/MargrietVonno/status/1329782325543018497,1.0,[],"['sinterklaa', 'finish', 'dutch', 'resid', 'singapor', 'togeth', 'belgian', 'colleagu', 'privileg', 'share', 'first', 'pepernoten', 'sint', 'pieten', 'back', 'even', 'year']"
4,1.3163874128225608e+18,1.3163874128225608e+18,2020-10-14,22:36:31,2173945244.0,hyewonii_,Hyewon Hwang,,Today is Day-12 of my stay home notice at JWmarriott. MOH called me and said I am issued with quarantine order because there was a positive case on my flight from Seoul. They transferred me to government facility and here I’m with a tracking wristband at Sofitel. What a day😭,en,[],[],[],5.0,0.0,14.0,[],https://twitter.com/hyewonii_/status/1316387412822560769,0.0,[],"['today', 'jwmarriott', 'moh', 'call', 'said', 'issu', 'quarantin', 'order', 'posit', 'case', 'flight', 'seoul', 'transfer', 'govern', 'facil', 'track', 'wristband', 'sofitel', 'day']"
5,1.3113380569772483e+18,1.311337855017345e+18,2020-10-01,00:12:10,1482348127.0,mferrisn,M.Faris.N,,@QweenSativaa Destination: 14 day stay home notice.,en,[],[],[],0.0,0.0,0.0,[],https://twitter.com/MFerrisN/status/1311338056977248257,0.0,"[{'screen_name': 'QweenSativaa', 'name': '♦La Tosca 💀', 'id': '50233120'}]","['destin', 'day']"
6,1.3035242052421878e+18,1.303523787070083e+18,2020-09-09,10:42:43,38179153.0,rezaprabowo,Reza Prabowo,,"She got a 5 days stay home notice, can only go out to go to the doctor. The fine for breaking it is up to $10,000.",en,[],[],[],2.0,1.0,0.0,[],https://twitter.com/rezaprabowo/status/1303524205242187776,0.0,[],"['got', 'day', 'go', 'go', 'doctor', 'fine', 'break']"
7,1.2944711702390784e+18,1.2944711702390784e+18,2020-08-15,11:09:11,65908133.0,fliesfry,MessyGal,,"Notice I only eat late fast food dinner when I came home from my work place. 🤔  It’s a sign, healthy living equates to stay away from office!  P.s. am I pointing middle finger here? Anyway try this latest floss flavour. Quite good for me who am always so-so with floss.  #kfc  https://t.co/GFEz4BvYOG",en,[],[],['https://pbs.twimg.com/media/Efbio4yU0AIdHc1.jpg'],0.0,0.0,0.0,['kfc'],https://twitter.com/FliesFry/status/1294471170239078400,1.0,[],"['eat', 'late', 'fast', 'food', 'dinner', 'came', 'work', 'place', 'sign', 'healthi', 'live', 'equat', 'away', 'offic', 'point', 'middl', 'finger', 'anyway', 'tri', 'latest', 'floss', 'flavour', 'quit', 'good', 'alway', 'floss']"
8,1.2935583222897705e+18,1.2935583222897705e+18,2020-08-12,22:41:51,172733155.0,alvin_lee228,Alvin,"{'type': 'Point', 'coordinates': [1.29306, 103.856]}",🍪 I’ve ended my Stay Home Notice today and I couldn’t have gotten through it without these delicious Earl Grey Infused Cookies from coffee.crisis. Each one comes with a chocolate surprise in the middle.⠀ ⠀ 🍫All you…  https://t.co/NHnoLduomi,en,[],['https://www.instagram.com/p/CDywFChDqyL/?igshid=nut0kthenb8f'],[],0.0,0.0,0.0,[],https://twitter.com/alvin_lee228/status/1293558322289770496,0.0,[],"['end', 'today', 'gotten', 'without', 'delici', 'earl', 'grey', 'infus', 'cooki', 'one', 'come', 'chocol', 'surpris', 'middl']"
12,1.2841858794313605e+18,1.2841858794313605e+18,2020-07-18,01:59:07,9.08615605875499e+17,cherylgohcna,Cheryl Goh,,"#COVID__19 : From 19 Jul, travellers entering Singapore from Australia’s Victoria state, Japan and Hong will have to serve their 14-day Stay Home Notice at a government facility. Singaporeans advised not to travel for the time being.  https://t.co/LSPDwF13Cg",en,[],[],[],1.0,2.0,8.0,['covid__19'],https://twitter.com/CherylGohCNA/status/1284185879431360512,1.0,[],"['month', 'today', 'got', 'hang', 'feel', 'excit', 'familiar', 'citi', 'noth', 'new', 'noth', 'unexpect', 'happen', 'everyth', 'noth', 'chang']"
